Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-10-09,5,5,24.065,BUF,PHI,False,2,13,6.50,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,24,C.J. Spiller
2011,2011-10-16,6,6,24.072,BUF,NYG,True,0,0,,0,5,5,39,7.80,0,100.0%,7.80,0,0,,0,2,11,5.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,27,C.J. Spiller
2011,2011-10-30,7,8,24.086,BUF,WAS,True,0,0,,0,3,2,9,4.50,0,66.7%,3.00,0,,,0,5,22,4.40,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,0,C.J. Spiller
2011,2011-11-06,8,9,24.093,BUF,NYJ,False,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,False,11,27,C.J. Spiller
2011,2011-11-13,9,10,24.100,BUF,DAL,False,1,1,1.00,0,0,0,0,,0,0.0%,,2,61,30.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,44,C.J. Spiller
2011,2011-11-20,10,11,24.107,BUF,MIA,True,3,2,0.67,0,4,2,18,9.00,0,50.0%,4.50,3,66,22.00,0,4,60,15.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,8,35,C.J. Spiller
2011,2011-11-27,11,12,24.114,BUF,NYJ,True,19,55,2.89,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,28,C.J. Spiller
2011,2011-12-04,12,13,24.121,BUF,TEN,True,14,83,5.93,1,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,1,0,0,1,0,0,,,,,,,False,False,17,23,C.J. Spiller
2011,2011-12-11,13,14,24.128,BUF,SDG,True,12,46,3.83,0,4,3,10,3.33,0,75.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,37,C.J. Spiller
2011,2011-12-18,14,15,24.135,BUF,MIA,True,12,91,7.58,1,12,9,76,8.44,1,75.0%,6.33,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,23,30,C.J. Spiller
