Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-12-22,15.0,16.0,25.141,ATL,JAX,W 24-12,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,40%,False,Younghoe Koo,True,24,12
2019.0,2019-12-29,16.0,17.0,25.148,ATL,TAM,W 28-22,False,1,1,100.0,5,5,100.0,0,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,46%,True,Younghoe Koo,True,28,22
2020.0,2020-09-13,1.0,1.0,26.041,ATL,SEA,L 25-38,False,1,2,50.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1%,0,0%,9,31%,False,Younghoe Koo,False,25,38
2020.0,2020-09-20,2.0,2.0,26.048,ATL,DAL,L 39-40,False,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,17,46%,True,Younghoe Koo,False,39,40
2020.0,2020-09-27,3.0,3.0,26.055,ATL,CHI,L 26-30,False,2,3,66.7,2,3,66.7,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,17%,False,Younghoe Koo,False,26,30
2020.0,2020-10-05,4.0,4.0,,ATL,GNB,L 16-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Younghoe Koo,False,16,30
2020.0,2020-10-11,5.0,5.0,26.069,ATL,CAR,L 16-23,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,35%,False,Younghoe Koo,False,16,23
2020.0,2020-10-18,6.0,6.0,26.076,ATL,MIN,W 40-23,False,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,17,59%,True,Younghoe Koo,True,40,23
2020.0,2020-10-25,7.0,7.0,26.083,ATL,DET,L 22-23,False,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,26%,False,Younghoe Koo,False,22,23
2020.0,2020-10-29,8.0,8.0,26.087,ATL,CAR,W 25-17,False,1,2,50.0,4,4,100.0,0,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,50%,True,Younghoe Koo,True,25,17
2020.0,2020-11-08,9.0,9.0,26.097,ATL,DEN,W 34-27,False,4,4,100.0,2,2,100.0,0,10,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,37%,False,Younghoe Koo,True,34,27
2020.0,2020-11-22,10.0,11.0,26.111,ATL,NOR,L 9-24,False,,,,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,26%,True,Younghoe Koo,False,9,24
2020.0,2020-11-29,11.0,12.0,26.118,ATL,LVR,W 43-6,False,4,4,100.0,5,5,100.0,0,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,36%,False,Younghoe Koo,True,43,6
2020.0,2020-12-06,12.0,13.0,26.125,ATL,NOR,L 16-21,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,4,15%,False,Younghoe Koo,False,16,21
2020.0,2020-12-13,13.0,14.0,26.132,ATL,LAC,L 17-20,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,33%,True,Younghoe Koo,False,17,20
2020.0,2020-12-20,14.0,15.0,26.139,ATL,TAM,L 27-31,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,33%,False,Younghoe Koo,False,27,31
2020.0,2020-12-27,15.0,16.0,26.146,ATL,KAN,L 14-17,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,27%,True,Younghoe Koo,False,14,17
2020.0,2021-01-03,16.0,17.0,26.153,ATL,TAM,L 27-44,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,25%,True,Younghoe Koo,False,27,44
2021.0,2021-09-12,1.0,1.0,27.04,ATL,PHI,L 6-32,False,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,2,8%,False,Younghoe Koo,False,6,32
2021.0,2021-09-19,2.0,2.0,27.047,ATL,TAM,L 25-48,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,10%,True,Younghoe Koo,False,25,48
2021.0,2021-09-26,3.0,3.0,27.054,ATL,NYG,W 17-14,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,13%,True,Younghoe Koo,True,17,14
2021.0,2021-10-03,4.0,4.0,27.061,ATL,WAS,L 30-34,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,2,70,35.00,0,0,0%,0,0%,7,26%,False,Younghoe Koo,False,30,34
2021.0,2021-10-10,5.0,5.0,27.068,ATL,NYJ,W 27-20,False,3,3,100.0,2,2,100.0,0,9,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,42%,False,Younghoe Koo,True,27,20
