Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-10-11,5,5,26.287,CIN,BAL,True,27,120,4.44,1,3,2,16,8.00,0,66.7%,5.33,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,17,14,Cedric Benson
2009,2009-10-18,6,6,26.294,CIN,HOU,True,16,44,2.75,1,2,2,1,0.50,0,100.0%,0.50,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,17,28,Cedric Benson
2009,2009-10-25,7,7,26.301,CIN,CHI,True,37,189,5.11,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,45,10,Cedric Benson
2009,2009-11-08,8,9,26.315,CIN,BAL,True,34,117,3.44,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,17,7,Cedric Benson
2009,2009-11-15,9,10,26.322,CIN,PIT,True,7,22,3.14,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,18,12,Cedric Benson
2009,2009-11-22,10,11,,CIN,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,20,Cedric Benson
2009,2009-11-29,11,12,,CIN,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,16,7,Cedric Benson
2009,2009-12-06,12,13,26.343,CIN,DET,True,36,110,3.06,0,2,2,15,7.50,0,100.0%,7.50,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,13,Cedric Benson
2009,2009-12-13,13,14,26.350,CIN,MIN,True,16,96,6.00,0,2,1,4,4.00,0,50.0%,2.00,,0,0,0.0,1,0,1,,,0,,0,0,0,0,,,,,,,True,False,10,30,Cedric Benson
2009,2009-12-20,14,15,26.357,CIN,SDG,True,15,53,3.53,0,3,2,19,9.50,0,66.7%,6.33,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,24,27,Cedric Benson
2009,2009-12-27,15,16,26.364,CIN,KAN,True,29,133,4.59,0,2,2,7,3.50,0,100.0%,3.50,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,17,10,Cedric Benson
2009,2010-01-03,16,17,,CIN,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,0,37,Cedric Benson
2010,2010-09-12,1,1,27.258,CIN,NWE,True,15,43,2.87,1,2,1,11,11.00,0,50.0%,5.50,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,24,38,Cedric Benson
2010,2010-09-19,2,2,27.265,CIN,BAL,True,23,78,3.39,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,15,10,Cedric Benson
2010,2010-09-26,3,3,27.272,CIN,CAR,True,27,81,3.00,1,3,2,9,4.50,1,66.7%,3.00,,2,12,0.0,0,0,0,,,1,0,0,1,0,0,,,,,,,True,True,20,7,Cedric Benson
2010,2010-10-03,4,4,27.279,CIN,CLE,True,15,60,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,20,23,Cedric Benson
2010,2010-10-10,5,5,27.286,CIN,TAM,True,23,144,6.26,0,3,2,19,9.50,0,66.7%,6.33,1,0,2,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,21,24,Cedric Benson
2010,2010-10-24,6,7,27.300,CIN,ATL,True,20,70,3.50,0,2,1,6,6.00,0,50.0%,3.00,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,32,39,Cedric Benson
2010,2010-10-31,7,8,27.307,CIN,MIA,True,20,69,3.45,0,3,3,12,4.00,0,100.0%,4.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,14,22,Cedric Benson
2010,2010-11-08,8,9,27.315,CIN,PIT,True,18,54,3.00,1,2,2,20,10.00,0,100.0%,10.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,21,27,Cedric Benson
2010,2010-11-14,9,10,27.321,CIN,IND,True,14,24,1.71,0,5,5,27,5.40,0,100.0%,5.40,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,17,23,Cedric Benson
2010,2010-11-21,10,11,27.328,CIN,BUF,True,25,124,4.96,1,3,3,22,7.33,0,100.0%,7.33,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,31,49,Cedric Benson
2010,2010-11-25,11,12,27.332,CIN,NYJ,True,18,41,2.28,0,3,1,0,0.00,0,33.3%,0.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,26,Cedric Benson
2010,2010-12-05,12,13,27.342,CIN,NOR,True,19,49,2.58,2,2,2,14,7.00,0,100.0%,7.00,,2,12,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,False,30,34,Cedric Benson
2010,2010-12-12,13,14,27.349,CIN,PIT,True,8,19,2.38,0,3,3,26,8.67,0,100.0%,8.67,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,23,Cedric Benson
2010,2010-12-19,14,15,27.356,CIN,CLE,True,31,150,4.84,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,19,17,Cedric Benson
2010,2010-12-26,15,16,27.363,CIN,SDG,True,24,52,2.17,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,True,34,20,Cedric Benson
2010,2011-01-02,16,17,28.005,CIN,BAL,True,21,53,2.52,0,4,3,12,4.00,0,75.0%,3.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,13,Cedric Benson
2011,2011-09-11,1,1,28.257,CIN,CLE,True,25,121,4.84,1,1,1,2,2.00,0,100.0%,2.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,17,Cedric Benson
2011,2011-09-18,2,2,28.264,CIN,DEN,True,16,59,3.69,0,3,3,17,5.67,0,100.0%,5.67,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,22,24,Cedric Benson
2011,2011-09-25,3,3,28.271,CIN,SFO,True,17,64,3.76,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,8,13,Cedric Benson
2011,2011-10-02,4,4,28.278,CIN,BUF,True,19,104,5.47,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Cedric Benson
2011,2011-10-09,5,5,28.285,CIN,JAX,True,24,53,2.21,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,30,20,Cedric Benson
2011,2011-10-16,6,6,28.292,CIN,IND,True,16,57,3.56,1,1,1,5,5.00,0,100.0%,5.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,17,Cedric Benson
2011,2011-10-30,7,8,,CIN,SEA,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,True,34,12,Cedric Benson
2011,2011-11-06,8,9,28.313,CIN,TEN,True,20,78,3.90,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,24,17,Cedric Benson
2011,2011-11-13,9,10,28.320,CIN,PIT,True,15,57,3.80,0,1,1,5,5.00,0,100.0%,5.00,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,17,24,Cedric Benson
