Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2003,2003-09-28,4,4,26.279,HOU,JAX,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,24,20,Kris Brown
2003,2003-10-12,5,6,26.293,HOU,TEN,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,17,38,Kris Brown
2003,2003-10-19,6,7,26.300,HOU,NYJ,False,0,0,,0,2,2,100.0,,,,0,2,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,,False,False,14,19,Kris Brown
2003,2003-10-26,7,8,26.307,HOU,IND,False,0,0,,0,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,21,30,Kris Brown
2003,2003-11-02,8,9,26.314,HOU,CAR,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,True,14,10,Kris Brown
2003,2003-11-09,9,10,26.321,HOU,CIN,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,27,34,Kris Brown
2003,2003-11-16,10,11,26.328,HOU,BUF,False,0,0,,0,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,12,10,Kris Brown
2003,2003-11-23,11,12,26.335,HOU,NWE,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,20,23,Kris Brown
2003,2003-11-30,12,13,26.342,HOU,ATL,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,2,0,2,0,,0,,0,0,0,0,0,0,,0,False,True,17,13,Kris Brown
2003,2003-12-07,13,14,26.349,HOU,JAX,False,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,0,27,Kris Brown
2003,2003-12-14,14,15,26.356,HOU,TAM,False,0,0,,0,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,3,16,Kris Brown
2003,2003-12-21,15,16,26.363,HOU,TEN,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,24,27,Kris Brown
2003,2003-12-28,16,17,27.005,HOU,IND,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,False,False,17,20,Kris Brown
2004,2004-09-12,1,1,27.264,HOU,SDG,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,False,False,20,27,Kris Brown
2004,2004-09-19,2,2,27.271,HOU,DET,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,16,28,Kris Brown
2004,2004-09-26,3,3,27.278,HOU,KAN,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,24,21,Kris Brown
2004,2004-10-03,4,4,27.285,HOU,OAK,False,0,0,,0,3,3,100.0,3,4,75.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,30,17,Kris Brown
2004,2004-10-10,5,5,27.292,HOU,MIN,False,0,0,,0,4,4,100.0,,,,0,4,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,28,34,Kris Brown
2004,2004-10-17,6,6,27.299,HOU,TEN,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,20,10,Kris Brown
2004,2004-10-31,7,8,27.313,HOU,JAX,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,20,6,Kris Brown
2004,2004-11-07,8,9,27.320,HOU,DEN,False,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,13,31,Kris Brown
