Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-12-23,15,16,25.359,WAS,MIN,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,32,21,Shaun Suisham
2007,2007-12-30,16,17,26.001,WAS,DAL,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,27,6,Shaun Suisham
2008,2008-09-04,1,1,26.250,WAS,NYG,False,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,7,16,Shaun Suisham
2008,2008-09-14,2,2,26.260,WAS,NOR,False,0,0,,0,2,2,100.0,3,5,60.0,0,11,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,29,24,Shaun Suisham
2008,2008-09-21,3,3,26.267,WAS,ARI,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,24,17,Shaun Suisham
2008,2008-09-28,4,4,26.274,WAS,DAL,False,0,0,,0,2,2,100.0,4,4,100.0,0,14,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,26,24,Shaun Suisham
2008,2008-10-05,5,5,26.281,WAS,PHI,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,23,17,Shaun Suisham
2008,2008-10-12,6,6,26.288,WAS,STL,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,17,19,Shaun Suisham
2008,2008-10-19,7,7,26.295,WAS,CLE,False,0,0,,0,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,14,11,Shaun Suisham
2008,2008-10-26,8,8,26.302,WAS,DET,False,0,0,,0,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,25,17,Shaun Suisham
2008,2008-11-03,9,9,26.310,WAS,PIT,False,0,0,,0,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,6,23,Shaun Suisham
2008,2008-11-16,10,11,26.323,WAS,DAL,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,False,10,14,Shaun Suisham
2008,2008-11-23,11,12,26.330,WAS,SEA,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,20,17,Shaun Suisham
2008,2008-11-30,12,13,26.337,WAS,NYG,False,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,False,7,23,Shaun Suisham
2008,2008-12-07,13,14,26.344,WAS,BAL,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,10,24,Shaun Suisham
2008,2008-12-14,14,15,26.351,WAS,CIN,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,13,20,Shaun Suisham
2008,2008-12-21,15,16,26.358,WAS,PHI,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,10,3,Shaun Suisham
2008,2008-12-28,16,17,26.365,WAS,SFO,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,24,27,Shaun Suisham
2009,2009-09-13,1,1,27.258,WAS,NYG,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,23,Shaun Suisham
2009,2009-09-20,2,2,27.265,WAS,STL,False,0,0,,0,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,9,7,Shaun Suisham
2009,2009-09-27,3,3,27.272,WAS,DET,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,14,19,Shaun Suisham
2009,2009-10-04,4,4,27.279,WAS,TAM,False,0,0,,0,1,2,50.0,1,1,100.0,0,4,0.0,0,0,0,,,0,,0,0,0,0,3,80,26.67,0,,,,,,,False,True,16,13,Shaun Suisham
2009,2009-10-11,5,5,27.286,WAS,CAR,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,20,Shaun Suisham
2009,2009-10-18,6,6,27.293,WAS,KAN,False,0,0,,0,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,6,14,Shaun Suisham
2009,2009-10-26,7,7,27.301,WAS,PHI,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,17,27,Shaun Suisham
2009,2009-11-08,8,9,27.314,WAS,ATL,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,31,Shaun Suisham
2009,2009-11-15,9,10,27.321,WAS,DEN,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,27,17,Shaun Suisham
2009,2009-11-22,10,11,27.328,WAS,DAL,False,0,0,,0,,,,2,4,50.0,0,6,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,False,6,7,Shaun Suisham
2009,2009-11-29,11,12,27.335,WAS,PHI,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,24,27,Shaun Suisham
2009,2009-12-06,12,13,27.342,WAS,NOR,False,0,0,,0,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,30,33,Shaun Suisham
2009,2009-12-27,15,16,27.363,DAL,WAS,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,17,0,Shaun Suisham
2009,2010-01-03,16,17,28.005,DAL,PHI,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,24,0,Shaun Suisham
2010,2010-11-21,10,11,28.327,PIT,OAK,False,0,0,,0,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,35,3,Shaun Suisham
2010,2010-11-28,11,12,28.334,PIT,BUF,False,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,19,16,Shaun Suisham
2010,2010-12-05,12,13,28.341,PIT,BAL,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,,0,0,0,0,3,115,38.33,0,,,,,,,True,True,13,10,Shaun Suisham
2010,2010-12-12,13,14,28.348,PIT,CIN,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,23,7,Shaun Suisham
2010,2010-12-19,14,15,28.355,PIT,NYJ,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,False,17,22,Shaun Suisham
2010,2010-12-23,15,16,28.359,PIT,CAR,False,0,0,,0,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,27,3,Shaun Suisham
2010,2011-01-02,16,17,29.004,PIT,CLE,False,0,0,,0,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,41,9,Shaun Suisham
2011,2011-09-11,1,1,29.256,PIT,BAL,False,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,7,35,Shaun Suisham
2011,2011-09-18,2,2,29.263,PIT,SEA,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,24,0,Shaun Suisham
2011,2011-09-25,3,3,29.270,PIT,IND,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,23,20,Shaun Suisham
2011,2011-10-02,4,4,29.277,PIT,HOU,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,10,17,Shaun Suisham
2011,2011-10-09,5,5,29.284,PIT,TEN,False,0,0,,0,5,5,100.0,1,1,100.0,0,8,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,38,17,Shaun Suisham
2011,2011-10-16,6,6,29.291,PIT,JAX,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,17,13,Shaun Suisham
2011,2011-10-23,7,7,29.298,PIT,ARI,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,32,20,Shaun Suisham
2011,2011-10-30,8,8,29.305,PIT,NWE,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,25,17,Shaun Suisham
2011,2011-11-06,9,9,29.312,PIT,BAL,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,False,20,23,Shaun Suisham
2011,2011-11-13,10,10,29.319,PIT,CIN,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,24,17,Shaun Suisham
2011,2011-11-27,11,12,29.333,PIT,KAN,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,13,9,Shaun Suisham
2011,2011-12-04,12,13,29.340,PIT,CIN,False,0,0,,0,5,5,100.0,,1,0.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,35,7,Shaun Suisham
2011,2011-12-08,13,14,29.344,PIT,CLE,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,14,3,Shaun Suisham
2011,2011-12-19,14,15,29.355,PIT,SFO,False,0,0,,0,,,,1,2,50.0,0,3,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,False,3,20,Shaun Suisham
2011,2011-12-24,15,16,29.360,PIT,STL,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,27,0,Shaun Suisham
2011,2012-01-01,16,17,30.003,PIT,CLE,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,13,9,Shaun Suisham
2012,2012-09-09,1,1,30.255,PIT,DEN,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,36%,True,False,19,31,Shaun Suisham
2012,2012-09-16,2,2,30.262,PIT,NYJ,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,41%,False,True,27,10,Shaun Suisham
2012,2012-09-23,3,3,30.269,PIT,OAK,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,36%,True,False,31,34,Shaun Suisham
2012,2012-10-07,4,5,30.283,PIT,PHI,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,35%,False,True,16,14,Shaun Suisham
2012,2012-10-11,5,6,30.287,PIT,TEN,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,38%,True,False,23,26,Shaun Suisham
2012,2012-10-21,6,7,30.297,PIT,CIN,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,38%,True,True,24,17,Shaun Suisham
2012,2012-10-28,7,8,30.304,PIT,WAS,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,44%,False,True,27,12,Shaun Suisham
2012,2012-11-04,8,9,30.311,PIT,NYG,False,1,-1,-1.00,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,32%,True,True,24,20,Shaun Suisham
2012,2012-11-12,9,10,30.319,PIT,KAN,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,30%,False,True,16,13,Shaun Suisham
2012,2012-11-18,10,11,30.325,PIT,BAL,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,17%,False,False,10,13,Shaun Suisham
2012,2012-11-25,11,12,30.332,PIT,CLE,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,17%,True,False,14,20,Shaun Suisham
2012,2012-12-02,12,13,30.339,PIT,BAL,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,36%,True,True,23,20,Shaun Suisham
2012,2012-12-09,13,14,30.346,PIT,SDG,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,24%,False,False,24,34,Shaun Suisham
2012,2012-12-16,14,15,30.353,PIT,DAL,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,28%,True,False,24,27,Shaun Suisham
2012,2012-12-23,15,16,30.360,PIT,CIN,False,0,0,,0,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,24%,False,False,10,13,Shaun Suisham
2012,2012-12-30,16,17,31.001,PIT,CLE,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,36%,False,True,24,10,Shaun Suisham
2013,2013-09-08,1,1,31.253,PIT,TEN,False,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,12%,False,False,9,16,Shaun Suisham
2013,2013-09-16,2,2,31.261,PIT,CIN,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,18%,True,False,10,20,Shaun Suisham
2013,2013-09-22,3,3,31.267,PIT,CHI,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,31%,False,False,23,40,Shaun Suisham
2013,2013-09-29,4,4,31.274,PIT,MIN,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,33%,True,False,27,34,Shaun Suisham
2013,2013-10-13,5,6,31.288,PIT,NYJ,False,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,38%,True,True,19,6,Shaun Suisham
2013,2013-10-20,6,7,31.295,PIT,BAL,False,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,43%,False,True,19,16,Shaun Suisham
2013,2013-10-27,7,8,31.302,PIT,OAK,False,0,0,,0,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,27%,True,False,18,21,Shaun Suisham
2013,2013-11-03,8,9,31.309,PIT,NWE,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,31%,True,False,31,55,Shaun Suisham
2013,2013-11-10,9,10,31.316,PIT,BUF,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,37%,False,True,23,10,Shaun Suisham
2013,2013-11-17,10,11,31.323,PIT,DET,False,0,0,,0,4,4,100.0,3,3,100.0,0,13,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,15,43%,False,True,37,27,Shaun Suisham
2013,2013-11-24,11,12,31.330,PIT,CLE,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,41%,True,True,27,11,Shaun Suisham
2013,2013-11-28,12,13,31.334,PIT,BAL,False,1,-12,-12.00,0,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,28%,True,False,20,22,Shaun Suisham
2013,2013-12-08,13,14,31.344,PIT,MIA,False,0,0,,0,4,4,100.0,,,,0,4,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0%,0,0%,9,26%,False,False,28,34,Shaun Suisham
2013,2013-12-15,14,15,31.351,PIT,CIN,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,48%,False,True,30,20,Shaun Suisham
2013,2013-12-22,15,16,31.358,PIT,GNB,False,0,0,,0,5,5,100.0,1,1,100.0,0,8,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,35%,True,True,38,31,Shaun Suisham
2013,2013-12-29,16,17,32.000,PIT,CLE,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,43%,False,True,20,7,Shaun Suisham
2014,2014-09-07,1,1,32.252,PIT,CLE,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,31%,False,True,30,27,Shaun Suisham
2014,2014-09-11,2,2,32.256,PIT,BAL,False,0,0,,0,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,21%,True,False,6,26,Shaun Suisham
2014,2014-09-21,3,3,32.266,PIT,CAR,False,0,0,,0,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,14,48%,True,True,37,19,Shaun Suisham
2014,2014-09-28,4,4,32.273,PIT,TAM,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,34%,False,False,24,27,Shaun Suisham
2014,2014-10-05,5,5,32.280,PIT,JAX,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,35%,True,True,17,9,Shaun Suisham
2014,2014-10-12,6,6,32.287,PIT,CLE,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,20%,True,False,10,31,Shaun Suisham
2014,2014-10-20,7,7,32.295,PIT,HOU,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,41%,False,True,30,23,Shaun Suisham
2014,2014-10-26,8,8,32.301,PIT,IND,False,0,0,,0,7,7,100.0,,,,0,7,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,16,47%,False,True,51,34,Shaun Suisham
