Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-18,2,2,23.248,TAM,MIN,True,22,31,70.97,243,1,1,91.2,2,13,7.84,7.03,3,16,5.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,24,20,Josh Freeman
2011,2011-09-25,3,3,23.255,TAM,ATL,True,22,32,68.75,180,0,2,56.8,0,0,5.63,2.81,10,35,3.50,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,False,True,16,13,Josh Freeman
2011,2011-10-03,4,4,23.263,TAM,IND,True,25,39,64.10,287,1,0,94.7,2,13,7.36,7.87,6,27,4.50,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,False,True,24,17,Josh Freeman
2011,2011-10-09,5,5,23.269,TAM,SFO,True,17,33,51.52,187,0,2,43.4,2,6,5.67,2.94,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,3,48,Josh Freeman
2011,2011-10-16,6,6,23.276,TAM,NOR,True,23,41,56.10,303,2,0,95.9,0,0,7.39,8.37,4,3,0.75,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,True,26,20,Josh Freeman
2011,2011-10-23,7,7,23.283,TAM,CHI,True,29,51,56.86,264,2,4,51.4,1,14,5.18,2.43,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,False,18,24,Josh Freeman
2011,2011-11-06,8,9,23.297,TAM,NOR,True,27,37,72.97,281,1,0,103.5,1,0,7.59,8.14,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,16,27,Josh Freeman
2011,2011-11-13,9,10,23.304,TAM,HOU,True,15,33,45.45,170,1,3,33.6,4,29,5.15,1.67,3,25,8.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,False,9,37,Josh Freeman
2011,2011-11-20,10,11,23.311,TAM,GNB,True,28,38,73.68,342,2,2,96.6,2,8,9.00,7.68,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,26,35,Josh Freeman
2011,2011-11-27,11,12,23.318,TAM,TEN,True,18,33,54.55,199,1,1,70.1,2,13,6.03,5.27,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,,,,,,,True,False,17,23,Josh Freeman
2011,2011-12-04,12,13,,TAM,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,19,38,Josh Freeman
2011,2011-12-11,13,14,23.332,TAM,JAX,True,16,30,53.33,181,0,2,43.9,3,14,6.03,3.03,4,26,6.50,1,0,0,0,,0,0.0%,,,1,6,2,1,0,0,0,0,,,,,,,True,False,14,41,Josh Freeman
2011,2011-12-17,14,15,23.338,TAM,DAL,True,17,27,62.96,148,1,0,89.7,3,16,5.48,6.22,4,37,9.25,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,False,False,15,31,Josh Freeman
2011,2011-12-24,15,16,23.345,TAM,CAR,True,28,38,73.68,274,1,1,91.3,3,16,7.21,6.55,6,4,0.67,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,-9,0,,,,,,,True,False,16,48,Josh Freeman
2011,2012-01-01,16,17,23.353,TAM,ATL,True,31,45,68.89,274,2,3,71.9,2,15,6.09,3.98,3,14,4.67,0,0,0,0,,0,0.0%,,,0,0,1,1,0,1,-4,0,,,,,,,True,False,24,45,Josh Freeman
2012,2012-09-09,1,1,24.240,TAM,CAR,True,16,24,66.67,138,1,0,95.5,2,10,5.75,6.58,7,13,1.86,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,False,True,16,10,Josh Freeman
