Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2015,2015-11-02,8,8,27.043,IND,CAR,True,11,7,43,6.14,1,63.6%,3.91,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,59,69%,0,0%,0,0%,True,False,26,29,Coby Fleener
2015,2015-11-08,9,9,27.049,IND,DEN,True,6,4,22,5.50,0,66.7%,3.67,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,59,74%,0,0%,0,0%,False,True,27,24,Coby Fleener
2015,2015-11-22,10,11,27.063,IND,ATL,True,5,3,45,15.00,0,60.0%,9.00,0,0,,0,,0,0,1,2,0,1,0,0,0,0,0,0,43,68%,3,4%,0,0%,True,True,24,21,Coby Fleener
2015,2015-11-29,11,12,27.070,IND,TAM,True,3,3,27,9.00,0,100.0%,9.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,43,58%,2,3%,0,0%,False,True,25,12,Coby Fleener
2015,2015-12-06,12,13,27.077,IND,PIT,False,8,4,20,5.00,0,50.0%,2.50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,43,74%,0,0%,0,0%,True,False,10,45,Coby Fleener
2015,2015-12-13,13,14,27.084,IND,JAX,True,4,1,6,6.00,0,25.0%,1.50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,51,71%,0,0%,0,0%,True,False,16,51,Coby Fleener
2015,2015-12-20,14,15,27.091,IND,HOU,True,3,1,12,12.00,0,33.3%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,26,48%,0,0%,0,0%,False,False,10,16,Coby Fleener
2015,2015-12-27,15,16,27.098,IND,MIA,True,4,2,13,6.50,0,50.0%,3.25,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,30,51%,0,0%,0,0%,True,True,18,12,Coby Fleener
2015,2016-01-03,16,17,27.105,IND,TEN,False,7,7,88,12.57,1,100.0%,12.57,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,48,68%,0,0%,0,0%,False,True,30,24,Coby Fleener
2016,2016-09-11,1,1,27.357,NOR,OAK,True,4,1,6,6.00,0,25.0%,1.50,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,56,81%,0,0%,7,23%,False,False,34,35,Coby Fleener
2016,2016-09-18,2,2,27.364,NOR,NYG,False,8,2,29,14.50,0,25.0%,3.63,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,47,76%,0,0%,0,0%,True,False,13,16,Coby Fleener
2016,2016-09-26,3,3,28.006,NOR,ATL,False,11,7,109,15.57,1,63.6%,9.91,0,0,,0,,1,6,0,,0,0,0,0,0,0,0,0,62,77%,0,0%,0,0%,False,False,32,45,Coby Fleener
2016,2016-10-02,4,4,28.012,NOR,SDG,False,5,3,19,6.33,0,60.0%,3.80,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,True,True,35,34,Coby Fleener
2016,2016-10-16,5,6,28.026,NOR,CAR,True,7,6,74,12.33,1,85.7%,10.57,1,2,2.00,1,,2,12,0,,0,0,0,0,0,0,0,0,41,56%,0,0%,0,0%,False,True,41,38,Coby Fleener
2016,2016-10-23,6,7,28.033,NOR,KAN,False,2,2,44,22.00,0,100.0%,22.00,0,0,,0,,0,0,0,,0,0,1,0,0,0,0,0,43,57%,0,0%,1,4%,True,False,21,27,Coby Fleener
2016,2016-10-30,7,8,28.040,NOR,SEA,True,4,4,36,9.00,0,100.0%,9.00,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,26,34%,0,0%,0,0%,False,True,25,20,Coby Fleener
2016,2016-11-06,8,9,28.047,NOR,SFO,False,6,3,42,14.00,0,50.0%,7.00,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,30,34%,0,0%,0,0%,True,True,41,23,Coby Fleener
2016,2016-11-13,9,10,28.054,NOR,DEN,True,2,2,26,13.00,0,100.0%,13.00,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,32,63%,0,0%,0,0%,False,False,23,25,Coby Fleener
2016,2016-11-17,10,11,28.058,NOR,CAR,True,5,3,17,5.67,1,60.0%,3.40,0,0,,0,,1,6,0,,0,0,1,0,0,1,0,0,42,55%,0,0%,0,0%,True,False,20,23,Coby Fleener
2016,2016-11-27,11,12,28.068,NOR,LAR,True,4,4,59,14.75,0,100.0%,14.75,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,18,24%,0,0%,0,0%,False,True,49,21,Coby Fleener
2016,2016-12-04,12,13,28.075,NOR,DET,False,7,5,86,17.20,0,71.4%,12.29,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,41,66%,0,0%,0,0%,False,False,13,28,Coby Fleener
2016,2016-12-11,13,14,28.082,NOR,TAM,True,3,1,6,6.00,0,33.3%,2.00,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,42,69%,0,0%,0,0%,True,False,11,16,Coby Fleener
2016,2016-12-18,14,15,28.089,NOR,ARI,False,3,2,10,5.00,0,66.7%,3.33,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,53,62%,0,0%,0,0%,True,True,48,41,Coby Fleener
