Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-11-04,8.0,9.0,24.049,SEA,LAC,L 17-25,True,8,40,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,10,12%,0,0%,0,0%,False,Chris Carson,False,17,25
2018.0,2018-11-11,9.0,10.0,,SEA,LAR,L 31-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chris Carson,False,31,36
2018.0,2018-11-15,10.0,11.0,24.06,SEA,GNB,W 27-24,True,17,83,4.88,1,0,0,0,,0,0.0%,,1,6,1,1,0,0,0,0,30,43%,0,0%,0,0%,False,Chris Carson,True,27,24
2018.0,2018-11-25,11.0,12.0,24.07,SEA,CAR,W 30-27,True,16,55,3.44,1,2,2,8,4.00,0,100.0%,4.00,1,6,1,0,0,0,0,0,32,52%,0,0%,0,0%,True,Chris Carson,True,30,27
2018.0,2018-12-02,12.0,13.0,24.077,SEA,SFO,W 43-16,True,13,69,5.31,0,4,3,39,13.00,0,75.0%,9.75,0,0,0,0,0,0,0,0,34,59%,0,0%,0,0%,False,Chris Carson,True,43,16
2018.0,2018-12-10,13.0,14.0,24.085,SEA,MIN,W 21-7,True,22,90,4.09,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,35,53%,0,0%,1,5%,False,Chris Carson,True,21,7
2018.0,2018-12-16,14.0,15.0,24.091,SEA,SFO,L 23-26,True,22,119,5.41,1,6,6,29,4.83,0,100.0%,4.83,1,6,0,0,0,0,0,0,39,52%,0,0%,0,0%,True,Chris Carson,False,23,26
2018.0,2018-12-23,15.0,16.0,24.098,SEA,KAN,W 38-31,True,27,116,4.30,2,0,0,0,,0,0.0%,,2,12,0,0,0,0,0,0,43,54%,0,0%,1,3%,False,Chris Carson,True,38,31
2018.0,2018-12-30,16.0,17.0,24.105,SEA,ARI,W 27-24,True,19,122,6.42,1,1,1,7,7.00,0,100.0%,7.00,1,6,0,0,0,0,0,0,32,51%,0,0%,0,0%,False,Chris Carson,True,27,24
2019.0,2019-09-08,1.0,1.0,24.357,SEA,CIN,W 21-20,True,15,46,3.07,1,7,6,34,5.67,1,85.7%,4.86,2,12,1,1,0,0,0,0,39,76%,0,0%,0,0%,False,Chris Carson,True,21,20
2019.0,2019-09-15,2.0,2.0,24.364,SEA,PIT,W 28-26,True,15,60,4.00,0,3,3,27,9.00,0,100.0%,9.00,0,0,1,1,0,0,0,0,43,55%,0,0%,0,0%,True,Chris Carson,True,28,26
2019.0,2019-09-22,3.0,3.0,25.006,SEA,NOR,L 27-33,True,15,52,3.47,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,1,1,0,0,0,0,37,45%,0,0%,0,0%,False,Chris Carson,False,27,33
2019.0,2019-09-29,4.0,4.0,25.013,SEA,ARI,W 27-10,True,22,104,4.73,0,4,4,41,10.25,0,100.0%,10.25,0,0,0,0,0,0,0,0,47,76%,0,0%,0,0%,True,Chris Carson,True,27,10
2019.0,2019-10-03,5.0,5.0,25.017,SEA,LAR,W 30-29,True,27,118,4.37,0,2,1,5,5.00,1,50.0%,2.50,1,6,0,0,0,0,0,0,62,85%,0,0%,0,0%,False,Chris Carson,True,30,29
2019.0,2019-10-13,6.0,6.0,25.027,SEA,CLE,W 32-28,True,24,124,5.17,1,4,4,35,8.75,0,100.0%,8.75,1,6,0,0,0,0,0,0,64,79%,0,0%,0,0%,True,Chris Carson,True,32,28
2019.0,2019-10-20,7.0,7.0,25.034,SEA,BAL,L 16-30,True,21,65,3.10,0,5,3,9,3.00,0,60.0%,1.80,0,0,0,0,0,0,0,0,63,89%,0,0%,0,0%,False,Chris Carson,False,16,30
2019.0,2019-10-27,8.0,8.0,25.041,SEA,ATL,W 27-20,True,20,90,4.50,1,1,0,0,,0,0.0%,0.00,1,6,0,0,0,0,0,0,41,68%,0,0%,0,0%,True,Chris Carson,True,27,20
2019.0,2019-11-03,9.0,9.0,25.048,SEA,TAM,W 40-34,True,16,105,6.56,0,3,2,28,14.00,0,66.7%,9.33,0,0,2,1,0,0,0,0,63,85%,0,0%,0,0%,False,Chris Carson,True,40,34
2019.0,2019-11-11,10.0,10.0,25.056,SEA,SFO,W 27-24,True,25,89,3.56,1,4,3,12,4.00,0,75.0%,3.00,1,6,1,0,0,0,0,0,70,96%,0,0%,0,0%,True,Chris Carson,True,27,24
2019.0,2019-11-24,11.0,12.0,25.069,SEA,PHI,W 17-9,True,8,26,3.25,0,4,4,31,7.75,0,100.0%,7.75,0,0,1,0,0,1,0,0,31,51%,0,0%,0,0%,True,Chris Carson,True,17,9
2019.0,2019-12-02,12.0,13.0,25.077,SEA,MIN,W 37-30,True,23,102,4.43,1,2,1,7,7.00,0,50.0%,3.50,1,6,0,0,0,0,0,0,39,52%,0,0%,0,0%,False,Chris Carson,True,37,30
2019.0,2019-12-08,13.0,14.0,25.083,SEA,LAR,L 12-28,True,15,76,5.07,0,4,3,15,5.00,0,75.0%,3.75,0,0,0,0,0,0,0,0,55,83%,0,0%,0,0%,True,Chris Carson,False,12,28
2019.0,2019-12-15,14.0,15.0,25.09,SEA,CAR,W 30-24,True,24,133,5.54,2,2,1,4,4.00,0,50.0%,2.00,2,12,0,0,0,0,0,0,51,76%,0,0%,0,0%,True,Chris Carson,True,30,24
2019.0,2019-12-22,15.0,16.0,25.097,SEA,ARI,L 13-27,True,8,40,5.00,0,1,1,20,20.00,0,100.0%,20.00,0,0,0,0,0,0,0,0,18,32%,0,0%,0,0%,False,Chris Carson,False,13,27
2019.0,2019-12-29,16.0,17.0,,SEA,SFO,L 21-26,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Carson,False,21,26
2020.0,2020-09-13,1.0,1.0,25.363,SEA,ATL,W 38-25,True,6,21,3.50,0,6,6,45,7.50,2,100.0%,7.50,2,12,0,0,0,0,0,0,28,45%,0,0%,0,0%,True,Chris Carson,True,38,25
2020.0,2020-09-20,2.0,2.0,26.004,SEA,NWE,W 35-30,True,17,72,4.24,0,3,3,36,12.00,1,100.0%,12.00,1,6,0,0,0,0,0,0,40,63%,0,0%,0,0%,False,Chris Carson,True,35,30
2020.0,2020-09-27,3.0,3.0,26.011,SEA,DAL,W 38-31,True,14,64,4.57,0,3,3,12,4.00,0,100.0%,4.00,0,0,0,0,0,0,0,0,44,58%,0,0%,0,0%,False,Chris Carson,True,38,31
2020.0,2020-10-04,4.0,4.0,26.018,SEA,MIA,W 31-23,True,16,80,5.00,2,4,3,20,6.67,0,75.0%,5.00,2,12,1,0,0,0,0,0,35,56%,0,0%,0,0%,True,Chris Carson,True,31,23
2020.0,2020-10-11,5.0,5.0,26.025,SEA,MIN,W 27-26,True,8,52,6.50,1,7,6,27,4.50,0,85.7%,3.86,1,6,0,0,0,0,0,0,31,57%,0,0%,0,0%,False,Chris Carson,True,27,26
2020.0,2020-10-25,6.0,7.0,26.039,SEA,ARI,L 34-37,True,5,34,6.80,0,2,1,7,7.00,0,50.0%,3.50,0,0,0,0,0,0,0,0,15,18%,0,0%,0,0%,True,Chris Carson,False,34,37
2020.0,2020-11-01,7.0,8.0,,SEA,SFO,W 37-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Carson,True,37,27
2020.0,2020-11-08,8.0,9.0,,SEA,BUF,L 34-44,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chris Carson,False,34,44
2020.0,2020-11-15,9.0,10.0,,SEA,LAR,L 16-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chris Carson,False,16,23
2020.0,2020-11-19,10.0,11.0,,SEA,ARI,W 28-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Carson,True,28,21
2020.0,2020-11-30,11.0,12.0,26.075,SEA,PHI,W 23-17,True,8,41,5.13,1,2,2,18,9.00,0,100.0%,9.00,1,6,0,0,0,0,0,0,25,37%,0,0%,0,0%,True,Chris Carson,True,23,17
2020.0,2020-12-06,12.0,13.0,26.081,SEA,NYG,L 12-17,True,13,65,5.00,0,6,3,45,15.00,1,50.0%,7.50,1,6,0,0,0,0,0,0,42,58%,0,0%,0,0%,False,Chris Carson,False,12,17
2020.0,2020-12-13,13.0,14.0,26.088,SEA,NYJ,W 40-3,True,12,76,6.33,1,5,3,22,7.33,0,60.0%,4.40,1,6,0,0,0,0,0,0,33,45%,0,0%,0,0%,False,Chris Carson,True,40,3
2020.0,2020-12-20,14.0,15.0,26.095,SEA,WAS,W 20-15,True,15,63,4.20,0,3,2,6,3.00,0,66.7%,2.00,0,0,0,0,0,0,0,0,40,70%,0,0%,0,0%,True,Chris Carson,True,20,15
2020.0,2020-12-27,15.0,16.0,26.102,SEA,LAR,W 20-9,True,16,69,4.31,0,3,3,10,3.33,0,100.0%,3.33,0,0,0,0,0,0,0,0,40,63%,0,0%,0,0%,False,Chris Carson,True,20,9
2020.0,2021-01-03,16.0,17.0,26.109,SEA,SFO,W 26-23,True,11,44,4.00,0,2,2,39,19.50,0,100.0%,19.50,0,0,0,0,0,0,0,0,30,46%,0,0%,0,0%,True,Chris Carson,True,26,23
2021.0,2021-09-12,1.0,1.0,26.361,SEA,IND,W 28-16,True,16,91,5.69,0,3,3,26,8.67,0,100.0%,8.67,0,0,1,1,0,0,0,0,42,78%,0,0%,0,0%,True,Chris Carson,True,28,16
2021.0,2021-09-19,2.0,2.0,27.003,SEA,TEN,L 30-33,True,13,31,2.38,2,0,0,0,,0,0.0%,,2,12,0,0,0,0,0,0,34,63%,0,0%,0,0%,False,Chris Carson,False,30,33
