Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-12-07,13,14,23.284,ARI,,KAN,W 17-14,False,,,,3,5,60.0,0,9,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,10,43%,False,Chandler Catanzaro
2014,2014-12-11,14,15,23.288,ARI,@,STL,W 12-6,False,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,30%,True,Chandler Catanzaro
2014,2014-12-21,15,16,23.298,ARI,,SEA,L 6-35,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,16%,False,Chandler Catanzaro
2014,2014-12-28,16,17,23.305,ARI,@,SFO,L 17-20,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,7,29%,True,Chandler Catanzaro
2015,2015-09-13,1,1,24.199,ARI,,NOR,W 31-19,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,35%,False,Chandler Catanzaro
2015,2015-09-20,2,2,24.206,ARI,@,CHI,W 48-23,False,6,7,85.7,,,,0,6,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,15,44%,True,Chandler Catanzaro
2015,2015-09-27,3,3,24.213,ARI,,SFO,W 47-7,False,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,52%,False,Chandler Catanzaro
2015,2015-10-04,4,4,24.220,ARI,,STL,L 22-24,False,1,1,100.0,5,5,100.0,0,16,0.0,2,0,2,0,0,0,0,,0,0,0%,0,0%,13,43%,False,Chandler Catanzaro
2015,2015-10-11,5,5,24.227,ARI,@,DET,W 42-17,False,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,43%,True,Chandler Catanzaro
2015,2015-10-18,6,6,24.234,ARI,@,PIT,L 13-25,False,1,1,100.0,2,3,66.7,0,7,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,8,28%,True,Chandler Catanzaro
2015,2015-10-26,7,7,24.242,ARI,,BAL,W 26-18,False,2,3,66.7,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,43%,False,Chandler Catanzaro
2015,2015-11-01,8,8,24.248,ARI,@,CLE,W 34-20,False,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,12,44%,True,Chandler Catanzaro
2015,2015-11-15,9,10,24.262,ARI,@,SEA,W 39-32,False,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,14,41%,True,Chandler Catanzaro
2015,2015-11-22,10,11,24.269,ARI,,CIN,W 34-31,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,39%,False,Chandler Catanzaro
2015,2015-11-29,11,12,24.276,ARI,@,SFO,W 19-13,False,1,2,50.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,39%,True,Chandler Catanzaro
2015,2015-12-06,12,13,24.283,ARI,@,STL,W 27-3,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,39%,True,Chandler Catanzaro
2015,2015-12-10,13,14,24.287,ARI,,MIN,W 23-20,False,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,11,44%,False,Chandler Catanzaro
2015,2015-12-20,14,15,24.297,ARI,@,PHI,W 40-17,False,4,5,80.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,14,48%,True,Chandler Catanzaro
2015,2015-12-27,15,16,24.304,ARI,,GNB,W 38-8,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,50%,False,Chandler Catanzaro
2015,2016-01-03,16,17,24.311,ARI,,SEA,L 6-36,False,,1,0.0,,1,0.0,0,0,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,14%,False,Chandler Catanzaro
2016,2016-09-11,1,1,25.198,ARI,,NWE,L 21-23,False,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,31%,False,Chandler Catanzaro
2016,2016-09-18,2,2,25.205,ARI,,TAM,W 40-7,False,4,5,80.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,48%,False,Chandler Catanzaro
2016,2016-09-25,3,3,25.212,ARI,@,BUF,L 18-33,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,2,66,33.00,0,0,0%,0,0%,9,28%,True,Chandler Catanzaro
