Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2000,2000-11-05,10,10,25.287,CLE,,NYG,L 3-24,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2000,2000-11-12,11,11,25.294,CLE,,NWE,W 19-11,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,,0,0,,0,,,,,,,False,Phil Dawson
2000,2000-11-19,12,12,25.301,CLE,@,TEN,L 10-24,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Phil Dawson
2000,2000-11-26,13,13,25.308,CLE,@,BAL,L 7-44,False,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,True,Phil Dawson
2000,2000-12-03,14,14,25.315,CLE,@,JAX,L 0-48,False,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,1,0,1,0,,0,0,,,,,,,,,True,Phil Dawson
2000,2000-12-10,15,15,25.322,CLE,,PHI,L 24-35,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2000,2000-12-17,16,16,25.329,CLE,,TEN,L 0-24,False,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
2001,2001-09-09,1,1,26.229,CLE,,SEA,L 6-9,False,0,0,,0,0,0,,0,0,0,,,,,,,,,2,3,66.7,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2001,2001-09-23,2,2,26.243,CLE,,DET,W 24-14,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2001,2001-09-30,3,3,26.250,CLE,@,JAX,W 23-14,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2001,2001-10-07,4,4,26.257,CLE,,SDG,W 20-16,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2001,2001-10-14,5,5,26.264,CLE,@,CIN,L 14-24,False,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,True,Phil Dawson
2001,2001-10-21,6,6,26.271,CLE,,BAL,W 24-14,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2001,2001-11-04,7,8,26.285,CLE,@,CHI,L 21-27,False,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,0.0,1,0,1,0,,0,0,,,,,,,,,True,Phil Dawson
2001,2001-11-11,8,9,26.292,CLE,,PIT,L 12-15,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2001,2001-11-18,9,10,26.299,CLE,@,BAL,W 27-17,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2001,2001-11-25,10,11,26.306,CLE,,CIN,W 18-0,False,0,0,,0,0,0,,0,0,0,,,,,,,1,0.0,4,4,100.0,0,12,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2001,2001-12-02,11,12,26.313,CLE,,TEN,L 15-31,False,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
2001,2001-12-09,12,13,26.320,CLE,@,NWE,L 16-27,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2001,2001-12-16,13,14,26.327,CLE,,JAX,L 10-15,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2001,2001-12-23,14,15,26.334,CLE,@,GNB,L 7-30,False,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,True,Phil Dawson
2001,2001-12-30,15,16,26.341,CLE,@,TEN,W 41-38,False,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,2,2,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2001,2002-01-06,16,17,26.348,CLE,@,PIT,L 7-28,False,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,True,Phil Dawson
2002,2002-09-08,1,1,27.228,CLE,,KAN,L 39-40,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,4,4,100.0,0,15,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2002,2002-09-15,2,2,27.235,CLE,,CIN,W 20-7,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2002,2002-09-22,3,3,27.242,CLE,@,TEN,W 31-28,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2002,2002-09-29,4,4,27.249,CLE,@,PIT,L 13-16,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2002,2002-10-06,5,5,27.256,CLE,,BAL,L 21-26,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,1,16,16.00,0,,,,,,,False,Phil Dawson
2002,2002-10-13,6,6,27.263,CLE,@,TAM,L 3-17,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2002,2002-10-20,7,7,27.270,CLE,,HOU,W 34-17,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2002,2002-10-27,8,8,27.277,CLE,@,NYJ,W 24-21,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Phil Dawson
2002,2002-11-03,9,9,27.284,CLE,,PIT,L 20-23,False,0,0,,0,0,0,,0,0,,,,,,,2,3,66.7,,,,0,2,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
2002,2002-11-17,10,11,27.298,CLE,@,CIN,W 27-20,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2002,2002-11-24,11,12,27.305,CLE,@,NOR,W 24-15,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2002,2002-12-01,12,13,27.312,CLE,,CAR,L 6-13,False,0,0,,0,0,0,,0,0,0,,,,,,,,,2,3,66.7,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2002,2002-12-08,13,14,27.319,CLE,@,JAX,W 21-20,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,,2,0.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2002,2002-12-15,14,15,27.326,CLE,,IND,L 23-28,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2002,2002-12-22,15,16,27.333,CLE,@,BAL,W 14-13,False,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,True,Phil Dawson
2002,2002-12-29,16,17,27.340,CLE,,ATL,W 24-16,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,1,20,20.00,0,,,,,,,False,Phil Dawson
2003,2003-09-07,1,1,28.227,CLE,,IND,L 6-9,False,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2003,2003-09-14,2,2,28.234,CLE,@,BAL,L 13-33,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Phil Dawson
2003,2003-09-21,3,3,28.241,CLE,@,SFO,W 13-12,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2003,2003-09-28,4,4,28.248,CLE,,CIN,L 14-21,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2003,2003-10-05,5,5,28.255,CLE,@,PIT,W 33-13,False,0,0,,0,0,0,,0,0,0,,,,,,3,4,75.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2003,2003-10-12,6,6,28.262,CLE,,OAK,W 13-7,False,1,14,14.00,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2003,2003-10-19,7,7,28.269,CLE,,SDG,L 20-26,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2003,2003-10-26,8,8,28.276,CLE,@,NWE,L 3-9,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2003,2003-11-09,9,10,28.290,CLE,@,KAN,L 20-41,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2003,2003-11-16,10,11,28.297,CLE,,ARI,W 44-6,False,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,3,3,100.0,0,14,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2003,2003-11-23,11,12,28.304,CLE,,PIT,L 6-13,False,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,1,0,1,0,,0,0,,0,,,,,,,False,Phil Dawson
2003,2003-11-30,12,13,28.311,CLE,@,SEA,L 7-34,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,1,29,29.00,0,,,,,,,True,Phil Dawson
2003,2003-12-08,13,14,28.319,CLE,,STL,L 20-26,False,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,0,1,1,0,,0,0,,,,,,,,,False,Phil Dawson
2003,2003-12-14,14,15,,CLE,@,DEN,L 20-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Phil Dawson
2003,2003-12-21,15,16,,CLE,,BAL,L 0-35,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Phil Dawson
2003,2003-12-28,16,17,,CLE,@,CIN,W 22-14,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Phil Dawson
2004,2004-09-12,1,1,29.233,CLE,,BAL,W 20-3,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2004,2004-09-19,2,2,29.240,CLE,@,DAL,L 12-19,False,0,0,,0,0,0,,0,0,0,,,,,,,,,4,4,100.0,0,12,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2004,2004-09-26,3,3,29.247,CLE,@,NYG,L 10-27,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2004,2004-10-03,4,4,29.254,CLE,,WAS,W 17-13,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2004,2004-10-10,5,5,29.261,CLE,@,PIT,L 23-34,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2004,2004-10-17,6,6,29.268,CLE,,CIN,W 34-17,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2004,2004-10-24,7,7,29.275,CLE,,PHI,L 31-34,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2004,2004-11-07,8,9,29.289,CLE,@,BAL,L 13-27,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2004,2004-11-14,9,10,29.296,CLE,,PIT,L 10-24,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2004,2004-11-21,10,11,29.303,CLE,,NYJ,L 7-10,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,2,0.0,0,1,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2004,2004-11-28,11,12,29.310,CLE,@,CIN,L 48-58,False,0,0,,0,0,0,,0,0,0,,,,,,6,6,100.0,2,2,100.0,0,12,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Phil Dawson
2004,2004-12-05,12,13,29.317,CLE,,NWE,L 15-42,False,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
2004,2004-12-12,13,14,29.324,CLE,@,BUF,L 7-37,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2004,2004-12-19,14,15,29.331,CLE,,SDG,L 0-21,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2004,2004-12-26,15,16,29.338,CLE,@,MIA,L 7-10,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2004,2005-01-02,16,17,29.345,CLE,@,HOU,W 22-14,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,5,5,100.0,0,16,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2005,2005-09-11,1,1,30.231,CLE,,CIN,L 13-27,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0,0,,0,,,,,,,False,Phil Dawson
2005,2005-09-18,2,2,30.238,CLE,@,GNB,W 26-24,False,0,0,,0,0,0,,0,0,0,,,,,,2,3,66.7,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2005,2005-09-25,3,3,30.245,CLE,@,IND,L 6-13,False,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2005,2005-10-09,4,5,30.259,CLE,,CHI,W 20-10,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2005,2005-10-16,5,6,30.266,CLE,@,BAL,L 3-16,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2005,2005-10-23,6,7,30.273,CLE,,DET,L 10-13,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2005,2005-10-30,7,8,30.280,CLE,@,HOU,L 16-19,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Phil Dawson
2005,2005-11-06,8,9,30.287,CLE,,TEN,W 20-14,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2005,2005-11-13,9,10,30.294,CLE,@,PIT,L 21-34,False,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,,,,,,,,True,Phil Dawson
2005,2005-11-20,10,11,30.301,CLE,,MIA,W 22-0,False,0,0,,0,0,0,,0,0,0,,,,,,1,2,50.0,3,3,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2005,2005-11-27,11,12,30.308,CLE,@,MIN,L 12-24,False,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,,,,,,1,31,31.00,0,,,,,,,True,Phil Dawson
2005,2005-12-04,12,13,30.315,CLE,,JAX,L 14-20,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,,1,0.0,0,2,0.0,0,1,1,0,,1,22,22.00,0,,,,,,,False,Phil Dawson
2005,2005-12-11,13,14,30.322,CLE,@,CIN,L 20-23,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,0,1,1,0,,0,0,,0,,,,,,,True,Phil Dawson
2005,2005-12-18,14,15,30.329,CLE,@,OAK,W 9-7,False,0,0,,0,0,0,,0,0,0,,,,,,,,,3,3,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2005,2005-12-24,15,16,30.335,CLE,,PIT,L 0-41,False,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
2005,2006-01-01,16,17,30.343,CLE,,BAL,W 20-16,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2006,2006-09-10,1,1,31.230,CLE,,NOR,L 14-19,False,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
