Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-29,7.0,8.0,24.127,TAM,CAR,L 3-17,True,6,4,26,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,58%,0,0%,0,0%,False,Adam Humphries,False,3,17
2017.0,2017-11-05,8.0,9.0,24.134,TAM,NOR,L 10-30,False,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,58%,0,0%,0,0%,True,Adam Humphries,False,10,30
2017.0,2017-11-12,9.0,10.0,24.141,TAM,NYJ,W 15-10,False,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,65%,0,0%,0,0%,False,Adam Humphries,True,15,10
2017.0,2017-11-19,10.0,11.0,24.148,TAM,MIA,W 30-20,False,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,50%,0,0%,2,7%,True,Adam Humphries,True,30,20
2017.0,2017-11-26,11.0,12.0,24.155,TAM,ATL,L 20-34,False,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,61%,0,0%,2,8%,True,Adam Humphries,False,20,34
2017.0,2017-12-03,12.0,13.0,24.162,TAM,GNB,L 20-26,False,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0,,0,3,12,4.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,55%,0,0%,4,14%,True,Adam Humphries,False,20,26
2017.0,2017-12-10,13.0,14.0,24.169,TAM,DET,L 21-24,False,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,54%,0,0%,5,21%,False,Adam Humphries,False,21,24
2017.0,2017-12-18,14.0,15.0,24.177,TAM,ATL,L 21-24,False,5,5,43,8.60,1,100.0%,8.60,1,6,6.00,0,0,0,,0,2,30,15.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,64%,0,0%,4,15%,False,Adam Humphries,False,21,24
2017.0,2017-12-24,15.0,16.0,24.183,TAM,CAR,L 19-22,False,3,3,51,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,55%,0,0%,4,14%,True,Adam Humphries,False,19,22
2017.0,2017-12-31,16.0,17.0,24.19,TAM,NOR,W 31-24,True,11,7,102,14.57,0,63.6%,9.27,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,70%,0,0%,4,15%,False,Adam Humphries,True,31,24
2018.0,2018-09-09,1.0,1.0,25.077,TAM,NOR,W 48-40,True,5,3,27,9.00,0,60.0%,5.40,0,0,,0,1,4,4.00,0,2,17,8.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,67%,0,0%,4,12%,True,Adam Humphries,True,48,40
2018.0,2018-09-16,2.0,2.0,25.084,TAM,PHI,W 27-21,False,2,1,8,8.00,0,50.0%,4.00,0,0,,0,1,13,13.00,0,3,18,6.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,50%,0,0%,6,21%,False,Adam Humphries,True,27,21
2018.0,2018-09-24,3.0,3.0,25.092,TAM,PIT,L 27-30,False,5,3,30,10.00,0,60.0%,6.00,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,73%,0,0%,3,9%,False,Adam Humphries,False,27,30
