Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2021,2021-10-31,7,8,29.242,SFO,@,CHI,W 33-22,False,,,,,,,0,0,,,,,,,,,,,0,0%,0,0%,7,26%,True,Mitch Wishnowsky
2021,2021-11-07,8,9,29.249,SFO,,ARI,L 17-31,False,,,,,,,0,0,0.0,1,0,1,0,0,4,163,40.75,0,0,0%,0,0%,11,42%,False,Mitch Wishnowsky
2021,2021-11-15,9,10,29.257,SFO,,LAR,W 31-10,False,,,,,,,0,0,0.0,0,0,0,0,0,3,127,42.33,0,0,0%,0,0%,14,61%,False,Mitch Wishnowsky
2021,2021-11-21,10,11,29.263,SFO,@,JAX,W 30-10,False,,,,,,,0,0,0.0,0,0,0,0,0,2,88,44.00,0,0,0%,0,0%,14,61%,True,Mitch Wishnowsky
2021,2021-11-28,11,12,29.270,SFO,,MIN,W 34-26,False,,,,,,,0,0,0.0,1,0,1,0,0,3,183,61.00,0,0,0%,0,0%,15,54%,False,Mitch Wishnowsky
2021,2021-12-05,12,13,29.277,SFO,@,SEA,L 23-30,False,,,,,,,0,0,0.0,0,0,0,0,0,3,137,45.67,0,0,0%,0,0%,11,38%,True,Mitch Wishnowsky
2021,2021-12-12,13,14,29.284,SFO,@,CIN,W 26-23,False,,,,,,,0,0,0.0,0,0,0,0,0,7,291,41.57,0,0,0%,0,0%,18,53%,True,Mitch Wishnowsky
2021,2021-12-19,14,15,29.291,SFO,,ATL,W 31-13,False,,,,,,,0,0,0.0,0,0,0,0,0,4,196,49.00,0,0,0%,0,0%,15,63%,False,Mitch Wishnowsky
2021,2021-12-23,15,16,29.295,SFO,@,TEN,L 17-20,False,,,,,,,0,0,0.0,0,0,0,0,0,2,70,35.00,0,0,0%,0,0%,8,35%,True,Mitch Wishnowsky
2021,2022-01-02,16,17,29.305,SFO,,HOU,W 23-7,False,,,,,,,0,0,0.0,0,0,0,0,0,4,159,39.75,0,0,0%,0,0%,9,36%,False,Mitch Wishnowsky
2021,2022-01-09,17,18,29.312,SFO,@,LAR,W 27-24,False,,,,,,,0,0,0.0,0,0,0,0,0,2,85,42.50,0,0,0%,0,0%,2,7%,True,Mitch Wishnowsky
,49 Games,,,,,,,29-20-0,False,1,2,50.0,,1,,0,1,0.0,6,1,7,0,0,175,7992,45.67,1,,,,,,,False,Mitch Wishnowsky
