Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-11-01,7,8,24.229,MIN,@,CHI,W 23-20,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,43,21.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,16%,0,0%,5,17%,True,Cordarrelle Patterson
2015,2015-11-08,8,9,24.236,MIN,,STL,W 21-18,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,75,25.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,5,14%,False,Cordarrelle Patterson
2015,2015-11-15,9,10,24.243,MIN,@,OAK,W 30-14,False,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,93,93.00,1,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,3,10%,True,Cordarrelle Patterson
2015,2015-11-22,10,11,24.250,MIN,,GNB,L 13-30,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,103,34.33,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,8,28%,False,Cordarrelle Patterson
2015,2015-11-29,11,12,24.257,MIN,@,ATL,W 20-10,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,2,11%,True,Cordarrelle Patterson
2015,2015-12-06,12,13,24.264,MIN,,SEA,L 7-38,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,5,198,39.60,1,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,28%,False,Cordarrelle Patterson
2015,2015-12-10,13,14,24.268,MIN,@,ARI,L 20-23,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,93,31.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,6,24%,True,Cordarrelle Patterson
2015,2015-12-20,14,15,24.278,MIN,,CHI,W 38-17,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,11%,False,Cordarrelle Patterson
2015,2015-12-27,15,16,24.285,MIN,,NYG,W 49-17,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,8%,False,Cordarrelle Patterson
2015,2016-01-03,16,17,24.292,MIN,@,GNB,W 20-13,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,70,70.00,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,0,0%,0,0%,4,15%,True,Cordarrelle Patterson
2016,2016-09-11,1,1,25.178,MIN,@,TEN,W 25-16,False,1,8,8.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,1,61,61.00,0,0,9,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,8%,0,0%,4,14%,True,Cordarrelle Patterson
2016,2016-09-18,2,2,25.185,MIN,,GNB,W 17-14,False,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,62,31.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,3,12%,False,Cordarrelle Patterson
2016,2016-09-25,3,3,25.192,MIN,@,CAR,W 22-10,True,0,0,,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,2,40,20.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,9%,0,0%,6,22%,True,Cordarrelle Patterson
