Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-11-17,10.0,11.0,23.258,DAL,DET,W 35-27,True,13,9,148,16.44,0,69.2%,11.38,,0,0,60,82%,0,0%,0,0%,True,Michael Gallup,True,35,27
2019.0,2019-11-24,11.0,12.0,23.265,DAL,NWE,L 9-13,True,6,4,55,13.75,0,66.7%,9.17,,0,0,62,98%,0,0%,0,0%,True,Michael Gallup,False,9,13
2019.0,2019-11-28,12.0,13.0,23.269,DAL,BUF,L 15-26,True,7,3,63,21.00,0,42.9%,9.00,,0,0,67,88%,0,0%,0,0%,False,Michael Gallup,False,15,26
2019.0,2019-12-05,13.0,14.0,23.276,DAL,CHI,L 24-31,False,10,6,109,18.17,0,60.0%,10.90,,0,0,58,79%,0,0%,0,0%,True,Michael Gallup,False,24,31
2019.0,2019-12-15,14.0,15.0,23.286,DAL,LAR,W 44-21,True,3,1,6,6.00,0,33.3%,2.00,,0,0,59,84%,0,0%,0,0%,False,Michael Gallup,True,44,21
2019.0,2019-12-22,15.0,16.0,23.293,DAL,PHI,L 9-17,True,11,5,98,19.60,0,45.5%,8.91,,0,0,56,90%,0,0%,0,0%,True,Michael Gallup,False,9,17
2019.0,2019-12-29,16.0,17.0,23.3,DAL,WAS,W 47-16,True,7,5,98,19.60,3,71.4%,14.00,,3,18,61,80%,0,0%,0,0%,False,Michael Gallup,True,47,16
2020.0,2020-09-13,1.0,1.0,24.193,DAL,LAR,L 17-20,True,5,3,50,16.67,0,60.0%,10.00,,0,0,69,96%,0,0%,0,0%,True,Michael Gallup,False,17,20
2020.0,2020-09-20,2.0,2.0,24.2,DAL,ATL,W 40-39,True,5,2,58,29.00,0,40.0%,11.60,,0,0,75,91%,0,0%,0,0%,False,Michael Gallup,True,40,39
2020.0,2020-09-27,3.0,3.0,24.207,DAL,SEA,L 31-38,True,9,6,138,23.00,1,66.7%,15.33,,1,6,70,85%,0,0%,0,0%,True,Michael Gallup,False,31,38
2020.0,2020-10-04,4.0,4.0,24.214,DAL,CLE,L 38-49,True,5,2,29,14.50,0,40.0%,5.80,,0,0,67,82%,0,0%,0,0%,False,Michael Gallup,False,38,49
2020.0,2020-10-11,5.0,5.0,24.221,DAL,NYG,W 37-34,True,4,4,73,18.25,0,100.0%,18.25,,0,0,64,97%,0,0%,0,0%,False,Michael Gallup,True,37,34
2020.0,2020-10-19,6.0,6.0,24.229,DAL,ARI,L 10-38,True,6,2,23,11.50,0,33.3%,3.83,,0,0,72,81%,0,0%,0,0%,False,Michael Gallup,False,10,38
2020.0,2020-10-25,7.0,7.0,24.235,DAL,WAS,L 3-25,False,2,0,0,,0,0.0%,0.00,,0,0,51,89%,0,0%,0,0%,True,Michael Gallup,False,3,25
2020.0,2020-11-01,8.0,8.0,24.242,DAL,PHI,L 9-23,True,12,7,61,8.71,0,58.3%,5.08,,0,0,69,87%,0,0%,0,0%,True,Michael Gallup,False,9,23
2020.0,2020-11-08,9.0,9.0,24.249,DAL,PIT,L 19-24,True,7,3,36,12.00,0,42.9%,5.14,,0,0,68,94%,0,0%,0,0%,False,Michael Gallup,False,19,24
2020.0,2020-11-22,10.0,11.0,24.263,DAL,MIN,W 31-28,True,5,2,29,14.50,0,40.0%,5.80,,0,0,57,86%,0,0%,0,0%,True,Michael Gallup,True,31,28
2020.0,2020-11-26,11.0,12.0,24.267,DAL,WAS,L 16-41,True,8,6,41,6.83,0,75.0%,5.13,,0,0,45,76%,0,0%,0,0%,False,Michael Gallup,False,16,41
2020.0,2020-12-08,12.0,13.0,24.279,DAL,BAL,L 17-34,True,11,7,86,12.29,1,63.6%,7.82,,1,6,74,94%,0,0%,0,0%,True,Michael Gallup,False,17,34
2020.0,2020-12-13,13.0,14.0,24.284,DAL,CIN,W 30-7,True,6,2,23,11.50,0,33.3%,3.83,,0,0,48,94%,0,0%,0,0%,True,Michael Gallup,True,30,7
2020.0,2020-12-20,14.0,15.0,24.291,DAL,SFO,W 41-33,True,4,3,26,8.67,1,75.0%,6.50,,1,6,38,66%,0,0%,0,0%,False,Michael Gallup,True,41,33
2020.0,2020-12-27,15.0,16.0,24.298,DAL,PHI,W 37-17,True,8,6,121,20.17,2,75.0%,15.13,,2,12,58,83%,0,0%,0,0%,False,Michael Gallup,True,37,17
2020.0,2021-01-03,16.0,17.0,24.305,DAL,NYG,L 19-23,True,8,4,49,12.25,0,50.0%,6.13,,0,0,79,95%,0,0%,0,0%,True,Michael Gallup,False,19,23
2021.0,2021-09-09,1.0,1.0,25.189,DAL,TAM,L 29-31,False,7,4,36,9.00,0,57.1%,5.14,,0,0,50,60%,0,0%,0,0%,True,Michael Gallup,False,29,31
2021.0,2021-09-19,2.0,2.0,,DAL,LAC,W 20-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Michael Gallup,True,20,17
2021.0,2021-09-27,3.0,3.0,,DAL,PHI,W 41-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Michael Gallup,True,41,21
2021.0,2021-10-03,4.0,4.0,,DAL,CAR,W 36-28,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Michael Gallup,True,36,28
2021.0,2021-10-10,5.0,5.0,,DAL,NYG,W 44-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Michael Gallup,True,44,20
2021.0,2021-10-17,6.0,6.0,,DAL,NWE,W 35-29,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Michael Gallup,True,35,29
2021.0,2021-10-31,7.0,8.0,,DAL,MIN,W 20-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Michael Gallup,True,20,16
2021.0,2021-11-07,8.0,9.0,,DAL,DEN,L 16-30,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Michael Gallup,False,16,30
2021.0,2021-11-14,9.0,10.0,25.255,DAL,ATL,W 43-3,True,5,3,42,14.00,0,60.0%,8.40,,0,0,41,53%,0,0%,0,0%,False,Michael Gallup,True,43,3
2021.0,2021-11-21,10.0,11.0,25.262,DAL,KAN,L 9-19,True,10,5,44,8.80,0,50.0%,4.40,,0,0,63,94%,0,0%,0,0%,True,Michael Gallup,False,9,19
2021.0,2021-11-25,11.0,12.0,25.266,DAL,LVR,L 33-36,True,8,5,106,21.20,0,62.5%,13.25,,0,0,71,96%,0,0%,0,0%,False,Michael Gallup,False,33,36
2021.0,2021-12-02,12.0,13.0,25.273,DAL,NOR,W 27-17,True,9,5,36,7.20,1,55.6%,4.00,,1,6,64,91%,0,0%,1,3%,True,Michael Gallup,True,27,17
2021.0,2021-12-12,13.0,14.0,25.283,DAL,WAS,W 27-20,True,9,5,60,12.00,0,55.6%,6.67,,0,0,70,82%,0,0%,0,0%,True,Michael Gallup,True,27,20
2021.0,2021-12-19,14.0,15.0,25.29,DAL,NYG,W 21-6,True,5,3,32,10.67,0,60.0%,6.40,,0,0,65,92%,0,0%,0,0%,True,Michael Gallup,True,21,6
2021.0,2021-12-26,15.0,16.0,25.297,DAL,WAS,W 56-14,True,5,2,53,26.50,0,40.0%,10.60,,0,0,48,66%,0,0%,0,0%,False,Michael Gallup,True,56,14
2021.0,2022-01-02,16.0,17.0,25.304,DAL,ARI,L 22-25,True,4,3,36,12.00,1,75.0%,9.00,,1,6,26,41%,0,0%,0,0%,False,Michael Gallup,False,22,25
2021.0,2022-01-08,17.0,18.0,,DAL,PHI,W 51-26,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Michael Gallup,True,51,26
,55 Games,,,,,,28-27-0,False,348,193,2902,15.04,15,55.5%,8.34,1,15,92,,,,,,,False,Michael Gallup,False,27,0
