Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-13,1,1,24.174,JAX,IND,True,21,97,4.62,1,8,5,26,5.20,0,62.5%,3.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,12,14,Maurice Jones-Drew
2009,2009-09-20,2,2,24.181,JAX,ARI,True,13,66,5.08,0,7,4,17,4.25,0,57.1%,2.43,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,False,False,17,31,Maurice Jones-Drew
2009,2009-09-27,3,3,24.188,JAX,HOU,True,23,119,5.17,3,7,4,28,7.00,0,57.1%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,3,18,0,,0,0,0,0,,,,,,,True,True,31,24,Maurice Jones-Drew
2009,2009-10-04,4,4,24.195,JAX,TEN,True,6,14,2.33,1,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,37,17,Maurice Jones-Drew
2009,2009-10-11,5,5,24.202,JAX,SEA,True,12,34,2.83,0,5,5,23,4.60,0,100.0%,4.60,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,0,41,Maurice Jones-Drew
2009,2009-10-18,6,6,24.209,JAX,STL,True,33,133,4.03,3,7,5,45,9.00,0,71.4%,6.43,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,3,18,1,1,0,0,0,0,,,,,,,False,True,23,20,Maurice Jones-Drew
2009,2009-11-01,7,8,24.223,JAX,TEN,True,8,177,22.13,2,4,1,-4,-4.00,0,25.0%,-1.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,True,False,13,30,Maurice Jones-Drew
2009,2009-11-08,8,9,24.230,JAX,KAN,True,29,97,3.34,1,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,24,21,Maurice Jones-Drew
2009,2009-11-15,9,10,24.237,JAX,NYJ,True,24,123,5.13,1,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,24,22,Maurice Jones-Drew
2009,2009-11-22,10,11,24.244,JAX,BUF,True,25,66,2.64,1,5,4,18,4.50,0,80.0%,3.60,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,1,0,0,,,,,,,False,True,18,15,Maurice Jones-Drew
