Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-10-02,4.0,4.0,26.091,WAS,CLE,W 31-20,True,10,9,73,8.11,2,90.0%,7.30,0,0,,0,2,12,0,0,0,0,0,0,55,89%,0,0%,0,0%,False,Jordan Reed,True,31,20
2016.0,2016-10-09,5.0,5.0,26.098,WAS,BAL,W 16-10,True,11,8,53,6.63,0,72.7%,4.82,0,0,,0,0,0,0,0,0,0,0,0,60,91%,0,0%,0,0%,True,Jordan Reed,True,16,10
2016.0,2016-10-16,6.0,6.0,,WAS,PHI,W 27-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jordan Reed,True,27,20
2016.0,2016-10-23,7.0,7.0,,WAS,DET,L 17-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,False,17,20
2016.0,2016-10-30,8.0,8.0,26.119,WAS,CIN,T 27-27,True,13,9,99,11.00,1,69.2%,7.62,0,0,,0,1,6,0,0,0,0,0,0,72,79%,0,0%,0,0%,True,Jordan Reed,False,27,27
2016.0,2016-11-13,9.0,10.0,26.133,WAS,MIN,W 26-20,True,4,2,41,20.50,0,50.0%,10.25,0,0,,0,0,0,0,0,0,0,0,0,50,79%,0,0%,0,0%,False,Jordan Reed,True,26,20
2016.0,2016-11-20,10.0,11.0,26.14,WAS,GNB,W 42-24,True,6,5,79,15.80,0,83.3%,13.17,0,0,,0,0,0,0,0,0,0,0,0,57,86%,0,0%,0,0%,False,Jordan Reed,True,42,24
2016.0,2016-11-24,11.0,12.0,26.144,WAS,DAL,L 26-31,True,12,10,95,9.50,2,83.3%,7.92,0,0,,0,2,12,0,0,0,0,0,0,37,49%,0,0%,0,0%,True,Jordan Reed,False,26,31
2016.0,2016-12-04,12.0,13.0,,WAS,ARI,L 23-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,False,23,31
2016.0,2016-12-11,13.0,14.0,26.161,WAS,PHI,W 27-22,False,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,0,0,0,0,0,0,10,21%,0,0%,0,0%,True,Jordan Reed,True,27,22
2016.0,2016-12-19,14.0,15.0,26.169,WAS,CAR,L 15-26,False,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0,0,0,0,0,0,19,30%,0,0%,0,0%,False,Jordan Reed,False,15,26
2016.0,2016-12-24,15.0,16.0,,WAS,CHI,W 41-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,True,41,21
2016.0,2017-01-01,16.0,17.0,26.182,WAS,NYG,L 10-19,False,6,5,40,8.00,1,83.3%,6.67,0,0,,0,1,6,1,1,0,0,0,0,34,62%,0,0%,0,0%,False,Jordan Reed,False,10,19
2017.0,2017-09-10,1.0,1.0,27.069,WAS,PHI,L 17-30,True,8,5,36,7.20,0,62.5%,4.50,0,0,,0,0,0,0,0,0,0,0,0,55,87%,0,0%,0,0%,False,Jordan Reed,False,17,30
2017.0,2017-09-17,2.0,2.0,27.076,WAS,LAR,W 27-20,True,6,6,48,8.00,0,100.0%,8.00,0,0,,0,0,0,1,0,0,1,0,0,40,56%,0,0%,0,0%,True,Jordan Reed,True,27,20
2017.0,2017-09-24,3.0,3.0,,WAS,OAK,W 27-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jordan Reed,True,27,10
2017.0,2017-10-02,4.0,4.0,27.091,WAS,KAN,L 20-29,False,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,0,0,0,1,-2,0,14,28%,0,0%,0,0%,True,Jordan Reed,False,20,29
