Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-10-06,4.0,5.0,24.148,CAR,ARI,L 6-22,True,21,39,53.85,308,0,3,47.8,7,50,7.90,4.44,4,25,6.25,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,True,Cam Newton,False,6,22
2013.0,2013-10-13,5.0,6.0,24.155,CAR,MIN,W 35-10,True,20,26,76.92,242,3,0,143.4,1,6,9.31,11.62,9,30,3.33,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,65,93%,0,0%,0,0%,True,Cam Newton,True,35,10
2013.0,2013-10-20,6.0,7.0,24.162,CAR,STL,W 30-15,True,15,17,88.24,204,1,0,136.3,2,24,12.00,13.18,10,26,2.60,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-3,0,58,98%,0,0%,0,0%,False,Cam Newton,True,30,15
2013.0,2013-10-24,7.0,8.0,24.166,CAR,TAM,W 31-13,True,23,32,71.88,221,2,0,111.6,3,26,6.91,8.16,11,50,4.55,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,Cam Newton,True,31,13
2013.0,2013-11-03,8.0,9.0,24.176,CAR,ATL,W 34-10,True,23,37,62.16,249,1,2,68.4,1,7,6.73,4.84,5,22,4.40,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,Cam Newton,True,34,10
2013.0,2013-11-10,9.0,10.0,24.183,CAR,SFO,W 10-9,True,16,32,50.00,169,0,1,52.7,3,28,5.28,3.88,8,15,1.88,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-5,0,66,100%,0,0%,0,0%,True,Cam Newton,True,10,9
2013.0,2013-11-18,10.0,11.0,24.191,CAR,NWE,W 24-20,True,19,28,67.86,209,3,0,125.4,3,12,7.46,9.61,7,62,8.86,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,False,Cam Newton,True,24,20
2013.0,2013-11-24,11.0,12.0,24.197,CAR,MIA,W 20-16,True,19,38,50.00,174,1,1,60.6,3,15,4.58,3.92,7,51,7.29,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,Cam Newton,True,20,16
2013.0,2013-12-01,12.0,13.0,24.204,CAR,TAM,W 27-6,True,18,29,62.07,263,2,2,85.8,0,0,9.07,7.34,5,68,13.60,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,60,94%,0,0%,0,0%,False,Cam Newton,True,27,6
2013.0,2013-12-08,13.0,14.0,24.211,CAR,NOR,L 13-31,True,22,34,64.71,160,1,0,85.4,5,49,4.71,5.29,6,48,8.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,Cam Newton,False,13,31
