Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-12-23,15,16,26.086,SEA,,KAN,W 38-31,True,5,4,99,24.75,0,80.0%,19.80,0,0,,0,1,32,32.00,0,2,13,6.50,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,69,86%,0,0%,10,30%,False,Tyler Lockett
2018,2018-12-30,16,17,26.093,SEA,,ARI,W 27-24,False,2,2,66,33.00,1,100.0%,33.00,1,3,3.00,0,3,63,21.00,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,52,83%,0,0%,11,33%,False,Tyler Lockett
2019,2019-09-08,1,1,26.345,SEA,,CIN,W 21-20,True,2,1,44,44.00,1,50.0%,22.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,90%,0,0%,5,16%,False,Tyler Lockett
2019,2019-09-15,2,2,26.352,SEA,@,PIT,W 28-26,True,12,10,79,7.90,0,83.3%,6.58,0,0,,0,0,0,,0,2,10,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,88%,0,0%,8,27%,True,Tyler Lockett
2019,2019-09-22,3,3,26.359,SEA,,NOR,L 27-33,True,14,11,154,14.00,1,78.6%,11.00,0,0,,0,2,47,23.50,0,3,12,4.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,81,98%,0,0%,12,43%,False,Tyler Lockett
2019,2019-09-29,4,4,27.001,SEA,@,ARI,W 27-10,True,4,4,51,12.75,0,100.0%,12.75,0,0,,0,1,21,21.00,0,2,-3,-1.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,97%,0,0%,6,23%,True,Tyler Lockett
2019,2019-10-03,5,5,27.005,SEA,,LAR,W 30-29,True,4,4,51,12.75,1,100.0%,12.75,1,-8,-8.00,0,1,33,33.00,0,1,0,0.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,92%,0,0%,10,32%,False,Tyler Lockett
2019,2019-10-13,6,6,27.015,SEA,@,CLE,W 32-28,True,5,5,75,15.00,0,100.0%,15.00,1,3,3.00,0,1,21,21.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,78,96%,0,0%,7,27%,True,Tyler Lockett
2019,2019-10-20,7,7,27.022,SEA,,BAL,L 16-30,True,7,5,61,12.20,1,71.4%,8.71,1,-3,-3.00,0,3,58,19.33,0,2,12,6.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,99%,0,0%,10,34%,False,Tyler Lockett
2019,2019-10-27,8,8,27.029,SEA,@,ATL,W 27-20,True,6,6,100,16.67,0,100.0%,16.67,0,0,,0,1,21,21.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,92%,0,0%,6,23%,True,Tyler Lockett
2019,2019-11-03,9,9,27.036,SEA,,TAM,W 40-34,True,18,13,152,11.69,2,72.2%,8.44,0,0,,0,0,0,,0,2,15,7.50,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,68,92%,0,0%,12,33%,False,Tyler Lockett
2019,2019-11-11,10,10,27.044,SEA,@,SFO,W 27-24,True,4,3,26,8.67,0,75.0%,6.50,1,3,3.00,0,3,43,14.33,0,1,20,20.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,71%,0,0%,10,29%,True,Tyler Lockett
2019,2019-11-24,11,12,27.057,SEA,@,PHI,W 17-9,True,2,1,38,38.00,0,50.0%,19.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,True,Tyler Lockett
2019,2019-12-02,12,13,27.065,SEA,,MIN,W 37-30,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,88%,0,0%,0,0%,False,Tyler Lockett
