Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-12-04,12,13,25.311,BAL,,MIA,W 38-6,True,10,50,5.00,1,3,3,18,6.00,1,100.0%,6.00,2,12,0,0,0,0,0,0,37,51%,0,0%,0,0%,False,Terrance West
2016,2016-12-12,13,14,25.319,BAL,@,NWE,L 23-30,True,2,2,1.00,0,4,4,24,6.00,0,100.0%,6.00,0,0,0,0,0,0,0,0,14,20%,0,0%,0,0%,True,Terrance West
2016,2016-12-18,14,15,25.325,BAL,,PHI,W 27-26,True,13,77,5.92,0,4,4,45,11.25,0,100.0%,11.25,0,0,0,0,0,0,0,0,26,45%,0,0%,0,0%,False,Terrance West
2016,2016-12-25,15,16,25.332,BAL,@,PIT,L 27-31,True,10,27,2.70,0,3,3,28,9.33,0,100.0%,9.33,0,0,0,0,0,0,0,0,23,31%,0,0%,0,0%,True,Terrance West
2016,2017-01-01,16,17,25.339,BAL,@,CIN,L 10-27,True,5,18,3.60,0,5,4,17,4.25,0,80.0%,3.40,0,0,0,0,0,0,0,0,25,34%,0,0%,0,0%,True,Terrance West
2017,2017-09-10,1,1,26.225,BAL,@,CIN,W 20-0,True,19,80,4.21,1,1,0,0,,0,0.0%,0.00,1,6,0,0,0,0,0,0,27,41%,0,0%,0,0%,True,Terrance West
2017,2017-09-17,2,2,26.232,BAL,,CLE,W 24-10,True,8,22,2.75,1,2,2,23,11.50,0,100.0%,11.50,1,6,0,0,0,0,0,0,15,22%,0,0%,0,0%,False,Terrance West
2017,2017-09-24,3,3,26.239,BAL,@,JAX,L 7-44,True,6,26,4.33,0,1,0,0,,0,0.0%,0.00,0,0,1,1,0,0,0,0,10,17%,0,0%,0,0%,True,Terrance West
2017,2017-10-01,4,4,26.246,BAL,,PIT,L 9-26,False,4,-7,-1.75,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,11,16%,0,0%,0,0%,False,Terrance West
2017,2017-10-08,5,5,26.253,BAL,@,OAK,W 30-17,True,2,17,8.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,True,Terrance West
