Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-10-30,7,8,26.163,DAL,PHI,False,8,5,103,20.60,1,62.5%,12.88,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,34,Laurent Robinson
2011,2011-11-06,8,9,26.170,DAL,SEA,False,5,5,32,6.40,1,100.0%,6.40,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,13,Laurent Robinson
2011,2011-11-13,9,10,26.177,DAL,BUF,True,3,3,73,24.33,2,100.0%,24.33,0,0,,0,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,44,7,Laurent Robinson
2011,2011-11-20,10,11,26.184,DAL,WAS,True,11,4,34,8.50,1,36.4%,3.09,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,24,Laurent Robinson
2011,2011-11-24,11,12,26.188,DAL,MIA,True,12,7,79,11.29,2,58.3%,6.58,0,0,,0,2,12,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,19,Laurent Robinson
2011,2011-12-04,12,13,26.198,DAL,ARI,False,6,4,72,18.00,0,66.7%,12.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,13,19,Laurent Robinson
2011,2011-12-11,13,14,26.205,DAL,NYG,False,5,4,137,34.25,1,80.0%,27.40,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,34,37,Laurent Robinson
2011,2011-12-17,14,15,26.211,DAL,TAM,False,3,3,29,9.67,1,100.0%,9.67,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,31,15,Laurent Robinson
2011,2011-12-24,15,16,26.218,DAL,PHI,False,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,7,20,Laurent Robinson
2011,2012-01-01,16,17,26.226,DAL,NYG,False,5,4,61,15.25,2,80.0%,12.20,0,0,,0,2,12,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,31,Laurent Robinson
2012,2012-09-09,1,1,27.112,JAX,MIN,True,9,5,66,13.20,0,55.6%,7.33,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,74,94%,0,0%,0,0%,True,False,23,26,Laurent Robinson
2012,2012-09-16,2,2,27.119,JAX,HOU,True,6,3,49,16.33,0,50.0%,8.17,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,88%,0,0%,0,0%,False,False,7,27,Laurent Robinson
2012,2012-09-23,3,3,27.126,JAX,IND,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,8%,0,0%,0,0%,True,True,22,17,Laurent Robinson
2012,2012-09-30,4,4,27.133,JAX,CIN,True,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,43%,0,0%,0,0%,False,False,10,27,Laurent Robinson
