Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2021.0,2021-09-19,2.0,2.0,25.07,DAL,LAC,W 20-17,True,2,2,18,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,73%,0,0%,4,21%,True,Dalton Schultz,True,20,17
2021.0,2021-09-27,3.0,3.0,25.078,DAL,PHI,W 41-21,True,7,6,80,13.33,2,85.7%,11.43,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,52,68%,0,0%,7,23%,False,Dalton Schultz,True,41,21
2021.0,2021-10-03,4.0,4.0,25.084,DAL,CAR,W 36-28,True,8,6,58,9.67,1,75.0%,7.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,79%,0,0%,6,21%,False,Dalton Schultz,True,36,28
2021.0,2021-10-10,5.0,5.0,25.091,DAL,NYG,W 44-20,True,8,6,79,13.17,0,75.0%,9.88,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,73%,0,0%,9,30%,False,Dalton Schultz,True,44,20
2021.0,2021-10-17,6.0,6.0,25.098,DAL,NWE,W 35-29,True,6,5,79,15.80,0,83.3%,13.17,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,84%,0,0%,6,21%,True,Dalton Schultz,True,35,29
2021.0,2021-10-31,7.0,8.0,25.112,DAL,MIN,W 20-16,True,7,2,11,5.50,0,28.6%,1.57,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,5,17%,True,Dalton Schultz,True,20,16
2021.0,2021-11-07,8.0,9.0,25.119,DAL,DEN,L 16-30,True,5,4,54,13.50,0,80.0%,10.80,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,59,95%,0,0%,0,0%,False,Dalton Schultz,False,16,30
2021.0,2021-11-14,9.0,10.0,25.126,DAL,ATL,W 43-3,True,2,1,14,14.00,0,50.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,66%,0,0%,6,24%,False,Dalton Schultz,True,43,3
2021.0,2021-11-21,10.0,11.0,25.133,DAL,KAN,L 9-19,True,8,6,53,8.83,0,75.0%,6.63,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,98%,0,0%,3,11%,True,Dalton Schultz,False,9,19
2021.0,2021-11-25,11.0,12.0,25.137,DAL,LVR,L 33-36,True,7,3,46,15.33,1,42.9%,6.57,0,0,,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,71,96%,0,0%,6,14%,False,Dalton Schultz,False,33,36
2021.0,2021-12-02,12.0,13.0,25.144,DAL,NOR,W 27-17,True,5,5,43,8.60,0,100.0%,8.60,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,96%,0,0%,6,19%,True,Dalton Schultz,True,27,17
2021.0,2021-12-12,13.0,14.0,25.154,DAL,WAS,W 27-20,False,3,1,4,4.00,0,33.3%,1.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,85%,0,0%,6,20%,True,Dalton Schultz,True,27,20
2021.0,2021-12-19,14.0,15.0,25.161,DAL,NYG,W 21-6,True,8,8,67,8.38,1,100.0%,8.38,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,86%,0,0%,5,24%,True,Dalton Schultz,True,21,6
2021.0,2021-12-26,15.0,16.0,25.168,DAL,WAS,W 56-14,True,9,8,82,10.25,1,88.9%,9.11,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,75%,0,0%,6,18%,False,Dalton Schultz,True,56,14
2021.0,2022-01-02,16.0,17.0,25.175,DAL,ARI,L 22-25,True,10,6,54,9.00,0,60.0%,5.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,94%,0,0%,0,0%,False,Dalton Schultz,False,22,25
2021.0,2022-01-08,17.0,18.0,25.181,DAL,PHI,W 51-26,False,3,3,21,7.00,2,100.0%,7.00,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,37,60%,0,0%,3,10%,True,Dalton Schultz,True,51,26
,60 Games,,,,,,33-27-0,False,212,154,1545,10.03,12,72.6%,7.29,1,5,5.00,0,1,12,74,0.0,2,0,2,0,0,1,1,0,2,0,0,,,,,,,False,Dalton Schultz,False,27,0
