Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2010,2010-10-03,4,4,32.267,CIN,CLE,False,5,3,59,19.67,0,60.0%,11.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,False,20,23,Chad Johnson
2010,2010-10-10,5,5,32.274,CIN,TAM,False,6,3,20,6.67,0,50.0%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,False,21,24,Chad Johnson
2010,2010-10-24,6,7,32.288,CIN,ATL,False,16,10,108,10.80,1,62.5%,6.75,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,1,6,0,True,False,32,39,Chad Johnson
2010,2010-10-31,7,8,32.295,CIN,MIA,False,8,3,34,11.33,0,37.5%,4.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,False,14,22,Chad Johnson
2010,2010-11-08,8,9,32.303,CIN,PIT,False,7,1,15,15.00,0,14.3%,2.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,False,21,27,Chad Johnson
2010,2010-11-14,9,10,32.309,CIN,IND,False,13,7,86,12.29,1,53.8%,6.62,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,True,False,17,23,Chad Johnson
2010,2010-11-21,10,11,32.316,CIN,BUF,False,6,3,28,9.33,1,50.0%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,False,False,31,49,Chad Johnson
2010,2010-11-25,11,12,32.320,CIN,NYJ,False,9,4,41,10.25,0,44.4%,4.56,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,,0,0,0,0,True,False,10,26,Chad Johnson
2010,2010-12-05,12,13,32.330,CIN,NOR,False,10,5,96,19.20,0,50.0%,9.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,False,30,34,Chad Johnson
2010,2010-12-12,13,14,32.337,CIN,PIT,False,9,6,71,11.83,0,66.7%,7.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,False,7,23,Chad Johnson
2010,2010-12-19,14,15,32.344,CIN,CLE,False,3,2,36,18.00,0,66.7%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,19,17,Chad Johnson
2010,2010-12-26,15,16,,CIN,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,20,Chad Johnson
2010,2011-01-02,16,17,,CIN,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,13,Chad Johnson
