Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-12-30,16,17,,BAL,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,21,Willis McGahee
2008,2008-09-07,1,1,,BAL,CIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,17,10,Willis McGahee
2008,2008-09-21,2,3,26.336,BAL,CLE,True,15,64,4.27,1,2,1,11,11.00,0,50.0%,5.50,,1,6,0,,0,0,0,0,,,,,,,False,True,28,10,Willis McGahee
2008,2008-09-29,3,4,26.344,BAL,PIT,True,13,42,3.23,0,3,3,19,6.33,0,100.0%,6.33,,0,0,0,,0,0,0,0,,,,,,,True,False,20,23,Willis McGahee
2008,2008-10-05,4,5,26.350,BAL,TEN,True,22,64,2.91,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0,,0,0,0,0,,,,,,,False,False,10,13,Willis McGahee
2008,2008-10-12,5,6,26.357,BAL,IND,True,8,18,2.25,0,4,4,26,6.50,0,100.0%,6.50,,0,0,0,,0,0,0,0,,,,,,,True,False,3,31,Willis McGahee
2008,2008-10-19,6,7,26.364,BAL,MIA,False,19,105,5.53,1,2,2,47,23.50,0,100.0%,23.50,,1,6,1,1,0,0,0,0,,,,,,,True,True,27,13,Willis McGahee
2008,2008-10-26,7,8,27.005,BAL,OAK,True,23,58,2.52,1,3,2,-1,-0.50,0,66.7%,-0.33,,1,6,1,1,0,0,0,0,,,,,,,False,True,29,10,Willis McGahee
2008,2008-11-02,8,9,,BAL,CLE,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,37,27,Willis McGahee
2008,2008-11-09,9,10,27.019,BAL,HOU,False,25,112,4.48,2,1,1,9,9.00,0,100.0%,9.00,,2,12,0,,0,0,0,0,,,,,,,True,True,41,13,Willis McGahee
2008,2008-11-16,10,11,27.026,BAL,NYG,True,9,18,2.00,0,2,2,7,3.50,0,100.0%,3.50,,0,0,0,,0,0,0,0,,,,,,,True,False,10,30,Willis McGahee
2008,2008-11-23,11,12,27.033,BAL,PHI,True,7,8,1.14,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,True,36,7,Willis McGahee
2008,2008-11-30,12,13,,BAL,CIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,34,3,Willis McGahee
2008,2008-12-07,13,14,27.047,BAL,WAS,True,11,32,2.91,0,2,1,-8,-8.00,0,50.0%,-4.00,,0,0,1,1,0,0,0,0,,,,,,,False,True,24,10,Willis McGahee
2008,2008-12-14,14,15,27.054,BAL,PIT,False,6,18,3.00,0,6,2,15,7.50,0,33.3%,2.50,,0,0,0,,0,1,0,0,,,,,,,False,False,9,13,Willis McGahee
2008,2008-12-20,15,16,27.060,BAL,DAL,False,8,108,13.50,1,3,3,21,7.00,0,100.0%,7.00,,1,6,0,,0,0,0,0,,,,,,,True,True,33,24,Willis McGahee
2008,2008-12-28,16,17,27.068,BAL,JAX,False,4,24,6.00,1,3,2,25,12.50,0,66.7%,8.33,,1,6,0,,0,0,0,0,,,,,,,False,True,27,7,Willis McGahee
2009,2009-09-13,1,1,27.327,BAL,KAN,False,10,44,4.40,1,5,4,31,7.75,1,80.0%,6.20,,2,12,0,,0,0,0,0,,,,,,,False,True,38,24,Willis McGahee
2009,2009-09-20,2,2,27.334,BAL,SDG,False,15,79,5.27,2,2,2,10,5.00,0,100.0%,5.00,,2,12,0,,0,0,0,0,,,,,,,True,True,31,26,Willis McGahee
2009,2009-09-27,3,3,27.341,BAL,CLE,False,7,67,9.57,2,1,0,0,,0,0.0%,0.00,,2,12,1,1,0,0,0,0,,,,,,,False,True,34,3,Willis McGahee
2009,2009-10-04,4,4,27.348,BAL,NWE,True,5,11,2.20,0,3,1,13,13.00,1,33.3%,4.33,,1,6,0,,0,0,0,0,,,,,,,True,False,21,27,Willis McGahee
2009,2009-10-11,5,5,27.355,BAL,CIN,False,1,-2,-2.00,0,1,1,4,4.00,0,100.0%,4.00,,0,0,0,,0,0,0,0,,,,,,,False,False,14,17,Willis McGahee
2009,2009-10-18,6,6,27.362,BAL,MIN,False,7,3,0.43,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,31,33,Willis McGahee
2009,2009-11-01,7,8,28.011,BAL,DEN,False,2,-1,-0.50,0,1,1,4,4.00,0,100.0%,4.00,,0,0,0,,0,0,0,0,,,,,,,False,True,30,7,Willis McGahee
2009,2009-11-08,8,9,28.018,BAL,CIN,False,,,,,,,,,,0.0%,,,0,0,0,,,0,0,0,,,,,,,True,False,7,17,Willis McGahee
2009,2009-11-16,9,10,28.026,BAL,CLE,False,13,35,2.69,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,16,0,Willis McGahee
2009,2009-11-22,10,11,28.032,BAL,IND,False,6,25,4.17,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0,,0,0,0,0,,,,,,,False,False,15,17,Willis McGahee
2009,2009-11-29,11,12,28.039,BAL,PIT,False,5,18,3.60,1,1,1,1,1.00,0,100.0%,1.00,,1,6,0,,0,0,0,0,,,,,,,False,True,20,17,Willis McGahee
2009,2009-12-07,12,13,28.047,BAL,GNB,False,4,-4,-1.00,1,1,0,0,,0,0.0%,0.00,,1,6,0,,0,0,0,0,,,,,,,True,False,14,27,Willis McGahee
2009,2009-12-13,13,14,28.053,BAL,DET,False,12,76,6.33,2,1,1,2,2.00,0,100.0%,2.00,,2,12,0,,0,0,0,0,,,,,,,False,True,48,3,Willis McGahee
2009,2009-12-20,14,15,28.060,BAL,CHI,False,4,9,2.25,0,5,3,13,4.33,0,60.0%,2.60,,0,0,0,,0,1,0,0,,,,,,,False,True,31,7,Willis McGahee
2009,2009-12-27,15,16,28.067,BAL,PIT,False,2,17,8.50,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,20,23,Willis McGahee
2009,2010-01-03,16,17,28.074,BAL,OAK,False,16,167,10.44,3,0,0,0,,0,0.0%,,,3,18,0,,0,0,0,0,,,,,,,True,True,21,13,Willis McGahee
2010,2010-09-13,1,1,28.327,BAL,NYJ,False,6,-2,-0.33,1,1,1,-6,-6.00,0,100.0%,-6.00,,1,6,1,1,0,0,0,0,,,,,,,True,True,10,9,Willis McGahee
2010,2010-09-19,2,2,28.333,BAL,CIN,False,3,10,3.33,0,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,True,False,10,15,Willis McGahee
2010,2010-09-26,3,3,28.340,BAL,CLE,False,7,29,4.14,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,True,24,17,Willis McGahee
2010,2010-10-03,4,4,28.347,BAL,PIT,True,14,39,2.79,1,3,2,2,1.00,0,66.7%,0.67,,1,6,1,1,0,0,0,0,,,,,,,True,True,17,14,Willis McGahee
2010,2010-10-10,5,5,28.354,BAL,DEN,False,10,67,6.70,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,False,True,31,17,Willis McGahee
2010,2010-10-17,6,6,,BAL,NWE,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,20,23,Willis McGahee
2010,2010-10-24,7,7,29.003,BAL,BUF,True,11,64,5.82,1,2,1,10,10.00,0,50.0%,5.00,,1,6,0,,0,0,0,0,,,,,,,False,True,37,34,Willis McGahee
2010,2010-11-07,8,9,29.017,BAL,MIA,False,6,24,4.00,0,3,3,42,14.00,1,100.0%,14.00,,1,6,0,,0,0,0,0,,,,,,,False,True,26,10,Willis McGahee
2010,2010-11-11,9,10,29.021,BAL,ATL,False,3,8,2.67,0,1,1,-4,-4.00,0,100.0%,-4.00,,0,0,0,,0,0,0,0,,,,,,,True,False,21,26,Willis McGahee
2010,2010-11-21,10,11,29.031,BAL,CAR,False,8,23,2.88,0,2,2,-10,-5.00,0,100.0%,-5.00,,0,0,0,,0,0,0,0,,,,,,,True,True,37,13,Willis McGahee
2010,2010-11-28,11,12,29.038,BAL,TAM,False,4,12,3.00,0,3,3,13,4.33,0,100.0%,4.33,,0,0,0,,0,0,0,0,,,,,,,False,True,17,10,Willis McGahee
2010,2010-12-05,12,13,29.045,BAL,PIT,False,7,7,1.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,False,10,13,Willis McGahee
2010,2010-12-13,13,14,29.053,BAL,HOU,False,4,7,1.75,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,True,True,34,28,Willis McGahee
2010,2010-12-19,14,15,29.059,BAL,NOR,False,7,53,7.57,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,True,30,24,Willis McGahee
2010,2010-12-26,15,16,29.066,BAL,CLE,False,8,34,4.25,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,20,10,Willis McGahee
2010,2011-01-02,16,17,29.073,BAL,CIN,False,2,5,2.50,0,1,1,8,8.00,0,100.0%,8.00,,0,0,0,,0,0,0,0,,,,,,,False,True,13,7,Willis McGahee
2011,2011-09-12,1,1,29.326,DEN,OAK,False,4,3,0.75,0,7,5,32,6.40,0,71.4%,4.57,,0,0,1,0,0,1,0,0,,,,,,,False,False,20,23,Willis McGahee
2011,2011-09-18,2,2,29.332,DEN,CIN,True,28,101,3.61,1,2,1,5,5.00,0,50.0%,2.50,,1,6,0,,0,0,0,0,,,,,,,False,True,24,22,Willis McGahee
2011,2011-09-25,3,3,29.339,DEN,TEN,True,22,52,2.36,0,5,3,2,0.67,1,60.0%,0.40,,1,6,0,,0,0,0,0,,,,,,,True,False,14,17,Willis McGahee
2011,2011-10-02,4,4,29.346,DEN,GNB,True,15,103,6.87,0,2,2,10,5.00,0,100.0%,5.00,,0,0,0,,0,0,0,0,,,,,,,True,False,23,49,Willis McGahee
2011,2011-10-09,5,5,29.353,DEN,SDG,True,16,125,7.81,0,1,0,0,,0,0.0%,0.00,1,0,2,0,,0,0,0,0,,,,,,,False,False,24,29,Willis McGahee
2011,2011-10-23,6,7,30.002,DEN,MIA,True,18,76,4.22,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,True,True,18,15,Willis McGahee
2011,2011-10-30,7,8,,DEN,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,45,Willis McGahee
2011,2011-11-06,8,9,30.016,DEN,OAK,True,20,163,8.15,2,0,0,0,,0,0.0%,,,2,12,0,,0,0,0,0,,,,,,,True,True,38,24,Willis McGahee
2011,2011-11-13,9,10,30.023,DEN,KAN,True,4,17,4.25,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,17,10,Willis McGahee
2011,2011-11-17,10,11,30.027,DEN,NYJ,True,12,18,1.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,False,True,17,13,Willis McGahee
2011,2011-11-27,11,12,30.037,DEN,SDG,True,23,117,5.09,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,16,13,Willis McGahee
2011,2011-12-04,12,13,30.044,DEN,MIN,True,20,111,5.55,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,0,0,,,,,,,True,True,35,32,Willis McGahee
2011,2011-12-11,13,14,30.051,DEN,CHI,True,17,34,2.00,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0,,0,0,0,0,,,,,,,False,True,13,10,Willis McGahee
2011,2011-12-18,14,15,30.058,DEN,NWE,True,7,70,10.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,False,23,41,Willis McGahee
2011,2011-12-24,15,16,30.064,DEN,BUF,True,15,64,4.27,0,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,True,False,14,40,Willis McGahee
2011,2012-01-01,16,17,30.072,DEN,KAN,True,28,145,5.18,0,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,False,False,3,7,Willis McGahee
2012,2012-09-09,1,1,30.324,DEN,PIT,True,16,64,4.00,0,1,0,0,,0,0.0%,0.00,1,0,2,1,1,0,0,0,0,40,69%,0,0%,0,0%,False,True,31,19,Willis McGahee
2012,2012-09-17,2,2,30.332,DEN,ATL,True,22,113,5.14,2,2,2,11,5.50,0,100.0%,5.50,,2,12,0,0,0,0,0,0,49,67%,0,0%,0,0%,True,False,21,27,Willis McGahee
2012,2012-09-23,3,3,30.338,DEN,HOU,True,12,36,3.00,0,2,1,6,6.00,0,50.0%,3.00,,0,0,0,0,0,0,0,0,28,35%,0,0%,0,0%,False,False,25,31,Willis McGahee
2012,2012-09-30,4,4,30.345,DEN,OAK,True,19,112,5.89,1,6,6,23,3.83,0,100.0%,3.83,,1,6,0,0,0,0,0,0,36,47%,0,0%,0,0%,False,True,37,6,Willis McGahee
2012,2012-10-07,5,5,30.352,DEN,NWE,False,14,51,3.64,0,6,5,51,10.20,0,83.3%,8.50,,0,0,1,1,0,0,0,0,42,63%,0,0%,0,0%,True,False,21,31,Willis McGahee
2012,2012-10-15,6,6,30.360,DEN,SDG,True,17,56,3.29,0,5,4,42,10.50,0,80.0%,8.40,,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,True,True,35,24,Willis McGahee
2012,2012-10-28,7,8,31.007,DEN,NOR,True,23,122,5.30,1,2,2,33,16.50,0,100.0%,16.50,,1,6,1,1,0,0,0,0,43,58%,0,0%,0,0%,False,True,34,14,Willis McGahee
2012,2012-11-04,8,9,31.014,DEN,CIN,True,23,66,2.87,0,1,1,4,4.00,0,100.0%,4.00,,0,0,0,0,0,0,0,0,50,79%,0,0%,0,0%,True,True,31,23,Willis McGahee
