Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-10-06,5,5,23.199,MIN,@,NOR,W 30-27,True,21,32,1.52,0,4,1,9,9.00,0,25.0%,2.25,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2008,2008-10-12,6,6,23.205,MIN,,DET,W 12-10,True,25,111,4.44,0,2,1,-5,-5.00,0,50.0%,-2.50,0,0,,0,,0,0,2,2,0,0,0,0,,,,,,,False,Adrian Peterson
2008,2008-10-19,7,7,23.212,MIN,@,CHI,L 41-48,True,22,121,5.50,2,3,1,9,9.00,0,33.3%,3.00,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2008,2008-11-02,8,9,23.226,MIN,,HOU,W 28-21,True,25,139,5.56,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2008,2008-11-09,9,10,23.233,MIN,,GNB,W 28-27,True,30,192,6.40,1,4,3,33,11.00,0,75.0%,8.25,0,0,,0,,1,6,1,0,0,0,0,0,,,,,,,False,Adrian Peterson
2008,2008-11-16,10,11,23.240,MIN,@,TAM,L 13-19,True,19,85,4.47,0,3,1,-3,-3.00,0,33.3%,-1.00,1,16,16.00,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2008,2008-11-23,11,12,23.247,MIN,@,JAX,W 30-12,False,17,80,4.71,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2008,2008-11-30,12,13,23.254,MIN,,CHI,W 34-14,True,28,131,4.68,1,3,2,-1,-0.50,0,66.7%,-0.33,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2008,2008-12-07,13,14,23.261,MIN,@,DET,W 20-16,True,22,105,4.77,0,2,1,15,15.00,0,50.0%,7.50,0,0,,0,,0,0,2,0,0,1,0,0,,,,,,,True,Adrian Peterson
2008,2008-12-14,14,15,23.268,MIN,@,ARI,W 35-14,True,28,165,5.89,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2008,2008-12-21,15,16,23.275,MIN,,ATL,L 17-24,True,22,76,3.45,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0,2,1,0,1,0,0,,,,,,,False,Adrian Peterson
2008,2008-12-28,16,17,23.282,MIN,,NYG,W 20-19,True,21,103,4.90,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,1,0,0,0,0,0,,,,,,,False,Adrian Peterson
2009,2009-09-13,1,1,24.176,MIN,@,CLE,W 34-20,True,25,180,7.20,3,1,1,18,18.00,0,100.0%,18.00,0,0,,0,,3,18,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2009,2009-09-20,2,2,24.183,MIN,@,DET,W 27-13,True,15,92,6.13,1,4,4,24,6.00,0,100.0%,6.00,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,True,Adrian Peterson
2009,2009-09-27,3,3,24.190,MIN,,SFO,W 27-24,True,19,85,4.47,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2009,2009-10-05,4,4,24.198,MIN,,GNB,W 30-23,True,25,55,2.20,1,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,False,Adrian Peterson
2009,2009-10-11,5,5,24.204,MIN,@,STL,W 38-10,True,14,63,4.50,2,2,2,6,3.00,0,100.0%,3.00,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2009,2009-10-18,6,6,24.211,MIN,,BAL,W 33-31,True,22,143,6.50,0,6,4,23,5.75,0,66.7%,3.83,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2009,2009-10-25,7,7,24.218,MIN,@,PIT,L 17-27,False,18,69,3.83,1,4,4,60,15.00,0,100.0%,15.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2009,2009-11-01,8,8,24.225,MIN,@,GNB,W 38-26,True,25,97,3.88,1,2,1,44,44.00,0,50.0%,22.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2009,2009-11-15,9,10,24.239,MIN,,DET,W 27-10,True,18,133,7.39,2,3,2,10,5.00,0,66.7%,3.33,0,0,,0,,2,12,2,0,0,0,-12,0,,,,,,,False,Adrian Peterson
2009,2009-11-22,10,11,24.246,MIN,,SEA,W 35-9,True,24,82,3.42,0,5,4,16,4.00,0,80.0%,3.20,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2009,2009-11-29,11,12,24.253,MIN,,CHI,W 36-10,True,25,85,3.40,1,4,2,18,9.00,0,50.0%,4.50,0,0,,0,,1,6,2,1,0,0,0,0,,,,,,,False,Adrian Peterson
2009,2009-12-06,12,13,24.260,MIN,@,ARI,L 17-30,True,13,19,1.46,0,7,6,46,7.67,0,85.7%,6.57,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2009,2009-12-13,13,14,24.267,MIN,,CIN,W 30-10,True,26,97,3.73,2,5,3,40,13.33,0,60.0%,8.00,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2009,2009-12-20,14,15,24.274,MIN,@,CAR,L 7-26,True,12,35,2.92,1,4,3,73,24.33,0,75.0%,18.25,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
