Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-10-27,8,8,22.343,ARI,@,NOR,L 9-31,True,11,8,79,9.88,0,72.7%,7.18,1,19,19.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,86%,0,0%,0,0%,True,Christian Kirk
2019,2019-10-31,9,9,22.347,ARI,,SFO,L 25-28,True,5,2,8,4.00,0,40.0%,1.60,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,54,96%,0,0%,0,0%,False,Christian Kirk
2019,2019-11-10,10,10,22.357,ARI,@,TAM,L 27-30,True,10,6,138,23.00,3,60.0%,13.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0,0,0,0,0,0,64,96%,0,0%,0,0%,True,Christian Kirk
2019,2019-11-17,11,11,22.364,ARI,@,SFO,L 26-36,True,9,6,41,6.83,0,66.7%,4.56,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,99%,0,0%,0,0%,True,Christian Kirk
2019,2019-12-01,12,13,23.013,ARI,,LAR,L 7-34,True,7,3,23,7.67,0,42.9%,3.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,95%,0,0%,0,0%,False,Christian Kirk
2019,2019-12-08,13,14,23.020,ARI,,PIT,L 17-23,True,9,8,85,10.63,0,88.9%,9.44,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,56,97%,0,0%,1,4%,False,Christian Kirk
2019,2019-12-15,14,15,23.027,ARI,,CLE,W 38-24,True,5,4,33,8.25,0,80.0%,6.60,1,28,28.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,54,89%,0,0%,1,4%,False,Christian Kirk
2019,2019-12-22,15,16,23.034,ARI,@,SEA,W 27-13,True,5,0,0,,0,0.0%,0.00,2,9,4.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,94%,0,0%,0,0%,True,Christian Kirk
2019,2019-12-29,16,17,23.041,ARI,@,LAR,L 24-31,True,10,7,60,8.57,0,70.0%,6.00,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,67,99%,0,0%,0,0%,True,Christian Kirk
2020,2020-09-13,1,1,23.300,ARI,@,SFO,W 24-20,True,5,1,0,0.00,0,20.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,,0,0,0,0,0,0,0,0,63,77%,0,0%,5,18%,True,Christian Kirk
