Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-12-30,16,17,24.064,NYJ,@,BUF,L 9-28,False,12,56,4.67,0,6,2,12,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,43,57%,0,0%,5,18%,True,Bilal Powell
2013,2013-09-08,1,1,24.316,NYJ,,TAM,W 18-17,True,12,29,2.42,0,5,4,35,8.75,0,80.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,47,63%,0,0%,0,0%,False,Bilal Powell
2013,2013-09-12,2,2,24.320,NYJ,@,NWE,L 10-13,True,13,48,3.69,1,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,62%,0,0%,0,0%,True,Bilal Powell
2013,2013-09-22,3,3,24.330,NYJ,,BUF,W 27-20,False,27,149,5.52,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,63,81%,0,0%,0,0%,False,Bilal Powell
2013,2013-09-29,4,4,24.337,NYJ,@,TEN,L 13-38,True,14,66,4.71,0,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,75%,0,0%,0,0%,True,Bilal Powell
2013,2013-10-07,5,5,24.345,NYJ,@,ATL,W 30-28,True,12,38,3.17,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,74%,0,0%,0,0%,True,Bilal Powell
2013,2013-10-13,6,6,24.351,NYJ,,PIT,L 6-19,True,9,30,3.33,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,57%,0,0%,0,0%,False,Bilal Powell
2013,2013-10-20,7,7,24.358,NYJ,,NWE,W 30-27,True,3,6,2.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,24%,0,0%,0,0%,False,Bilal Powell
2013,2013-10-27,8,8,25.000,NYJ,@,CIN,L 9-49,True,10,19,1.90,0,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,66%,0,0%,0,0%,True,Bilal Powell
2013,2013-11-03,9,9,25.007,NYJ,,NOR,W 26-20,False,9,29,3.22,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,54%,0,0%,0,0%,False,Bilal Powell
2013,2013-11-17,10,11,25.021,NYJ,@,BUF,L 14-37,True,5,27,5.40,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,53%,0,0%,0,0%,True,Bilal Powell
2013,2013-11-24,11,12,25.028,NYJ,@,BAL,L 3-19,True,11,41,3.73,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,74%,0,0%,0,0%,True,Bilal Powell
2013,2013-12-01,12,13,25.035,NYJ,,MIA,L 3-23,True,7,34,4.86,0,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,56%,0,0%,0,0%,False,Bilal Powell
2013,2013-12-08,13,14,25.042,NYJ,,OAK,W 37-27,False,8,14,1.75,0,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,,,0,0,0,0,0,0,28,48%,0,0%,0,0%,False,Bilal Powell
2013,2013-12-15,14,15,25.049,NYJ,@,CAR,L 20-30,False,8,37,4.63,0,4,4,19,4.75,0,100.0%,4.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,47%,0,0%,0,0%,True,Bilal Powell
2013,2013-12-22,15,16,25.056,NYJ,,CLE,W 24-13,True,7,54,7.71,0,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,45%,0,0%,0,0%,False,Bilal Powell
2013,2013-12-29,16,17,25.063,NYJ,@,MIA,W 20-7,False,21,76,3.62,0,3,1,-4,-4.00,0,33.3%,-1.33,1,1,100.00,30,0,0,118.7,0,0,30.00,30.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,74%,0,0%,0,0%,True,Bilal Powell
2014,2014-09-07,1,1,25.315,NYJ,,OAK,W 19-14,False,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,17%,0,0%,22,79%,False,Bilal Powell
2014,2014-09-14,2,2,25.322,NYJ,@,GNB,L 24-31,False,4,16,4.00,0,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,24%,0,0%,20,67%,True,Bilal Powell
2014,2014-09-22,3,3,25.330,NYJ,,CHI,L 19-27,False,2,13,6.50,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,0,0,,,1,25,25.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,17,23%,0,0%,20,67%,False,Bilal Powell
2014,2014-09-28,4,4,25.336,NYJ,,DET,L 17-24,False,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,17%,0,0%,21,70%,False,Bilal Powell
2014,2014-10-05,5,5,25.343,NYJ,@,SDG,L 0-31,False,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,28%,0,0%,18,72%,True,Bilal Powell
2014,2014-10-12,6,6,25.350,NYJ,,DEN,L 17-31,False,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,29%,0,0%,25,74%,False,Bilal Powell
2014,2014-10-16,7,7,25.354,NYJ,@,NWE,L 25-27,False,1,7,7.00,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,14%,0,0%,13,42%,True,Bilal Powell
2014,2014-10-26,8,8,25.364,NYJ,,BUF,L 23-43,False,4,28,7.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,22,26%,0,0%,12,34%,False,Bilal Powell
