Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-11-28,12,13,24.024,GNB,DET,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,72%,0,0%,7,26%,True,False,10,40,Jarrett Boykin
2013,2013-12-08,13,14,24.034,GNB,ATL,True,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,77%,0,0%,0,0%,False,True,22,21,Jarrett Boykin
2013,2013-12-15,14,15,24.041,GNB,DAL,False,6,6,83,13.83,0,100.0%,13.83,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,71%,0,0%,1,3%,True,True,37,36,Jarrett Boykin
2013,2013-12-22,15,16,24.048,GNB,PIT,True,13,5,54,10.80,1,38.5%,4.15,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,70,90%,0,0%,0,0%,False,False,31,38,Jarrett Boykin
2013,2013-12-29,16,17,24.055,GNB,CHI,True,4,2,8,4.00,0,50.0%,2.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,1,15,1,39,50%,0,0%,0,0%,True,True,33,28,Jarrett Boykin
2014,2014-09-04,1,1,24.304,GNB,SEA,True,,,,,,0.0%,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,49,79%,0,0%,7,26%,True,False,16,36,Jarrett Boykin
2014,2014-09-14,2,2,24.314,GNB,NYJ,True,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,48%,0,0%,5,17%,False,True,31,24,Jarrett Boykin
2014,2014-09-21,3,3,24.321,GNB,DET,True,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,68%,0,0%,4,20%,True,False,7,19,Jarrett Boykin
2014,2014-09-28,4,4,,GNB,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,38,17,Jarrett Boykin
2014,2014-10-02,5,5,,GNB,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,42,10,Jarrett Boykin
2014,2014-10-12,6,6,,GNB,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,27,24,Jarrett Boykin
2014,2014-10-19,7,7,24.349,GNB,CAR,False,,,,,,0.0%,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,12,21%,0,0%,8,25%,False,True,38,17,Jarrett Boykin
2014,2014-10-26,8,8,24.356,GNB,NOR,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,8,12%,0,0%,0,0%,True,False,23,44,Jarrett Boykin
2014,2014-11-09,9,10,25.005,GNB,CHI,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,2,1,3,1,0,0,0,1,0,0,0,22,33%,0,0%,19,59%,False,True,55,14,Jarrett Boykin
2014,2014-11-16,10,11,25.012,GNB,PHI,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,13,19%,0,0%,18,53%,False,True,53,20,Jarrett Boykin
2014,2014-11-23,11,12,25.019,GNB,MIN,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,4,6%,0,0%,13,52%,True,True,24,21,Jarrett Boykin
2014,2014-11-30,12,13,25.026,GNB,NWE,False,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,18%,0,0%,12,44%,False,True,26,21,Jarrett Boykin
2014,2014-12-08,13,14,25.034,GNB,ATL,False,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,18,55%,False,True,43,37,Jarrett Boykin
2014,2014-12-14,14,15,25.040,GNB,BUF,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,18%,0,0%,23,68%,True,False,13,21,Jarrett Boykin
2014,2014-12-21,15,16,25.047,GNB,TAM,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,26%,0,0%,16,73%,True,True,20,3,Jarrett Boykin
2014,2014-12-28,16,17,25.054,GNB,DET,False,,,,,,0.0%,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,2,3%,0,0%,17,71%,False,True,30,20,Jarrett Boykin
,39 Games,,,,,,False,101,57,731,12.82,3,56.4%,7.24,1,3,3.00,0,4,24,0.0,6,2,8,1,0,0,0,2,2,15,1,,,,,,,False,False,13,1,Jarrett Boykin
