Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-10-20,7.0,7.0,24.177,DAL,PHI,W 17-3,True,7,6,53,8.83,0,85.7%,7.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,30%,0,0%,0,0%,True,Cole Beasley,True,17,3
2013.0,2013-10-27,8.0,8.0,24.184,DAL,DET,L 30-31,True,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,23,40%,0,0%,0,0%,True,Cole Beasley,False,30,31
2013.0,2013-11-03,9.0,9.0,24.191,DAL,MIN,W 27-23,False,9,6,68,11.33,0,66.7%,7.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,58%,0,0%,0,0%,False,Cole Beasley,True,27,23
2013.0,2013-11-10,10.0,10.0,24.198,DAL,NOR,L 17-49,False,4,1,18,18.00,0,25.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,1,11,11.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,51%,0,0%,1,3%,True,Cole Beasley,False,17,49
2013.0,2013-11-24,11.0,12.0,24.212,DAL,NYG,W 24-21,False,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,19,6.33,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,12%,0,0%,5,18%,True,Cole Beasley,True,24,21
2013.0,2013-11-28,12.0,13.0,24.216,DAL,OAK,W 31-24,False,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,27,6.75,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,18%,0,0%,7,23%,False,Cole Beasley,True,31,24
2013.0,2013-12-09,13.0,14.0,24.227,DAL,CHI,L 28-45,False,3,2,20,10.00,1,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,10,18%,0,0%,4,14%,True,Cole Beasley,False,28,45
2013.0,2013-12-15,14.0,15.0,24.233,DAL,GNB,L 36-37,False,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,15%,0,0%,5,14%,False,Cole Beasley,False,36,37
2013.0,2013-12-22,15.0,16.0,24.24,DAL,WAS,W 24-23,True,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,25%,0,0%,0,0%,True,Cole Beasley,True,24,23
2013.0,2013-12-29,16.0,17.0,24.247,DAL,PHI,L 22-24,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,18%,0,0%,1,4%,False,Cole Beasley,False,22,24
