Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-12-13,13,14,30.112,NOR,@,PHI,L 21-24,True,28,38,73.68,291,2,1,102.0,5,29,7.66,7.53,5,33,6.60,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,63,100%,0,0%,0,0%,True,Taysom Hill
2020,2020-12-20,14,15,30.119,NOR,,KAN,L 29-32,False,0,0,,0,0,0,,0,0,,,2,3,1.50,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,10,18%,0,0%,9,27%,False,Taysom Hill
2020,2020-12-25,15,16,30.124,NOR,,MIN,W 52-33,False,2,2,100.00,8,0,0,83.3,0,0,4.00,4.00,5,18,3.60,1,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,24,32%,0,0%,5,16%,False,Taysom Hill
2020,2021-01-03,16,17,30.133,NOR,@,CAR,W 33-7,False,0,0,,0,0,0,,0,0,,,7,41,5.86,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,21,33%,0,0%,3,13%,True,Taysom Hill
2021,2021-09-12,1,1,31.020,NOR,,GNB,W 38-3,False,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,35%,0,0%,1,5%,False,Taysom Hill
2021,2021-09-19,2,2,31.027,NOR,@,CAR,L 7-26,True,0,0,,0,0,0,,0,0,,,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,10,23%,0,0%,6,24%,True,Taysom Hill
2021,2021-09-26,3,3,31.034,NOR,@,NWE,W 28-13,True,0,0,,0,0,0,,0,0,,,6,32,5.33,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,53%,0,0%,5,17%,True,Taysom Hill
2021,2021-10-03,4,4,31.041,NOR,,NYG,L 21-27,True,2,3,66.67,9,0,1,30.6,0,0,3.00,-12.00,6,28,4.67,2,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,34,50%,0,0%,3,12%,False,Taysom Hill
2021,2021-10-10,5,5,31.048,NOR,@,WAS,W 33-22,True,0,0,,0,0,0,,0,0,,,0,0,,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,16%,0,0%,0,0%,True,Taysom Hill
2021,2021-10-25,6,7,,NOR,@,SEA,W 13-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Taysom Hill
