Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-12-14,13.0,14.0,26.214,SFO,ARI,W 24-9,True,25,167,6.68,1,3,2,10,5.00,0,66.7%,3.33,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,24,9
2009.0,2009-12-20,14.0,15.0,26.22,SFO,PHI,L 13-27,True,16,107,6.69,0,5,3,19,6.33,0,60.0%,3.80,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,13,27
2009.0,2009-12-27,15.0,16.0,26.227,SFO,DET,W 20-6,True,28,71,2.54,1,6,4,81,20.25,0,66.7%,13.50,,1,6,1,1,0,0,0,0,,,,,,,False,Frank Gore,True,20,6
2009.0,2010-01-03,16.0,17.0,26.234,SFO,STL,W 28-6,True,23,107,4.65,2,4,2,25,12.50,0,50.0%,6.25,,2,12,0,,0,0,0,0,,,,,,,True,Frank Gore,True,28,6
2010.0,2010-09-12,1.0,1.0,27.121,SFO,SEA,L 6-31,True,17,38,2.24,0,7,6,45,7.50,0,85.7%,6.43,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,6,31
2010.0,2010-09-20,2.0,2.0,27.129,SFO,NOR,L 22-25,True,20,112,5.60,1,9,7,56,8.00,1,77.8%,6.22,,2,12,1,0,0,1,0,0,,,,,,,False,Frank Gore,False,22,25
2010.0,2010-09-26,3.0,3.0,27.135,SFO,KAN,L 10-31,True,15,43,2.87,0,13,9,102,11.33,0,69.2%,7.85,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,10,31
2010.0,2010-10-03,4.0,4.0,27.142,SFO,ATL,L 14-16,True,21,77,3.67,0,8,7,60,8.57,0,87.5%,7.50,,0,0,1,0,0,0,0,0,,,,,,,True,Frank Gore,False,14,16
2010.0,2010-10-10,5.0,5.0,27.149,SFO,PHI,L 24-27,True,18,52,2.89,0,8,4,21,5.25,1,50.0%,2.63,,1,6,2,2,0,0,0,0,,,,,,,False,Frank Gore,False,24,27
2010.0,2010-10-17,6.0,6.0,27.156,SFO,OAK,W 17-9,True,25,149,5.96,0,5,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,17,9
2010.0,2010-10-24,7.0,7.0,27.163,SFO,CAR,L 20-23,True,19,102,5.37,0,8,4,57,14.25,0,50.0%,7.13,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,20,23
2010.0,2010-10-31,8.0,8.0,27.17,SFO,DEN,W 24-16,True,29,118,4.07,1,1,1,7,7.00,0,100.0%,7.00,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,24,16
2010.0,2010-11-14,9.0,10.0,27.184,SFO,STL,W 23-20,True,22,87,3.95,1,4,3,67,22.33,0,75.0%,16.75,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,23,20
2010.0,2010-11-21,10.0,11.0,27.191,SFO,TAM,L 0-21,True,12,23,1.92,0,8,5,37,7.40,0,62.5%,4.63,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,0,21
2010.0,2010-11-29,11.0,12.0,27.199,SFO,ARI,W 27-6,True,5,52,10.40,0,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,True,27,6
2010.0,2010-12-05,12.0,13.0,,SFO,GNB,L 16-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Frank Gore,False,16,34
