Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-30,4.0,4.0,,NYG,NOR,L 18-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Evan Engram,False,18,33
2018.0,2018-10-07,5.0,5.0,,NYG,CAR,L 31-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Evan Engram,False,31,33
2018.0,2018-10-11,6.0,6.0,,NYG,PHI,L 13-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Evan Engram,False,13,34
2018.0,2018-10-22,7.0,7.0,24.05,NYG,ATL,L 20-23,True,4,2,16,8.00,0,50.0%,4.00,1,10,10.00,0,,0,0,0,0,0,0,0,0,52,81%,0,0%,0,0%,True,Evan Engram,False,20,23
2018.0,2018-10-28,8.0,8.0,24.056,NYG,WAS,L 13-20,True,9,5,25,5.00,1,55.6%,2.78,0,0,,0,,1,6,0,0,0,0,0,0,62,89%,0,0%,1,3%,False,Evan Engram,False,13,20
2018.0,2018-11-12,9.0,10.0,24.071,NYG,SFO,W 27-23,False,5,4,46,11.50,0,80.0%,9.20,0,0,,0,,0,0,0,0,0,0,0,0,36,61%,0,0%,0,0%,True,Evan Engram,True,27,23
2018.0,2018-11-18,10.0,11.0,24.077,NYG,TAM,W 38-35,False,2,2,66,33.00,0,100.0%,33.00,0,0,,0,,0,0,0,0,0,0,0,0,17,32%,0,0%,1,3%,False,Evan Engram,True,38,35
2018.0,2018-11-25,11.0,12.0,,NYG,PHI,L 22-25,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Evan Engram,False,22,25
2018.0,2018-12-02,12.0,13.0,,NYG,CHI,W 30-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Evan Engram,True,30,27
2018.0,2018-12-09,13.0,14.0,24.098,NYG,WAS,W 40-16,False,5,3,77,25.67,0,60.0%,15.40,0,0,,0,,0,0,0,0,0,0,0,0,33,52%,0,0%,1,3%,True,Evan Engram,True,40,16
2018.0,2018-12-16,14.0,15.0,24.105,NYG,TEN,L 0-17,True,12,8,75,9.38,0,66.7%,6.25,0,0,,0,,0,0,0,0,0,0,0,0,45,69%,0,0%,0,0%,False,Evan Engram,False,0,17
2018.0,2018-12-23,15.0,16.0,24.112,NYG,IND,L 27-28,True,6,6,87,14.50,0,100.0%,14.50,2,26,13.00,0,,0,0,0,0,0,0,0,0,42,66%,0,0%,2,7%,True,Evan Engram,False,27,28
2018.0,2018-12-30,16.0,17.0,24.119,NYG,DAL,L 35-36,True,8,5,81,16.20,1,62.5%,10.13,0,0,,0,1,1,8,0,0,0,0,0,0,51,72%,0,0%,0,0%,False,Evan Engram,False,35,36
2019.0,2019-09-08,1.0,1.0,25.006,NYG,DAL,L 17-35,False,14,11,116,10.55,1,78.6%,8.29,0,0,,0,,1,6,0,0,0,0,0,0,52,76%,0,0%,0,0%,True,Evan Engram,False,17,35
2019.0,2019-09-15,2.0,2.0,25.013,NYG,BUF,L 14-28,True,8,6,48,8.00,0,75.0%,6.00,0,0,,0,,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,False,Evan Engram,False,14,28
2019.0,2019-09-22,3.0,3.0,25.02,NYG,TAM,W 32-31,True,8,6,113,18.83,1,75.0%,14.13,0,0,,0,,1,6,0,0,0,0,0,0,54,87%,0,0%,0,0%,True,Evan Engram,True,32,31
2019.0,2019-09-29,4.0,4.0,25.027,NYG,WAS,W 24-3,True,7,4,54,13.50,0,57.1%,7.71,0,0,,0,,0,0,0,0,0,0,0,0,56,73%,0,0%,0,0%,False,Evan Engram,True,24,3
2019.0,2019-10-06,5.0,5.0,25.034,NYG,MIN,L 10-28,True,11,6,42,7.00,0,54.5%,3.82,2,5,2.50,0,,0,0,0,0,0,0,0,0,57,84%,0,0%,0,0%,False,Evan Engram,False,10,28
2019.0,2019-10-10,6.0,6.0,,NYG,NWE,L 14-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Evan Engram,False,14,35
2019.0,2019-10-20,7.0,7.0,25.048,NYG,ARI,L 21-27,False,5,1,6,6.00,0,20.0%,1.20,0,0,,0,,0,0,0,0,0,0,0,0,58,83%,0,0%,0,0%,False,Evan Engram,False,21,27
2019.0,2019-10-27,8.0,8.0,25.055,NYG,DET,L 26-31,True,7,4,40,10.00,1,57.1%,5.71,0,0,,0,,1,6,0,0,0,0,0,0,65,88%,0,0%,1,4%,True,Evan Engram,False,26,31
2019.0,2019-11-04,9.0,9.0,25.063,NYG,DAL,L 18-37,True,8,6,48,8.00,0,75.0%,6.00,1,2,2.00,0,,0,0,0,0,0,0,0,0,49,69%,0,0%,0,0%,False,Evan Engram,False,18,37
2019.0,2019-11-10,10.0,10.0,,NYG,NYJ,L 27-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Evan Engram,False,27,34
