Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2006,2006-10-29,7,8,27.128,SDG,STL,True,25,183,7.32,2,3,3,57,19.00,1,100.0%,19.00,0,0,,0,0,0,,0,,,,3,18,0,,0,0,0,0,False,True,38,24,LaDainian Tomlinson
2006,2006-11-05,8,9,27.135,SDG,CLE,True,18,172,9.56,3,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,,,,3,18,0,,0,1,0,0,False,True,32,25,LaDainian Tomlinson
2006,2006-11-12,9,10,27.142,SDG,CIN,True,22,104,4.73,4,8,6,54,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,,,,4,24,0,,0,0,0,0,True,True,49,41,LaDainian Tomlinson
2006,2006-11-19,10,11,27.149,SDG,DEN,True,20,105,5.25,3,4,3,74,24.67,1,75.0%,18.50,0,0,,0,0,0,,0,,,,4,24,0,,0,0,0,0,True,True,35,27,LaDainian Tomlinson
2006,2006-11-26,11,12,27.156,SDG,OAK,True,19,109,5.74,2,4,1,5,5.00,0,25.0%,1.25,1,1,100.00,19,1,0,158.3,0,0,19.00,39.00,2,12,0,,0,0,0,0,False,True,21,14,LaDainian Tomlinson
2006,2006-12-03,12,13,27.163,SDG,BUF,True,28,178,6.36,2,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,0,,,,2,12,0,,0,0,0,0,True,True,24,21,LaDainian Tomlinson
2006,2006-12-10,13,14,27.170,SDG,DEN,True,28,103,3.68,3,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,,,,3,18,0,,0,0,0,0,False,True,48,20,LaDainian Tomlinson
2006,2006-12-17,14,15,27.177,SDG,KAN,True,25,199,7.96,2,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,,,2,12,0,,0,0,0,0,False,True,20,9,LaDainian Tomlinson
2006,2006-12-24,15,16,27.184,SDG,SEA,True,22,123,5.59,0,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,True,20,17,LaDainian Tomlinson
2006,2006-12-31,16,17,27.191,SDG,ARI,True,16,66,4.13,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,27,20,LaDainian Tomlinson
2007,2007-09-09,1,1,28.078,SDG,CHI,True,17,25,1.47,1,10,7,51,7.29,0,70.0%,5.10,1,1,100.00,17,1,0,158.3,0,0,17.00,37.00,1,6,0,,0,0,0,0,False,True,14,3,LaDainian Tomlinson
2007,2007-09-16,2,2,28.085,SDG,NWE,True,18,43,2.39,0,7,4,15,3.75,0,57.1%,2.14,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,False,14,38,LaDainian Tomlinson
2007,2007-09-23,3,3,28.092,SDG,GNB,True,22,62,2.82,0,5,3,33,11.00,1,60.0%,6.60,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,True,False,24,31,LaDainian Tomlinson
2007,2007-09-30,4,4,28.099,SDG,KAN,True,20,132,6.60,1,7,5,22,4.40,0,71.4%,3.14,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,False,False,16,30,LaDainian Tomlinson
2007,2007-10-07,5,5,28.106,SDG,DEN,True,21,67,3.19,0,5,3,73,24.33,0,60.0%,14.60,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,True,41,3,LaDainian Tomlinson
2007,2007-10-14,6,6,28.113,SDG,OAK,True,24,198,8.25,4,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,0,,,,4,24,0,,0,0,0,0,False,True,28,14,LaDainian Tomlinson
2007,2007-10-28,7,8,28.127,SDG,HOU,True,17,90,5.29,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,35,10,LaDainian Tomlinson
2007,2007-11-04,8,9,28.134,SDG,MIN,True,16,40,2.50,1,10,6,37,6.17,0,60.0%,3.70,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,True,False,17,35,LaDainian Tomlinson
2007,2007-11-11,9,10,28.141,SDG,IND,True,21,76,3.62,1,5,4,21,5.25,0,80.0%,4.20,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,False,True,23,21,LaDainian Tomlinson
2007,2007-11-18,10,11,28.148,SDG,JAX,True,16,62,3.88,1,6,5,93,18.60,0,83.3%,15.50,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,True,False,17,24,LaDainian Tomlinson
2007,2007-11-25,11,12,28.155,SDG,BAL,True,24,77,3.21,0,8,6,45,7.50,0,75.0%,5.63,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,32,14,LaDainian Tomlinson
2007,2007-12-02,12,13,28.162,SDG,KAN,True,23,177,7.70,2,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,,,,2,12,0,,0,0,0,0,True,True,24,10,LaDainian Tomlinson
2007,2007-12-09,13,14,28.169,SDG,TEN,True,26,146,5.62,1,8,5,27,5.40,1,62.5%,3.38,0,0,,0,0,0,,0,,,,2,12,0,,0,0,0,0,True,True,23,17,LaDainian Tomlinson
2007,2007-12-16,14,15,28.176,SDG,DET,True,15,116,7.73,2,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,,,,2,12,0,,0,0,0,0,False,True,51,14,LaDainian Tomlinson
2007,2007-12-24,15,16,28.184,SDG,DEN,True,19,107,5.63,1,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,False,True,23,3,LaDainian Tomlinson
2007,2007-12-30,16,17,28.190,SDG,OAK,True,16,56,3.50,0,1,1,7,7.00,1,100.0%,7.00,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,True,True,30,17,LaDainian Tomlinson
2008,2008-09-07,1,1,29.076,SDG,CAR,True,21,97,4.62,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,24,26,LaDainian Tomlinson
2008,2008-09-14,2,2,29.083,SDG,DEN,True,10,26,2.60,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,38,39,LaDainian Tomlinson
2008,2008-09-22,3,3,29.091,SDG,NYJ,True,26,67,2.58,2,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,,,,,2,12,0,,0,0,0,0,False,True,48,29,LaDainian Tomlinson
2008,2008-09-28,4,4,29.097,SDG,OAK,True,20,106,5.30,2,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,,,,,2,12,1,0,0,1,0,0,True,True,28,18,LaDainian Tomlinson
2008,2008-10-05,5,5,29.104,SDG,MIA,True,12,35,2.92,0,9,5,22,4.40,0,55.6%,2.44,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,10,17,LaDainian Tomlinson
2008,2008-10-12,6,6,29.111,SDG,NWE,True,20,74,3.70,0,3,3,44,14.67,0,100.0%,14.67,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,30,10,LaDainian Tomlinson
2008,2008-10-19,7,7,29.118,SDG,BUF,True,14,41,2.93,0,7,6,26,4.33,0,85.7%,3.71,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,14,23,LaDainian Tomlinson
2008,2008-10-26,8,8,29.125,SDG,NOR,True,19,105,5.53,0,9,5,65,13.00,1,55.6%,7.22,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,False,32,37,LaDainian Tomlinson
2008,2008-11-09,9,10,29.139,SDG,KAN,True,22,78,3.55,0,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,20,19,LaDainian Tomlinson
2008,2008-11-16,10,11,29.146,SDG,PIT,True,18,57,3.17,1,3,3,45,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,False,10,11,LaDainian Tomlinson
2008,2008-11-23,11,12,29.153,SDG,IND,True,21,84,4.00,0,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,20,23,LaDainian Tomlinson
2008,2008-11-30,12,13,29.160,SDG,ATL,True,14,24,1.71,1,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,False,False,16,22,LaDainian Tomlinson
2008,2008-12-04,13,14,29.164,SDG,OAK,True,25,91,3.64,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,False,True,34,7,LaDainian Tomlinson
2008,2008-12-14,14,15,29.174,SDG,KAN,True,15,39,2.60,1,10,6,35,5.83,0,60.0%,3.50,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,True,22,21,LaDainian Tomlinson
2008,2008-12-21,15,16,29.181,SDG,TAM,True,21,90,4.29,0,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,True,41,24,LaDainian Tomlinson
2008,2008-12-28,16,17,29.188,SDG,DEN,True,14,96,6.86,3,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,18,0,,0,0,0,0,False,True,52,21,LaDainian Tomlinson
2009,2009-09-14,1,1,30.083,SDG,OAK,True,13,55,4.23,1,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,0,,,,1,6,1,1,0,0,0,0,True,True,24,20,LaDainian Tomlinson
2009,2009-09-20,2,2,,SDG,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,26,31,LaDainian Tomlinson
2009,2009-09-27,3,3,,SDG,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,23,13,LaDainian Tomlinson
2009,2009-10-04,4,4,30.103,SDG,PIT,True,7,15,2.14,0,4,1,-1,-1.00,0,25.0%,-0.25,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,False,28,38,LaDainian Tomlinson
2009,2009-10-19,5,6,30.118,SDG,DEN,True,18,70,3.89,0,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,False,23,34,LaDainian Tomlinson
2009,2009-10-25,6,7,30.124,SDG,KAN,True,23,71,3.09,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,True,37,7,LaDainian Tomlinson
2009,2009-11-01,7,8,30.131,SDG,OAK,True,18,56,3.11,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,2,12,0,,0,0,0,0,False,True,24,16,LaDainian Tomlinson
2009,2009-11-08,8,9,30.138,SDG,NYG,True,12,22,1.83,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,True,21,20,LaDainian Tomlinson
2009,2009-11-15,9,10,30.145,SDG,PHI,True,24,96,4.00,2,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,2,12,0,,0,0,0,0,False,True,31,23,LaDainian Tomlinson
2009,2009-11-22,10,11,30.152,SDG,DEN,True,20,73,3.65,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,True,True,32,3,LaDainian Tomlinson
2009,2009-11-29,11,12,30.159,SDG,KAN,True,13,39,3.00,2,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,2,12,1,1,0,0,0,0,False,True,43,14,LaDainian Tomlinson
2009,2009-12-06,12,13,30.166,SDG,CLE,True,20,64,3.20,1,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,True,True,30,23,LaDainian Tomlinson
2009,2009-12-13,13,14,30.173,SDG,DAL,True,21,50,2.38,1,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,True,True,20,17,LaDainian Tomlinson
