Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-10-09,4,5,27.061,PHI,@,DET,L 23-24,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,42%,True,Caleb Sturgis
2016,2016-10-16,5,6,27.068,PHI,@,WAS,L 20-27,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,30%,True,Caleb Sturgis
2016,2016-10-23,6,7,27.075,PHI,,MIN,W 21-10,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,39%,False,Caleb Sturgis
2016,2016-10-30,7,8,27.082,PHI,@,DAL,L 23-29,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,31%,True,Caleb Sturgis
2016,2016-11-06,8,9,27.089,PHI,@,NYG,L 23-28,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,39%,True,Caleb Sturgis
2016,2016-11-13,9,10,27.096,PHI,,ATL,W 24-15,False,1,1,100.0,3,5,60.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,43%,False,Caleb Sturgis
2016,2016-11-20,10,11,27.103,PHI,@,SEA,L 15-26,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,14%,True,Caleb Sturgis
2016,2016-11-28,11,12,27.111,PHI,,GNB,L 13-27,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,32%,False,Caleb Sturgis
2016,2016-12-04,12,13,27.117,PHI,@,CIN,L 14-32,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,24%,True,Caleb Sturgis
2016,2016-12-11,13,14,27.124,PHI,,WAS,L 22-27,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,44%,False,Caleb Sturgis
2016,2016-12-18,14,15,27.131,PHI,@,BAL,L 26-27,False,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,39%,True,Caleb Sturgis
