Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-11-29,11,12,24.032,ARI,TEN,False,2,1,28,28.00,0,50.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,17,20,Early Doucet
2009,2009-12-06,12,13,24.039,ARI,MIN,False,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,True,30,17,Early Doucet
2009,2009-12-14,13,14,24.047,ARI,SFO,False,3,2,41,20.50,0,66.7%,13.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,9,24,Early Doucet
2009,2009-12-20,14,15,24.053,ARI,DET,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,True,True,31,24,Early Doucet
2009,2009-12-27,15,16,24.060,ARI,STL,False,2,2,43,21.50,1,100.0%,21.50,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,10,Early Doucet
2009,2010-01-03,16,17,24.067,ARI,GNB,False,5,4,28,7.00,0,80.0%,5.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,7,33,Early Doucet
2010,2010-09-12,1,1,24.319,ARI,STL,False,3,2,37,18.50,0,66.7%,12.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,17,13,Early Doucet
2010,2010-09-19,2,2,,ARI,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,41,Early Doucet
2010,2010-09-26,3,3,,ARI,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,23,Early Doucet
2010,2010-10-03,4,4,,ARI,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,41,Early Doucet
