Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-10-11,5,5,23.064,IND,@,TEN,W 31-9,True,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Pierre Garcon
2009,2009-10-25,6,7,23.078,IND,@,STL,W 42-6,True,8,3,24,8.00,0,37.5%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,Pierre Garcon
2009,2009-11-01,7,8,23.085,IND,,SFO,W 18-14,True,7,4,53,13.25,0,57.1%,7.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Pierre Garcon
2009,2009-11-08,8,9,23.092,IND,,HOU,W 20-17,True,9,5,60,12.00,0,55.6%,6.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Pierre Garcon
2009,2009-11-15,9,10,23.099,IND,,NWE,W 35-34,True,11,3,50,16.67,1,27.3%,4.55,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Pierre Garcon
2009,2009-11-22,10,11,23.106,IND,@,BAL,W 17-15,True,8,6,108,18.00,0,75.0%,13.50,1,-7,-7.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Pierre Garcon
2009,2009-11-29,11,12,23.113,IND,@,HOU,W 35-27,True,7,5,63,12.60,1,71.4%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Pierre Garcon
2009,2009-12-06,12,13,23.120,IND,,TEN,W 27-17,True,10,6,136,22.67,0,60.0%,13.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Pierre Garcon
2009,2009-12-13,13,14,23.127,IND,,DEN,W 28-16,True,9,2,39,19.50,0,22.2%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Pierre Garcon
2009,2009-12-17,14,15,23.131,IND,@,JAX,W 35-31,True,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Pierre Garcon
