Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-12-23,15.0,16.0,26.095,KAN,IND,L 13-20,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,30%,False,Ryan Succop,False,13,20
2012.0,2012-12-30,16.0,17.0,26.102,KAN,DEN,L 3-38,False,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,14%,True,Ryan Succop,False,3,38
2013.0,2013-09-08,1.0,1.0,26.354,KAN,JAX,W 28-2,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,28%,True,Ryan Succop,True,28,2
2013.0,2013-09-15,2.0,2.0,26.361,KAN,DAL,W 17-16,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,29%,False,Ryan Succop,True,17,16
2013.0,2013-09-19,3.0,3.0,27.0,KAN,PHI,W 26-16,False,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,14,45%,True,Ryan Succop,True,26,16
2013.0,2013-09-29,4.0,4.0,27.01,KAN,NYG,W 31-7,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,41%,False,Ryan Succop,True,31,7
2013.0,2013-10-06,5.0,5.0,27.017,KAN,TEN,W 26-17,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,39%,True,Ryan Succop,True,26,17
2013.0,2013-10-13,6.0,6.0,27.024,KAN,OAK,W 24-7,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,31%,False,Ryan Succop,True,24,7
2013.0,2013-10-20,7.0,7.0,27.031,KAN,HOU,W 17-16,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,28%,False,Ryan Succop,True,17,16
2013.0,2013-10-27,8.0,8.0,27.038,KAN,CLE,W 23-17,False,2,2,100.0,3,4,75.0,0,11,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,12,40%,False,Ryan Succop,True,23,17
