Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2001,2002-01-06,16,17,23.234,SFO,NOR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,161,40.25,0,True,True,38,0,Jason Baker
2002,2002-09-05,1,1,24.111,SFO,NYG,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,133,44.33,0,True,True,16,13,Jason Baker
2002,2002-09-15,2,2,24.121,SFO,DEN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,195,39.00,0,False,False,14,24,Jason Baker
2002,2002-09-22,3,3,24.128,SFO,WAS,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,282,40.29,0,False,True,20,10,Jason Baker
2002,2002-10-06,4,5,24.142,SFO,STL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,2,88,44.00,0,False,True,37,13,Jason Baker
2002,2002-10-14,5,6,24.150,SFO,SEA,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,114,38.00,0,True,True,28,21,Jason Baker
2002,2002-10-20,6,7,24.156,SFO,NOR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,1,46,46.00,0,True,False,27,35,Jason Baker
2002,2002-10-27,7,8,24.163,SFO,ARI,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,155,38.75,0,False,True,38,28,Jason Baker
2002,2002-11-03,8,9,24.170,SFO,OAK,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,1,35,35.00,0,True,True,23,20,Jason Baker
2002,2002-11-10,9,10,24.177,SFO,KAN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,101,33.67,0,False,True,17,13,Jason Baker
2002,2002-11-17,10,11,24.184,SFO,SDG,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,299,42.71,0,True,False,17,20,Jason Baker
2002,2002-11-25,11,12,24.192,SFO,PHI,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,240,40.00,0,False,False,17,38,Jason Baker
2002,2002-12-08,13,14,24.205,PHI,SEA,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,211,35.17,0,True,True,27,20,Jason Baker
2002,2002-12-15,14,15,24.212,PHI,WAS,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,234,33.43,0,False,True,34,21,Jason Baker
2003,2003-09-07,1,1,25.113,KAN,SDG,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,215,43.00,0,False,True,27,14,Jason Baker
2003,2003-09-14,2,2,25.120,KAN,PIT,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,220,44.00,0,False,True,41,20,Jason Baker
2003,2003-09-21,3,3,25.127,KAN,HOU,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,4,171,42.75,0,True,True,42,14,Jason Baker
2003,2003-09-28,4,4,25.134,KAN,BAL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,9,322,35.78,0,True,True,17,10,Jason Baker
2003,2003-10-05,5,5,25.141,KAN,DEN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,267,44.50,0,False,True,24,23,Jason Baker
2003,2003-10-12,6,6,25.148,KAN,GNB,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,6,249,41.50,0,True,True,40,34,Jason Baker
2003,2003-10-20,7,7,25.156,KAN,OAK,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,7,287,41.00,0,True,True,17,10,Jason Baker
2003,2003-10-26,8,8,25.162,KAN,BUF,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,222,37.00,1,False,True,38,5,Jason Baker
2003,2003-11-09,9,10,25.176,KAN,CLE,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,2,81,40.50,0,False,True,41,20,Jason Baker
2003,2003-11-16,10,11,25.183,KAN,CIN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,235,33.57,0,True,False,19,24,Jason Baker
2003,2003-11-23,11,12,25.190,KAN,OAK,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,5,159,31.80,0,False,True,27,24,Jason Baker
2003,2003-11-30,12,13,25.197,KAN,SDG,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,5,189,37.80,0,True,True,28,24,Jason Baker
2003,2003-12-07,13,14,25.204,KAN,DEN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,138,46.00,0,True,False,27,45,Jason Baker
2003,2003-12-14,14,15,25.211,KAN,DET,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,1,42,42.00,0,False,True,45,17,Jason Baker
2003,2003-12-20,15,16,25.217,KAN,MIN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,166,41.50,0,True,False,20,45,Jason Baker
2003,2003-12-28,16,17,25.225,KAN,CHI,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,193,38.60,0,False,True,31,3,Jason Baker
2004,2004-09-26,3,3,26.132,KAN,HOU,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,159,39.75,0,False,False,21,24,Jason Baker
2004,2004-10-04,4,4,26.140,KAN,BAL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,181,36.20,0,True,True,27,24,Jason Baker
2004,2004-12-12,13,14,26.209,DEN,MIA,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,198,39.60,0,False,True,20,17,Jason Baker
2004,2004-12-19,14,15,26.216,DEN,KAN,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,4,154,38.50,0,True,False,17,45,Jason Baker
2004,2004-12-25,15,16,26.222,DEN,TEN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,2,87,43.50,0,True,True,37,16,Jason Baker
2004,2005-01-02,16,17,26.230,DEN,IND,False,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,4,152,38.00,0,False,True,33,14,Jason Baker
2005,2005-09-11,1,1,27.117,CAR,NOR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,1,35,35.00,0,False,False,20,23,Jason Baker
2005,2005-09-18,2,2,27.124,CAR,NWE,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,295,42.14,0,False,True,27,17,Jason Baker
2005,2005-09-25,3,3,27.131,CAR,MIA,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,227,45.40,0,True,False,24,27,Jason Baker
2005,2005-10-03,4,4,27.139,CAR,GNB,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,216,43.20,0,False,True,32,29,Jason Baker
2005,2005-10-09,5,5,27.145,CAR,ARI,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,214,42.80,0,True,True,24,20,Jason Baker
2005,2005-10-16,6,6,27.152,CAR,DET,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,189,37.80,0,True,True,21,20,Jason Baker
2005,2005-10-30,7,8,27.166,CAR,MIN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,2,84,42.00,0,False,True,38,13,Jason Baker
2005,2005-11-06,8,9,27.173,CAR,TAM,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,297,49.50,0,True,True,34,14,Jason Baker
2005,2005-11-13,9,10,27.180,CAR,NYJ,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,128,42.67,0,False,True,30,3,Jason Baker
2005,2005-11-20,10,11,27.187,CAR,CHI,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,291,41.57,0,True,False,3,13,Jason Baker
2005,2005-11-27,11,12,27.194,CAR,BUF,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,2,81,40.50,0,True,True,13,9,Jason Baker
2005,2005-12-04,12,13,27.201,CAR,ATL,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,6,276,46.00,0,False,True,24,6,Jason Baker
2005,2005-12-11,13,14,27.208,CAR,TAM,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,4,181,45.25,0,False,False,10,20,Jason Baker
2005,2005-12-18,14,15,27.215,CAR,NOR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,175,43.75,0,True,True,27,10,Jason Baker
2005,2005-12-24,15,16,27.221,CAR,DAL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,317,45.29,0,False,False,20,24,Jason Baker
2005,2006-01-01,16,17,27.229,CAR,ATL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,112,37.33,0,True,True,44,11,Jason Baker
2006,2006-09-10,1,1,28.116,CAR,ATL,False,0,0,,0,0.0,1,0,1,0,0,0,,0,0,0,0,6,309,51.50,0,False,False,6,20,Jason Baker
2006,2006-09-17,2,2,28.123,CAR,MIN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,9,386,42.89,0,True,False,13,16,Jason Baker
2006,2006-09-24,3,3,28.130,CAR,TAM,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,2,76,38.00,0,True,True,26,24,Jason Baker
2006,2006-10-01,4,4,28.137,CAR,NOR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,304,50.67,0,False,True,21,18,Jason Baker
2006,2006-10-08,5,5,28.144,CAR,CLE,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,9,410,45.56,0,False,True,20,12,Jason Baker
2006,2006-10-15,6,6,28.151,CAR,BAL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,117,39.00,0,True,True,23,21,Jason Baker
2006,2006-10-22,7,7,28.158,CAR,CIN,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,328,41.00,0,True,False,14,17,Jason Baker
2006,2006-10-29,8,8,28.165,CAR,DAL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,255,42.50,0,False,False,14,35,Jason Baker
2006,2006-11-13,9,10,28.180,CAR,TAM,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,278,46.33,0,False,True,24,10,Jason Baker
2006,2006-11-19,10,11,28.186,CAR,STL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,275,55.00,0,False,True,15,0,Jason Baker
2006,2006-11-26,11,12,28.193,CAR,WAS,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,334,41.75,0,True,False,13,17,Jason Baker
2006,2006-12-04,12,13,28.201,CAR,PHI,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,329,47.00,0,True,False,24,27,Jason Baker
2006,2006-12-10,13,14,28.207,CAR,NYG,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,272,45.33,0,False,False,13,27,Jason Baker
2006,2006-12-17,14,15,28.214,CAR,PIT,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,268,44.67,1,False,False,3,37,Jason Baker
2006,2006-12-24,15,16,28.221,CAR,ATL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,293,48.83,0,True,True,10,3,Jason Baker
2006,2006-12-31,16,17,28.228,CAR,NOR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,249,49.80,0,True,True,31,21,Jason Baker
2007,2007-09-09,1,1,29.115,CAR,STL,False,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,3,158,52.67,0,True,True,27,13,Jason Baker
2007,2007-09-16,2,2,29.122,CAR,HOU,False,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,6,246,41.00,0,False,False,21,34,Jason Baker
2007,2007-09-23,3,3,29.129,CAR,ATL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,179,44.75,0,True,True,27,20,Jason Baker
2007,2007-09-30,4,4,29.136,CAR,TAM,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,371,46.38,0,False,False,7,20,Jason Baker
2007,2007-10-07,5,5,29.143,CAR,NOR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,199,49.75,0,True,True,16,13,Jason Baker
2007,2007-10-14,6,6,29.150,CAR,ARI,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,268,38.29,0,True,True,25,10,Jason Baker
2007,2007-10-28,7,8,29.164,CAR,IND,False,0,0,,0,0.0,1,0,1,0,0,0,,0,0,0,0,6,276,46.00,0,False,False,7,31,Jason Baker
2007,2007-11-04,8,9,29.171,CAR,TEN,False,0,0,,0,0.0,1,0,1,0,0,0,,0,0,0,0,8,332,41.50,0,True,False,7,20,Jason Baker
2007,2007-11-11,9,10,29.178,CAR,ATL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,9,386,42.89,0,False,False,13,20,Jason Baker
2007,2007-11-18,10,11,29.185,CAR,GNB,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,160,40.00,0,True,False,17,31,Jason Baker
2007,2007-11-25,11,12,29.192,CAR,NOR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,173,43.25,0,False,False,6,31,Jason Baker
2007,2007-12-02,12,13,29.199,CAR,SFO,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,311,44.43,0,False,True,31,14,Jason Baker
2007,2007-12-09,13,14,29.206,CAR,JAX,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,242,48.40,0,True,False,6,37,Jason Baker
2007,2007-12-16,14,15,29.213,CAR,SEA,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,235,47.00,0,False,True,13,10,Jason Baker
2007,2007-12-22,15,16,29.219,CAR,DAL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,258,43.00,0,False,False,13,20,Jason Baker
2007,2007-12-30,16,17,29.227,CAR,TAM,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,184,46.00,0,True,True,31,23,Jason Baker
2008,2008-09-07,1,1,30.113,CAR,SDG,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,144,48.00,0,True,True,26,24,Jason Baker
2008,2008-09-14,2,2,30.120,CAR,CHI,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,338,48.29,1,False,True,20,17,Jason Baker
2008,2008-09-21,3,3,30.127,CAR,MIN,False,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,5,199,39.80,0,True,False,10,20,Jason Baker
2008,2008-09-28,4,4,30.134,CAR,ATL,False,0,0,,0,0.0,0,0,0,0,0,1,0,0,1,0,0,5,245,49.00,1,False,True,24,9,Jason Baker
2008,2008-10-05,5,5,30.141,CAR,KAN,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,3,136,45.33,0,False,True,34,0,Jason Baker
2008,2008-10-12,6,6,30.148,CAR,TAM,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,197,49.25,1,True,False,3,27,Jason Baker
2008,2008-10-19,7,7,30.155,CAR,NOR,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,237,47.40,0,False,True,30,7,Jason Baker
2008,2008-10-26,8,8,30.162,CAR,ARI,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,3,133,44.33,0,False,True,27,23,Jason Baker
2008,2008-11-09,9,10,30.176,CAR,OAK,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,9,372,41.33,0,True,True,17,6,Jason Baker
2008,2008-11-16,10,11,30.183,CAR,DET,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,207,41.40,0,False,True,31,22,Jason Baker
2008,2008-11-23,11,12,30.190,CAR,ATL,False,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,277,46.17,0,True,False,28,45,Jason Baker
2008,2008-11-30,12,13,30.197,CAR,GNB,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,277,46.17,0,True,True,35,31,Jason Baker
2008,2008-12-08,13,14,30.205,CAR,TAM,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,51,51.00,0,False,True,38,23,Jason Baker
2008,2008-12-14,14,15,30.211,CAR,DEN,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,4,159,39.75,0,False,True,30,10,Jason Baker
2008,2008-12-21,15,16,30.218,CAR,NYG,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,197,39.40,0,True,False,28,34,Jason Baker
2008,2008-12-28,16,17,30.225,CAR,NOR,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,2,48,24.00,0,True,True,33,31,Jason Baker
2009,2009-09-13,1,1,31.119,CAR,PHI,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,4,223,55.75,0,False,False,10,38,Jason Baker
2009,2009-09-20,2,2,31.126,CAR,ATL,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,1,51,51.00,1,True,False,20,28,Jason Baker
2009,2009-09-28,3,3,31.134,CAR,DAL,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,6,296,49.33,0,True,False,7,21,Jason Baker
2009,2009-10-11,4,5,31.147,CAR,WAS,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,4,179,44.75,0,False,True,20,17,Jason Baker
2009,2009-10-18,5,6,31.154,CAR,TAM,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,3,122,40.67,0,True,True,28,21,Jason Baker
2009,2009-10-25,6,7,31.161,CAR,BUF,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,6,251,41.83,0,False,False,9,20,Jason Baker
2009,2009-11-01,7,8,31.168,CAR,ARI,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,6,282,47.00,0,True,True,34,21,Jason Baker
2009,2009-11-08,8,9,31.175,CAR,NOR,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,3,112,37.33,0,True,False,20,30,Jason Baker
2009,2009-11-15,9,10,31.182,CAR,ATL,False,0,0,,0,0.0,1,0,1,0,0,0,,0,0,0,0,4,177,44.25,0,False,True,28,19,Jason Baker
2009,2009-11-19,10,11,31.186,CAR,MIA,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,5,210,42.00,0,False,False,17,24,Jason Baker
2009,2009-11-29,11,12,31.196,CAR,NYJ,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,5,227,45.40,0,True,False,6,17,Jason Baker
2009,2009-12-06,12,13,31.203,CAR,TAM,False,0,0,,0,0.0,1,0,1,0,0,0,,0,0,0,0,5,244,48.80,0,False,True,16,6,Jason Baker
2009,2009-12-13,13,14,31.210,CAR,NWE,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,7,278,39.71,0,True,False,10,20,Jason Baker
2009,2009-12-20,14,15,31.217,CAR,MIN,False,0,0,,0,0.0,0,1,1,0,0,0,,0,0,0,0,7,288,41.14,0,False,True,26,7,Jason Baker
2009,2009-12-27,15,16,31.224,CAR,NYG,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,2,72,36.00,0,True,True,41,9,Jason Baker
2009,2010-01-03,16,17,31.231,CAR,NOR,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,8,340,42.50,0,False,True,23,10,Jason Baker
2010,2010-09-12,1,1,32.118,CAR,NYG,False,1,0,0.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,173,43.25,0,True,False,18,31,Jason Baker
2010,2010-09-19,2,2,32.125,CAR,TAM,False,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,5,205,41.00,0,False,False,7,20,Jason Baker
2010,2010-09-26,3,3,32.132,CAR,CIN,False,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,6,267,44.50,0,False,False,7,20,Jason Baker
2010,2010-10-03,4,4,32.139,CAR,NOR,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,6,261,43.50,0,True,False,14,16,Jason Baker
2010,2010-10-10,5,5,32.146,CAR,CHI,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,9,403,44.78,0,False,False,6,23,Jason Baker
2010,2010-10-24,6,7,32.160,CAR,SFO,False,0,0,,0,0.0,1,0,1,0,0,0,,0,0,0,0,3,122,40.67,0,False,True,23,20,Jason Baker
2010,2010-10-31,7,8,32.167,CAR,STL,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,5,222,44.40,0,True,False,10,20,Jason Baker
2010,2010-11-07,8,9,32.174,CAR,NOR,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,7,329,47.00,0,False,False,3,34,Jason Baker
2010,2010-11-14,9,10,32.181,CAR,TAM,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,5,158,31.60,0,True,False,16,31,Jason Baker
2010,2010-11-21,10,11,32.188,CAR,BAL,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,9,414,46.00,0,False,False,13,37,Jason Baker
2010,2010-11-28,11,12,32.195,CAR,CLE,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,4,189,47.25,0,True,False,23,24,Jason Baker
2010,2010-12-05,12,13,32.202,CAR,SEA,False,0,0,,0,0.0,1,0,1,0,0,0,,0,0,0,0,7,319,45.57,0,True,False,14,31,Jason Baker
2010,2010-12-12,13,14,32.209,CAR,ATL,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,7,318,45.43,0,False,False,10,31,Jason Baker
2010,2010-12-19,14,15,32.216,CAR,ARI,False,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,3,101,33.67,0,False,True,19,12,Jason Baker
2010,2010-12-23,15,16,32.220,CAR,PIT,False,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,8,272,34.00,0,True,False,3,27,Jason Baker
2010,2011-01-02,16,17,32.230,CAR,ATL,False,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,7,344,49.14,0,True,False,10,31,Jason Baker
2011,2011-09-11,1,1,33.117,CAR,ARI,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,7,289,41.29,0,True,False,21,28,Jason Baker
2011,2011-09-18,2,2,33.124,CAR,GNB,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,2,75,37.50,0,False,False,23,30,Jason Baker
2011,2011-09-25,3,3,33.131,CAR,JAX,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,8,307,38.38,0,False,True,16,10,Jason Baker
2011,2011-10-02,4,4,33.138,CAR,CHI,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,2,79,39.50,0,True,False,29,34,Jason Baker
2011,2011-10-09,5,5,33.145,CAR,NOR,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,3,132,44.00,0,False,False,27,30,Jason Baker
2011,2011-10-16,6,6,33.152,CAR,ATL,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,2,81,40.50,0,True,False,17,31,Jason Baker
2011,2011-10-23,7,7,33.159,CAR,WAS,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,3,116,38.67,0,False,True,33,20,Jason Baker
2011,2011-10-30,8,8,33.166,CAR,MIN,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,4,174,43.50,0,False,False,21,24,Jason Baker
2011,2011-11-13,9,10,33.180,CAR,TEN,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,8,365,45.63,0,False,False,3,30,Jason Baker
2011,2011-11-20,10,11,33.187,CAR,DET,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,3,122,40.67,0,True,False,35,49,Jason Baker
2011,2011-11-27,11,12,33.194,CAR,IND,False,0,0,,0,0.0,1,0,1,0,0,0,,0,0,0,0,4,181,45.25,0,True,True,27,19,Jason Baker
2011,2011-12-04,12,13,33.201,CAR,TAM,False,0,0,,0,0.0,0,1,1,0,0,0,,0,0,0,0,3,114,38.00,0,True,True,38,19,Jason Baker
2011,2011-12-11,13,14,33.208,CAR,ATL,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,6,256,42.67,0,False,False,23,31,Jason Baker
2011,2011-12-18,14,15,33.215,CAR,HOU,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,5,252,50.40,0,True,True,28,13,Jason Baker
2011,2011-12-24,15,16,33.221,CAR,TAM,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,2,93,46.50,0,False,True,48,16,Jason Baker
2011,2012-01-01,16,17,33.229,CAR,NOR,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,4,183,45.75,0,True,False,17,45,Jason Baker
,163 Games,,,,,,False,2,0,0.00,0,0.0,19,3,22,0,0,1,0,0,1,0,0,798,34097,42.73,6,False,False,71,0,Jason Baker
