Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-13,1,1,36.071,CLE,@,NYJ,L 10-31,True,5,8,62.50,49,0,0,79.7,0,0,6.13,6.13,3,23,7.67,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,18,27%,0,0%,0,0%,True,Josh McCown
2015,2015-09-20,2,2,,CLE,,TEN,W 28-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Josh McCown
2015,2015-09-27,3,3,36.085,CLE,,OAK,L 20-27,True,28,49,57.14,341,2,1,83.8,5,25,6.96,6.86,0,0,,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,72,100%,0,0%,0,0%,False,Josh McCown
2015,2015-10-04,4,4,36.092,CLE,@,SDG,L 27-30,True,32,41,78.05,356,2,0,119.1,4,24,8.68,9.66,0,0,,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,71,100%,0,0%,0,0%,True,Josh McCown
2015,2015-10-11,5,5,36.099,CLE,@,BAL,W 33-30,True,36,51,70.59,457,2,0,111.3,4,35,8.96,9.75,3,12,4.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,88,100%,0,0%,0,0%,True,Josh McCown
2015,2015-10-18,6,6,36.106,CLE,,DEN,L 23-26,True,20,39,51.28,213,2,2,63.3,4,24,5.46,4.18,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,80,100%,0,0%,0,0%,False,Josh McCown
2015,2015-10-25,7,7,36.113,CLE,@,STL,L 6-24,True,26,32,81.25,270,0,0,101.8,4,15,8.44,8.44,4,21,5.25,0,0,0,0,,0,0.0%,,,0,0,2,2,0,0,0,0,68,91%,0,0%,0,0%,True,Josh McCown
2015,2015-11-01,8,8,36.120,CLE,,ARI,L 20-34,True,18,34,52.94,211,3,1,89.2,1,8,6.21,6.65,5,18,3.60,0,0,0,0,,0,0.0%,,,0,0,3,1,0,0,-4,0,56,89%,0,0%,0,0%,False,Josh McCown
2015,2015-11-05,9,9,,CLE,@,CIN,L 10-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Josh McCown
2015,2015-11-15,10,10,,CLE,@,PIT,L 9-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Josh McCown
