Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
1993,1993-12-26,15,17,24.060,SEA,PIT,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,16,6,John Kasay
1993,1994-01-02,16,18,24.067,SEA,KAN,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,1,0,0,0,0,,0,True,False,24,34,John Kasay
1994,1994-09-04,1,1,24.312,SEA,WAS,False,4,4,100.0,,,,0,4,0.0,,,,,,0,,,0,0,0,0,0,,,True,True,28,7,John Kasay
1994,1994-09-11,2,2,24.319,SEA,RAI,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,38,9,John Kasay
1994,1994-09-18,3,3,24.326,SEA,SDG,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,10,24,John Kasay
1994,1994-09-25,4,4,24.333,SEA,PIT,False,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,30,13,John Kasay
1994,1994-10-02,5,5,24.340,SEA,IND,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,15,17,John Kasay
1994,1994-10-09,6,6,24.347,SEA,DEN,False,,,,3,3,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,9,16,John Kasay
1994,1994-10-23,7,8,24.361,SEA,KAN,False,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,23,38,John Kasay
1994,1994-10-30,8,9,25.003,SEA,SDG,False,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,15,35,John Kasay
1994,1994-11-06,9,10,25.010,SEA,CIN,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,17,20,John Kasay
1994,1994-11-13,10,11,25.017,SEA,DEN,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,17,John Kasay
1994,1994-11-20,11,12,25.024,SEA,TAM,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,True,22,21,John Kasay
1994,1994-11-27,12,13,25.031,SEA,KAN,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,10,9,John Kasay
1994,1994-12-04,13,14,25.038,SEA,IND,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,19,31,John Kasay
1994,1994-12-11,14,15,25.045,SEA,HOU,False,1,2,50.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,16,14,John Kasay
1994,1994-12-18,15,16,25.052,SEA,RAI,False,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,16,17,John Kasay
1994,1994-12-24,16,17,25.058,SEA,CLE,False,,,,1,2,50.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,9,35,John Kasay
1995,1995-09-03,1,1,25.311,CAR,ATL,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,20,23,John Kasay
1995,1995-09-10,2,2,25.318,CAR,BUF,False,,,,3,4,75.0,0,9,0.0,,,,,,0,,0,0,0,0,1,32,32.00,0,True,False,9,31,John Kasay
1995,1995-09-17,3,3,25.325,CAR,STL,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,10,31,John Kasay
1995,1995-10-01,4,5,25.339,CAR,TAM,False,1,2,50.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,13,20,John Kasay
1995,1995-10-08,5,6,25.346,CAR,CHI,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,27,31,John Kasay
1995,1995-10-15,6,7,25.353,CAR,NYJ,False,2,2,100.0,4,5,80.0,0,14,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,26,15,John Kasay
1995,1995-10-22,7,8,25.360,CAR,NOR,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,20,3,John Kasay
1995,1995-10-29,8,9,26.002,CAR,NWE,False,2,2,100.0,2,4,50.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,20,17,John Kasay
1995,1995-11-05,9,10,26.009,CAR,SFO,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,13,7,John Kasay
1995,1995-11-12,10,11,26.016,CAR,STL,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,17,28,John Kasay
1995,1995-11-19,11,12,26.023,CAR,ARI,False,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,27,7,John Kasay
1995,1995-11-26,12,13,26.030,CAR,NOR,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,26,34,John Kasay
1995,1995-12-03,13,14,26.037,CAR,IND,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,13,10,John Kasay
1995,1995-12-10,14,15,26.044,CAR,SFO,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,10,31,John Kasay
1995,1995-12-17,15,16,26.051,CAR,ATL,False,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,False,True,21,17,John Kasay
1995,1995-12-24,16,17,26.058,CAR,WAS,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,17,20,John Kasay
1996,1996-09-01,1,1,26.310,CAR,ATL,False,2,2,100.0,5,5,100.0,0,17,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,29,6,John Kasay
1996,1996-09-08,2,2,26.317,CAR,NOR,False,1,1,100.0,5,5,100.0,0,16,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,22,20,John Kasay
1996,1996-09-22,3,4,26.331,CAR,SFO,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,23,7,John Kasay
1996,1996-09-29,4,5,26.338,CAR,JAX,False,,1,0.0,,1,0.0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,14,24,John Kasay
1996,1996-10-06,5,6,26.345,CAR,MIN,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,12,14,John Kasay
1996,1996-10-13,6,7,26.352,CAR,STL,False,6,6,100.0,1,3,33.3,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,45,13,John Kasay
1996,1996-10-20,7,8,26.359,CAR,NOR,False,1,1,100.0,4,5,80.0,0,13,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,19,7,John Kasay
1996,1996-10-27,8,9,27.000,CAR,PHI,False,,,,3,4,75.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,9,20,John Kasay
1996,1996-11-03,9,10,27.007,CAR,ATL,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,17,20,John Kasay
1996,1996-11-10,10,11,27.014,CAR,NYG,False,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,27,17,John Kasay
1996,1996-11-17,11,12,27.021,CAR,STL,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,20,10,John Kasay
1996,1996-11-24,12,13,27.028,CAR,HOU,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,31,6,John Kasay
1996,1996-12-01,13,14,27.035,CAR,TAM,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,1,30,30.00,0,False,True,24,0,John Kasay
1996,1996-12-08,14,15,27.042,CAR,SFO,False,3,3,100.0,3,5,60.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,30,24,John Kasay
1996,1996-12-15,15,16,27.049,CAR,BAL,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,27,16,John Kasay
1996,1996-12-22,16,17,27.056,CAR,PIT,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,18,14,John Kasay
1997,1997-08-31,1,1,27.308,CAR,WAS,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,10,24,John Kasay
1997,1997-09-07,2,2,27.315,CAR,ATL,False,,,,3,4,75.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,9,6,John Kasay
1997,1997-09-14,3,3,27.322,CAR,SDG,False,2,2,100.0,4,4,100.0,0,14,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,26,7,John Kasay
1997,1997-09-21,4,4,27.329,CAR,KAN,False,2,2,100.0,,2,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,14,35,John Kasay
1997,1997-09-29,5,5,27.337,CAR,SFO,False,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,21,34,John Kasay
1997,1997-10-12,6,7,27.350,CAR,MIN,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,14,21,John Kasay
1997,1997-10-19,7,8,27.357,CAR,NOR,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,13,0,John Kasay
1997,1997-10-26,8,9,27.364,CAR,ATL,False,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,False,True,21,12,John Kasay
1997,1997-11-02,9,10,28.006,CAR,OAK,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,38,14,John Kasay
1997,1997-11-09,10,11,28.013,CAR,DEN,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,0,34,John Kasay
1997,1997-11-16,11,12,28.020,CAR,SFO,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,19,27,John Kasay
1997,1997-11-23,12,13,28.027,CAR,STL,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,16,10,John Kasay
1997,1997-11-30,13,14,28.034,CAR,NOR,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,13,16,John Kasay
1997,1997-12-08,14,15,28.042,CAR,DAL,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,23,13,John Kasay
1997,1997-12-14,15,16,28.048,CAR,GNB,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,10,31,John Kasay
1997,1997-12-20,16,17,28.054,CAR,STL,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,18,30,John Kasay
1998,1998-09-06,1,1,28.314,CAR,ATL,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,14,19,John Kasay
1998,1998-09-13,2,2,28.321,CAR,NOR,False,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,14,19,John Kasay
1998,1998-09-27,3,4,28.335,CAR,GNB,False,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,30,37,John Kasay
1998,1998-10-04,4,5,28.342,CAR,ATL,False,,1,0.0,1,2,50.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,23,51,John Kasay
1998,1998-10-11,5,6,28.349,CAR,DAL,False,2,3,66.7,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,20,27,John Kasay
1998,1998-10-18,6,7,28.356,CAR,TAM,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,13,16,John Kasay
1998,1998-10-25,7,8,28.363,CAR,BUF,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,14,30,John Kasay
1998,1998-11-01,8,9,29.005,CAR,NOR,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,31,17,John Kasay
1998,1998-11-08,9,10,29.012,CAR,SFO,False,2,2,100.0,3,6,50.0,0,11,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,23,25,John Kasay
1998,1998-11-15,10,11,29.019,CAR,MIA,False,,,,3,3,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,9,13,John Kasay
1998,1998-11-22,11,12,29.026,CAR,STL,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,24,20,John Kasay
1998,1998-11-29,12,13,29.033,CAR,NYJ,False,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,21,48,John Kasay
1998,1998-12-06,13,14,29.040,CAR,SFO,False,4,4,100.0,,1,0.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,28,31,John Kasay
1998,1998-12-13,14,15,29.047,CAR,WAS,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,25,28,John Kasay
1998,1998-12-20,15,16,29.054,CAR,STL,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,20,13,John Kasay
1998,1998-12-27,16,17,29.061,CAR,IND,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,27,19,John Kasay
1999,1999-09-12,1,1,29.320,CAR,NOR,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,19,John Kasay
1999,1999-09-19,2,2,29.327,CAR,JAX,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,20,22,John Kasay
1999,1999-09-26,3,3,29.334,CAR,CIN,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,27,3,John Kasay
1999,1999-10-03,4,4,29.341,CAR,WAS,False,3,3,100.0,3,4,75.0,0,12,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,True,False,36,38,John Kasay
1999,1999-10-17,5,6,29.355,CAR,SFO,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,31,29,John Kasay
1999,1999-10-24,6,7,29.362,CAR,DET,False,,,,3,3,100.0,0,9,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,False,False,9,24,John Kasay
1999,1999-10-31,7,8,30.004,CAR,ATL,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,20,27,John Kasay
1999,1999-11-07,8,9,30.011,CAR,PHI,False,3,3,100.0,4,4,100.0,0,15,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,33,7,John Kasay
1999,1999-11-14,9,10,30.018,CAR,STL,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,True,False,10,35,John Kasay
1999,1999-11-21,10,11,30.025,CAR,CLE,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,31,17,John Kasay
1999,1999-11-28,11,12,30.032,CAR,ATL,False,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,False,True,34,28,John Kasay
1999,1999-12-05,12,13,30.039,CAR,STL,False,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,21,34,John Kasay
1999,1999-12-12,13,14,30.046,CAR,GNB,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,33,31,John Kasay
1999,1999-12-18,14,15,,CAR,SFO,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,41,24,John Kasay
1999,1999-12-26,15,16,,CAR,PIT,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,20,30,John Kasay
1999,2000-01-02,16,17,,CAR,NOR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,45,13,John Kasay
2001,2001-09-09,1,1,31.317,CAR,MIN,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,24,13,John Kasay
2001,2001-09-23,2,2,31.331,CAR,ATL,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,16,24,John Kasay
2001,2001-09-30,3,3,31.338,CAR,GNB,False,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,7,28,John Kasay
2001,2001-10-07,4,4,31.345,CAR,SFO,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,14,24,John Kasay
2001,2001-10-14,5,5,31.352,CAR,NOR,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,25,27,John Kasay
