Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-09-07,1,1,,DEN,IND,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,True,31,24,Wes Welker
2014,2014-09-14,2,2,,DEN,KAN,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,True,24,17,Wes Welker
2014,2014-09-21,3,3,33.143,DEN,SEA,False,9,6,60,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,65%,0,0%,0,0%,True,False,20,26,Wes Welker
2014,2014-10-05,4,5,33.157,DEN,ARI,True,9,7,58,8.29,0,77.8%,6.44,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,84%,0,0%,0,0%,False,True,41,20,Wes Welker
2014,2014-10-12,5,6,33.164,DEN,NYJ,True,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,34,48%,0,0%,0,0%,True,True,31,17,Wes Welker
2014,2014-10-19,6,7,33.171,DEN,SFO,True,3,3,50,16.67,1,100.0%,16.67,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,80%,0,0%,0,0%,False,True,42,17,Wes Welker
2014,2014-10-23,7,8,33.175,DEN,SDG,True,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,53,78%,0,0%,0,0%,False,True,35,21,Wes Welker
2014,2014-11-02,8,9,33.185,DEN,NWE,True,8,3,31,10.33,0,37.5%,3.88,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,58%,0,0%,0,0%,True,False,21,43,Wes Welker
2014,2014-11-09,9,10,33.192,DEN,OAK,True,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,82%,0,0%,0,0%,True,True,41,17,Wes Welker
2014,2014-11-16,10,11,33.199,DEN,STL,True,6,4,28,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,94%,0,0%,0,0%,True,False,7,22,Wes Welker
2014,2014-11-23,11,12,33.206,DEN,MIA,False,4,4,18,4.50,1,100.0%,4.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,58,77%,0,0%,0,0%,False,True,39,36,Wes Welker
2014,2014-11-30,12,13,33.213,DEN,KAN,False,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,68%,0,0%,0,0%,True,True,29,16,Wes Welker
2014,2014-12-07,13,14,33.220,DEN,BUF,False,6,6,82,13.67,0,100.0%,13.67,0,0,,0,0,0,,0,1,7,7.00,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,69%,0,0%,3,14%,False,True,24,17,Wes Welker
2014,2014-12-14,14,15,33.227,DEN,SDG,False,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,2,16,8.00,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,70%,0,0%,2,7%,True,True,22,10,Wes Welker
2014,2014-12-22,15,16,33.235,DEN,CIN,False,4,4,30,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,3,14,4.67,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,84%,0,0%,5,14%,True,False,28,37,Wes Welker
