Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-12-14,14,15,27.298,BUF,NYJ,True,7,31,4.43,1,6,6,24,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,True,False,27,31,Fred Jackson
2008,2008-12-21,15,16,27.305,BUF,DEN,False,10,43,4.30,1,4,3,70,23.33,0,75.0%,17.50,0,0,,0,0,0,,,,,,2,47,23.50,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,30,23,Fred Jackson
2008,2008-12-28,16,17,27.312,BUF,NWE,True,27,136,5.04,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,,,,,1,10,10.00,0,1,30,30.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,False,0,13,Fred Jackson
2009,2009-09-14,1,1,28.206,BUF,NWE,True,15,57,3.80,0,8,5,83,16.60,1,62.5%,10.38,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,False,24,25,Fred Jackson
2009,2009-09-20,2,2,28.212,BUF,TAM,True,28,163,5.82,0,8,6,25,4.17,0,75.0%,3.13,0,0,,0,0,0,,0,,,,1,9,9.00,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,True,33,20,Fred Jackson
2009,2009-09-27,3,3,28.219,BUF,NOR,True,18,71,3.94,0,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,7,27,Fred Jackson
2009,2009-10-04,4,4,28.226,BUF,MIA,True,9,42,4.67,0,5,3,26,8.67,0,60.0%,5.20,0,0,,0,0,0,,0,,,,1,15,15.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,38,Fred Jackson
2009,2009-10-11,5,5,28.233,BUF,CLE,False,13,30,2.31,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,3,6,Fred Jackson
2009,2009-10-18,6,6,28.240,BUF,NYJ,False,15,52,3.47,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,3,66,22.00,0,1,27,27.00,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,16,13,Fred Jackson
2009,2009-10-25,7,7,28.247,BUF,CAR,False,5,2,0.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,33,33.00,0,3,17,5.67,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,20,9,Fred Jackson
2009,2009-11-01,8,8,28.254,BUF,HOU,False,9,28,3.11,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,5,178,35.60,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,31,Fred Jackson
2009,2009-11-15,9,10,28.268,BUF,TEN,False,8,48,6.00,0,5,3,23,7.67,0,60.0%,4.60,1,1,100.00,27,1,0,158.3,0,0,27.00,47.00,7,167,23.86,0,2,25,12.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,False,17,41,Fred Jackson
2009,2009-11-22,10,11,28.275,BUF,JAX,True,8,35,4.38,0,4,4,20,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,2,63,31.50,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,15,18,Fred Jackson
2009,2009-11-29,11,12,28.282,BUF,MIA,True,15,73,4.87,2,5,5,43,8.60,0,100.0%,8.60,0,0,,0,0,0,,0,,,,3,61,20.33,0,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,14,Fred Jackson
2009,2009-12-03,12,13,28.286,BUF,NYJ,True,13,31,2.38,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,,,6,137,22.83,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,False,13,19,Fred Jackson
2009,2009-12-13,13,14,28.296,BUF,KAN,True,20,99,4.95,0,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,,,,3,91,30.33,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,16,10,Fred Jackson
2009,2009-12-20,14,15,28.303,BUF,NWE,True,15,80,5.33,0,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,,0,,,,4,108,27.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,17,Fred Jackson
2009,2009-12-27,15,16,28.310,BUF,ATL,True,13,39,3.00,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,,,,4,72,18.00,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,3,31,Fred Jackson
2009,2010-01-03,16,17,28.317,BUF,IND,True,33,212,6.42,0,2,2,15,7.50,1,100.0%,7.50,0,0,,0,0,0,,0,,,,1,14,14.00,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,30,7,Fred Jackson
2010,2010-09-12,1,1,29.204,BUF,MIA,True,4,19,4.75,0,4,2,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,15,Fred Jackson
2010,2010-09-19,2,2,29.211,BUF,GNB,False,9,39,4.33,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,1,0,1,,,0,,0,0,0,0,,,,,,,True,False,7,34,Fred Jackson
2010,2010-09-26,3,3,29.218,BUF,NWE,False,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,30,38,Fred Jackson
2010,2010-10-03,4,4,29.225,BUF,NYJ,False,3,21,7.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,14,38,Fred Jackson
2010,2010-10-10,5,5,29.232,BUF,JAX,True,12,73,6.08,0,2,1,-7,-7.00,0,50.0%,-3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,26,36,Fred Jackson
2010,2010-10-24,6,7,29.246,BUF,BAL,True,23,73,3.17,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,34,37,Fred Jackson
2010,2010-10-31,7,8,29.253,BUF,KAN,True,20,64,3.20,0,8,3,11,3.67,0,37.5%,1.38,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,13,Fred Jackson
2010,2010-11-07,8,9,29.260,BUF,CHI,True,8,16,2.00,1,7,5,20,4.00,0,71.4%,2.86,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,False,19,22,Fred Jackson
2010,2010-11-14,9,10,29.267,BUF,DET,True,25,133,5.32,1,7,6,37,6.17,1,85.7%,5.29,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,2,1,0,1,0,0,,,,,,,False,True,14,12,Fred Jackson
2010,2010-11-21,10,11,29.274,BUF,CIN,True,21,116,5.52,2,5,3,13,4.33,0,60.0%,2.60,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,49,31,Fred Jackson
2010,2010-11-28,11,12,29.281,BUF,PIT,True,12,59,4.92,0,5,5,104,20.80,1,100.0%,20.80,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,False,16,19,Fred Jackson
2010,2010-12-05,12,13,29.288,BUF,MIN,True,11,42,3.82,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,38,Fred Jackson
2010,2010-12-12,13,14,29.295,BUF,CLE,True,29,112,3.86,0,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,13,6,Fred Jackson
2010,2010-12-19,14,15,29.302,BUF,MIA,True,15,36,2.40,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,17,14,Fred Jackson
2010,2010-12-26,15,16,29.309,BUF,NWE,True,13,81,6.23,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,3,34,Fred Jackson
