Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-11-25,11,12,23.044,MIA,,SEA,W 24-21,False,0,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,22,37%,0,0%,9,32%,False,Rishard Matthews
2012,2012-12-02,12,13,23.051,MIA,,NWE,L 16-23,False,2,1,28,28.00,0,50.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,42%,0,0%,7,23%,False,Rishard Matthews
2012,2012-12-09,13,14,23.058,MIA,@,SFO,L 13-27,False,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,46%,0,0%,1,4%,True,Rishard Matthews
2012,2012-12-16,14,15,23.065,MIA,,JAX,W 24-3,False,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,39%,0,0%,0,0%,False,Rishard Matthews
2012,2012-12-23,15,16,23.072,MIA,,BUF,W 24-10,False,3,2,37,18.50,0,66.7%,12.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,73%,0,0%,0,0%,False,Rishard Matthews
2012,2012-12-30,16,17,23.079,MIA,@,NWE,L 0-28,True,6,3,36,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,6,29%,True,Rishard Matthews
2013,2013-09-08,1,1,23.331,MIA,@,CLE,W 23-10,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,13,19%,0,0%,15,54%,True,Rishard Matthews
2013,2013-09-15,2,2,23.338,MIA,@,IND,W 24-20,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,8,12%,0,0%,12,44%,True,Rishard Matthews
2013,2013-09-22,3,3,23.345,MIA,,ATL,W 27-23,False,4,4,42,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,25%,0,0%,13,48%,False,Rishard Matthews
2013,2013-09-30,4,4,23.353,MIA,@,NOR,L 17-38,False,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,18%,0,0%,14,50%,True,Rishard Matthews
2013,2013-10-06,5,5,23.359,MIA,,BAL,L 23-26,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,4,7%,0,0%,15,39%,False,Rishard Matthews
2013,2013-10-20,6,7,24.008,MIA,,BUF,L 21-23,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,20%,0,0%,13,39%,False,Rishard Matthews
2013,2013-10-27,7,8,24.015,MIA,@,NWE,L 17-27,False,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,46%,0,0%,11,37%,True,Rishard Matthews
2013,2013-10-31,8,9,24.019,MIA,,CIN,W 22-20,False,4,2,24,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,56%,0,0%,1,3%,False,Rishard Matthews
2013,2013-11-11,9,10,24.030,MIA,@,TAM,L 19-22,True,14,11,120,10.91,2,78.6%,8.57,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,43,73%,0,0%,0,0%,True,Rishard Matthews
2013,2013-11-17,10,11,24.036,MIA,,SDG,W 20-16,False,6,4,52,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,89%,0,0%,0,0%,False,Rishard Matthews
2013,2013-11-24,11,12,24.043,MIA,,CAR,L 16-20,True,7,3,2,0.67,0,42.9%,0.29,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,81%,0,0%,0,0%,False,Rishard Matthews
2013,2013-12-01,12,13,24.050,MIA,@,NYJ,W 23-3,True,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,55%,0,0%,2,8%,True,Rishard Matthews
2013,2013-12-08,13,14,24.057,MIA,@,PIT,W 34-28,False,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,68%,0,0%,5,15%,True,Rishard Matthews
2013,2013-12-15,14,15,24.064,MIA,,NWE,W 24-20,True,9,5,64,12.80,0,55.6%,7.11,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,75%,0,0%,5,19%,False,Rishard Matthews
2013,2013-12-22,15,16,24.071,MIA,@,BUF,L 0-19,True,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,81%,0,0%,3,11%,True,Rishard Matthews
2013,2013-12-29,16,17,24.078,MIA,,NYJ,L 7-20,False,7,4,58,14.50,0,57.1%,8.29,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,89%,0,0%,5,22%,False,Rishard Matthews
2014,2014-09-07,1,1,24.330,MIA,,NWE,W 33-20,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,7,9%,0,0%,19,58%,False,Rishard Matthews
2014,2014-09-14,2,2,24.337,MIA,@,BUF,L 10-29,False,5,1,4,4.00,0,20.0%,0.80,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,23,29%,0,0%,15,48%,True,Rishard Matthews
2014,2014-09-21,3,3,24.344,MIA,,KAN,L 15-34,False,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,10%,0,0%,21,70%,False,Rishard Matthews
2014,2014-09-28,4,4,24.351,MIA,@,OAK,W 38-14,False,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,40%,0,0%,14,54%,True,Rishard Matthews
2014,2014-10-12,5,6,25.000,MIA,,GNB,L 24-27,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,7,12%,0,0%,11,39%,False,Rishard Matthews
2014,2014-10-19,6,7,25.007,MIA,@,CHI,W 27-14,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,14,20%,0,0%,10,43%,True,Rishard Matthews
2014,2014-10-26,7,8,25.014,MIA,@,JAX,W 27-13,False,2,1,3,3.00,1,50.0%,1.50,0,0,,0,0,0,,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,16,27%,0,0%,11,35%,True,Rishard Matthews
2014,2014-11-02,8,9,25.021,MIA,,SDG,W 37-0,False,1,1,21,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,23,30%,0,0%,12,50%,False,Rishard Matthews
2014,2014-11-09,9,10,25.028,MIA,@,DET,L 16-20,False,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,9,15%,0,0%,15,52%,True,Rishard Matthews
2014,2014-11-13,10,11,25.032,MIA,,BUF,W 22-9,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,25%,0,0%,13,57%,False,Rishard Matthews
2014,2014-11-23,11,12,25.042,MIA,@,DEN,L 36-39,False,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,20,32%,0,0%,15,56%,True,Rishard Matthews
2014,2014-12-01,12,13,25.050,MIA,@,NYJ,W 16-13,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,7,12%,0,0%,8,31%,True,Rishard Matthews
2014,2014-12-07,13,14,25.056,MIA,,BAL,L 13-28,False,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,21%,0,0%,10,40%,False,Rishard Matthews
2014,2014-12-14,14,15,25.063,MIA,@,NWE,L 13-41,False,5,2,16,8.00,0,40.0%,3.20,1,3,3.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,26%,0,0%,13,43%,True,Rishard Matthews
2014,2014-12-21,15,16,,MIA,,MIN,W 37-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rishard Matthews
2014,2014-12-28,16,17,,MIA,,NYJ,L 24-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rishard Matthews
2015,2015-09-13,1,1,25.336,MIA,@,WAS,W 17-10,True,6,4,34,8.50,1,66.7%,5.67,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,79%,0,0%,3,15%,True,Rishard Matthews
2015,2015-09-20,2,2,25.343,MIA,@,JAX,L 20-23,True,7,6,115,19.17,0,85.7%,16.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,78%,0,0%,5,15%,True,Rishard Matthews
2015,2015-09-27,3,3,25.350,MIA,,BUF,L 14-41,True,10,6,113,18.83,2,60.0%,11.30,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,39,51%,0,0%,9,32%,False,Rishard Matthews
2015,2015-10-04,4,4,25.357,MIA,,NYJ,L 14-27,True,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,64%,0,0%,6,21%,False,Rishard Matthews
2015,2015-10-18,5,6,26.006,MIA,@,TEN,W 38-10,True,6,6,85,14.17,0,100.0%,14.17,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,90%,0,0%,3,12%,True,Rishard Matthews
2015,2015-10-25,6,7,26.013,MIA,,HOU,W 44-26,True,3,3,75,25.00,1,100.0%,25.00,0,0,,0,1,9,9.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,42,67%,0,0%,5,14%,False,Rishard Matthews
2015,2015-10-29,7,8,26.017,MIA,@,NWE,L 7-36,True,12,7,62,8.86,0,58.3%,5.17,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,94%,0,0%,7,23%,True,Rishard Matthews
2015,2015-11-08,8,9,26.027,MIA,@,BUF,L 17-33,True,4,4,54,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,97%,0,0%,7,28%,True,Rishard Matthews
2015,2015-11-15,9,10,26.034,MIA,@,PHI,W 20-19,True,6,5,93,18.60,0,83.3%,15.50,1,4,4.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,94%,0,0%,4,12%,True,Rishard Matthews
2015,2015-11-22,10,11,26.041,MIA,,DAL,L 14-24,True,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,100%,0,0%,5,21%,False,Rishard Matthews
2015,2015-11-29,11,12,26.048,MIA,@,NYJ,L 20-38,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,0,0%,True,Rishard Matthews
2015,2015-12-06,12,13,,MIA,,BAL,W 15-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rishard Matthews
2015,2015-12-14,13,14,,MIA,,NYG,L 24-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rishard Matthews
2015,2015-12-20,14,15,,MIA,@,SDG,L 14-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rishard Matthews
2015,2015-12-27,15,16,,MIA,,IND,L 12-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rishard Matthews
2015,2016-01-03,16,17,,MIA,,NWE,W 20-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Rishard Matthews
2016,2016-09-11,1,1,26.335,TEN,,MIN,L 16-25,False,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,52%,0,0%,0,0%,False,Rishard Matthews
2016,2016-09-18,2,2,26.342,TEN,@,DET,W 16-15,True,6,4,40,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,54%,0,0%,0,0%,True,Rishard Matthews
2016,2016-09-25,3,3,26.349,TEN,,OAK,L 10-17,True,8,3,32,10.67,0,37.5%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,63%,0,0%,0,0%,False,Rishard Matthews
2016,2016-10-02,4,4,26.356,TEN,@,HOU,L 20-27,False,2,2,82,41.00,0,100.0%,41.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,37%,0,0%,0,0%,True,Rishard Matthews
2016,2016-10-09,5,5,26.363,TEN,@,MIA,W 30-17,True,4,4,32,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,41,55%,0,0%,0,0%,True,Rishard Matthews
2016,2016-10-16,6,6,27.004,TEN,,CLE,W 28-26,False,3,3,70,23.33,1,100.0%,23.33,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,40%,0,0%,0,0%,False,Rishard Matthews
2016,2016-10-23,7,7,27.011,TEN,,IND,L 26-34,False,7,4,37,9.25,0,57.1%,5.29,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,67%,0,0%,0,0%,False,Rishard Matthews
2016,2016-10-27,8,8,27.015,TEN,,JAX,W 36-22,True,4,4,38,9.50,1,100.0%,9.50,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,88%,0,0%,0,0%,False,Rishard Matthews
2016,2016-11-06,9,9,27.025,TEN,@,SDG,L 35-43,False,10,6,63,10.50,2,60.0%,6.30,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,58,89%,0,0%,0,0%,True,Rishard Matthews
2016,2016-11-13,10,10,27.032,TEN,,GNB,W 47-25,True,5,3,63,21.00,1,60.0%,12.60,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,82%,0,0%,0,0%,False,Rishard Matthews
2016,2016-11-20,11,11,27.039,TEN,@,IND,L 17-24,True,13,9,122,13.56,0,69.2%,9.38,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,93%,0,0%,0,0%,True,Rishard Matthews
2016,2016-11-27,12,12,27.046,TEN,@,CHI,W 27-21,True,7,3,64,21.33,1,42.9%,9.14,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,51,88%,0,0%,0,0%,True,Rishard Matthews
2016,2016-12-11,13,14,27.060,TEN,,DEN,W 13-10,True,3,1,26,26.00,0,33.3%,8.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,93%,0,0%,0,0%,False,Rishard Matthews
2016,2016-12-18,14,15,27.067,TEN,@,KAN,W 19-17,False,10,4,105,26.25,0,40.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,63,95%,0,0%,0,0%,True,Rishard Matthews
2016,2016-12-24,15,16,27.073,TEN,@,JAX,L 17-38,True,9,3,31,10.33,1,33.3%,3.44,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,67,94%,0,0%,0,0%,True,Rishard Matthews
2016,2017-01-01,16,17,27.081,TEN,,HOU,W 24-17,True,13,9,114,12.67,1,69.2%,8.77,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,87%,0,0%,0,0%,False,Rishard Matthews
2017,2017-09-10,1,1,27.333,TEN,,OAK,L 16-26,True,9,5,71,14.20,0,55.6%,7.89,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,83%,0,0%,0,0%,False,Rishard Matthews
2017,2017-09-17,2,2,27.340,TEN,@,JAX,W 37-16,True,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,71%,0,0%,0,0%,True,Rishard Matthews
2017,2017-09-24,3,3,27.347,TEN,,SEA,W 33-27,True,10,6,87,14.50,1,60.0%,8.70,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,85%,0,0%,0,0%,False,Rishard Matthews
2017,2017-10-01,4,4,27.354,TEN,@,HOU,L 14-57,False,8,3,49,16.33,0,37.5%,6.13,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,83%,0,0%,0,0%,True,Rishard Matthews
2017,2017-10-08,5,5,27.361,TEN,@,MIA,L 10-16,True,6,3,34,11.33,0,50.0%,5.67,1,-3,-3.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,85%,0,0%,0,0%,True,Rishard Matthews
2017,2017-10-16,6,6,28.004,TEN,,IND,W 36-22,True,4,4,69,17.25,0,100.0%,17.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,76%,0,0%,0,0%,False,Rishard Matthews
2017,2017-10-22,7,7,28.010,TEN,@,CLE,W 12-9,True,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,79%,0,0%,0,0%,True,Rishard Matthews
2017,2017-11-05,8,9,28.024,TEN,,BAL,W 23-20,True,7,4,70,17.50,1,57.1%,10.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,42,81%,0,0%,0,0%,False,Rishard Matthews
2017,2017-11-12,9,10,28.031,TEN,,CIN,W 24-20,True,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,79,88%,0,0%,0,0%,False,Rishard Matthews
2017,2017-11-16,10,11,28.035,TEN,@,PIT,L 17-40,True,6,5,113,22.60,1,83.3%,18.83,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,82%,0,0%,0,0%,True,Rishard Matthews
2017,2017-11-26,11,12,,TEN,@,IND,W 20-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rishard Matthews
2017,2017-12-03,12,13,,TEN,,HOU,W 24-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rishard Matthews
2017,2017-12-10,13,14,28.059,TEN,@,ARI,L 7-12,False,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,77%,0,0%,0,0%,True,Rishard Matthews
