Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-11-29,11.0,12.0,21.16,LAR,SFO,L 20-23,False,9,84,9.33,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,17,27%,0,0%,0,0%,False,Cam Akers,False,20,23
2020.0,2020-12-06,12.0,13.0,21.167,LAR,ARI,W 38-28,False,21,72,3.43,1,1,1,22,22.00,0,100.0%,22.00,1,6,0,0,0,0,0,0,52,63%,0,0%,0,0%,True,Cam Akers,True,38,28
2020.0,2020-12-10,13.0,14.0,21.171,LAR,NWE,W 24-3,True,29,171,5.90,0,3,2,23,11.50,0,66.7%,7.67,0,0,0,0,0,0,0,0,50,79%,0,0%,0,0%,False,Cam Akers,True,24,3
2020.0,2020-12-20,14.0,15.0,21.181,LAR,NYJ,L 20-23,True,15,63,4.20,0,3,1,-1,-1.00,0,33.3%,-0.33,0,0,0,0,0,0,0,0,36,61%,0,0%,0,0%,False,Cam Akers,False,20,23
2020.0,2020-12-27,15.0,16.0,,LAR,SEA,L 9-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Cam Akers,False,9,20
2020.0,2021-01-03,16.0,17.0,21.195,LAR,ARI,W 18-7,True,21,34,1.62,0,4,4,52,13.00,0,100.0%,13.00,0,0,1,1,0,0,0,0,48,66%,0,0%,0,0%,False,Cam Akers,True,18,7
2021.0,2021-09-12,1.0,1.0,,LAR,CHI,W 34-14,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Cam Akers,True,34,14
2021.0,2021-09-19,2.0,2.0,,LAR,IND,W 27-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Cam Akers,True,27,24
2021.0,2021-09-26,3.0,3.0,,LAR,TAM,W 34-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Cam Akers,True,34,24
2021.0,2021-10-03,4.0,4.0,,LAR,ARI,L 20-37,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Cam Akers,False,20,37
2021.0,2021-10-07,5.0,5.0,,LAR,SEA,W 26-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Cam Akers,True,26,17
2021.0,2021-10-17,6.0,6.0,,LAR,NYG,W 38-11,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Cam Akers,True,38,11
2021.0,2021-10-24,7.0,7.0,,LAR,DET,W 28-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Cam Akers,True,28,19
