Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-11-29,11.0,12.0,24.319,SFO,LAR,W 23-20,True,13,11,133,12.09,0,84.6%,10.23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,88%,0,0%,0,0%,True,Deebo Samuel,True,23,20
2020.0,2020-12-07,12.0,13.0,24.327,SFO,BUF,L 24-34,False,9,6,73,12.17,0,66.7%,8.11,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,95%,0,0%,0,0%,False,Deebo Samuel,False,24,34
2020.0,2020-12-13,13.0,14.0,24.333,SFO,WAS,L 15-23,True,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,False,Deebo Samuel,False,15,23
2020.0,2020-12-20,14.0,15.0,,SFO,DAL,L 33-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Deebo Samuel,False,33,41
2020.0,2020-12-26,15.0,16.0,,SFO,ARI,W 20-12,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Deebo Samuel,True,20,12
2020.0,2021-01-03,16.0,17.0,,SFO,SEA,L 23-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Deebo Samuel,False,23,26
2021.0,2021-09-12,1.0,1.0,25.24,SFO,DET,W 41-33,True,12,9,189,21.00,1,75.0%,15.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,46,84%,0,0%,0,0%,True,Deebo Samuel,True,41,33
2021.0,2021-09-19,2.0,2.0,25.247,SFO,PHI,W 17-11,True,8,6,93,15.50,0,75.0%,11.63,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,70%,0,0%,0,0%,True,Deebo Samuel,True,17,11
2021.0,2021-09-26,3.0,3.0,25.254,SFO,GNB,L 28-30,True,10,5,52,10.40,0,50.0%,5.20,2,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,90%,0,0%,0,0%,False,Deebo Samuel,False,28,30
2021.0,2021-10-03,4.0,4.0,25.261,SFO,SEA,L 21-28,True,13,8,156,19.50,2,61.5%,12.00,1,1,1.00,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,68,89%,0,0%,1,3%,False,Deebo Samuel,False,21,28
