Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-08,5.0,5.0,23.358,OAK,BAL,L 17-30,False,9,37,4.11,0,2,0,0,,0,0.0%,0.00,0,0,,0,1,7,7.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,45%,0,0%,9,33%,False,Jalen Richard,False,17,30
2017.0,2017-10-15,6.0,6.0,24.0,OAK,LAC,L 16-17,False,2,-1,-0.50,0,4,3,27,9.00,0,75.0%,6.75,2,29,14.50,0,3,18,6.00,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,17,29%,0,0%,8,36%,False,Jalen Richard,False,16,17
2017.0,2017-10-19,7.0,7.0,24.004,OAK,KAN,W 31-30,False,9,31,3.44,0,4,4,45,11.25,0,100.0%,11.25,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,32%,0,0%,10,31%,False,Jalen Richard,True,31,30
2017.0,2017-10-29,8.0,8.0,24.014,OAK,BUF,L 14-34,True,5,21,4.20,0,7,5,35,7.00,0,71.4%,5.00,3,16,5.33,0,2,11,5.50,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,26,40%,0,0%,12,44%,True,Jalen Richard,False,14,34
2017.0,2017-11-05,9.0,9.0,24.021,OAK,MIA,W 27-24,False,5,14,2.80,0,1,0,0,,0,0.0%,0.00,0,0,,0,2,21,10.50,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,12,19%,0,0%,8,31%,True,Jalen Richard,True,27,24
2017.0,2017-11-19,10.0,11.0,24.035,OAK,NWE,L 8-33,False,4,19,4.75,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,15%,0,0%,9,41%,False,Jalen Richard,False,8,33
2017.0,2017-11-26,11.0,12.0,24.042,OAK,DEN,W 21-14,False,2,17,8.50,0,2,2,13,6.50,1,100.0%,6.50,0,0,,0,4,25,6.25,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,9,33%,False,Jalen Richard,True,21,14
2017.0,2017-12-03,12.0,13.0,24.049,OAK,NYG,W 24-17,False,1,4,4.00,0,3,1,5,5.00,0,33.3%,1.67,1,17,17.00,0,4,23,5.75,0,0,0,0.0,0,0,0,0,0,3,0,0,1,0,0,13,20%,0,0%,10,36%,False,Jalen Richard,True,24,17
2017.0,2017-12-10,13.0,14.0,24.056,OAK,KAN,L 15-26,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,25%,0,0%,10,37%,True,Jalen Richard,False,15,26
2017.0,2017-12-17,14.0,15.0,24.063,OAK,DAL,L 17-20,False,0,0,,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,12%,0,0%,8,33%,False,Jalen Richard,False,17,20
