Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2021.0,2021-11-07,8.0,9.0,23.225,NOR,ATL,L 25-27,False,6,3,25,8.33,1,50.0%,4.17,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,79%,0,0%,0,0%,False,Marquez Callaway,False,25,27
2021.0,2021-11-14,9.0,10.0,23.232,NOR,TEN,L 21-23,True,4,2,37,18.50,1,50.0%,9.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,78%,0,0%,1,3%,True,Marquez Callaway,False,21,23
2021.0,2021-11-21,10.0,11.0,23.239,NOR,PHI,L 29-40,True,4,1,26,26.00,1,25.0%,6.50,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,77%,0,0%,1,3%,True,Marquez Callaway,False,29,40
2021.0,2021-11-25,11.0,12.0,23.243,NOR,BUF,L 6-31,False,4,2,24,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,60%,0,0%,0,0%,False,Marquez Callaway,False,6,31
2021.0,2021-12-02,12.0,13.0,23.25,NOR,DAL,L 17-27,True,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,69%,0,0%,1,3%,False,Marquez Callaway,False,17,27
2021.0,2021-12-12,13.0,14.0,23.26,NOR,NYJ,W 30-9,False,4,2,34,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,71%,0,0%,1,3%,True,Marquez Callaway,True,30,9
2021.0,2021-12-19,14.0,15.0,23.267,NOR,TAM,W 9-0,True,9,6,112,18.67,0,66.7%,12.44,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,True,Marquez Callaway,True,9,0
2021.0,2021-12-27,15.0,16.0,23.275,NOR,MIA,L 3-20,False,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,79%,0,0%,0,0%,False,Marquez Callaway,False,3,20
2021.0,2022-01-02,16.0,17.0,23.281,NOR,CAR,W 18-10,True,10,6,97,16.17,0,60.0%,9.70,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,84%,0,0%,0,0%,False,Marquez Callaway,True,18,10
2021.0,2022-01-09,17.0,18.0,23.288,NOR,ATL,W 30-20,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,64%,0,0%,1,4%,True,Marquez Callaway,True,30,20
,28 Games,,,,,,18-10-0,False,111,67,911,13.60,6,60.4%,8.21,4,94,23.50,0,12,124,10.33,0,6,36,0.0,1,0,1,0,0,0,0,0,2,0,0,,,,,,,False,Marquez Callaway,False,10,0
