Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-11-27,11.0,12.0,24.038,CIN,BAL,L 14-19,True,12,21,1.75,0,6,6,61,10.17,0,100.0%,10.17,,0,0,0,0,0,0,0,0,37,49%,0,0%,0,0%,True,Jeremy Hill,False,14,19
2016.0,2016-12-04,12.0,13.0,24.045,CIN,PHI,W 32-14,True,23,33,1.43,1,3,2,12,6.00,0,66.7%,4.00,,1,6,0,0,0,0,0,0,37,58%,0,0%,0,0%,False,Jeremy Hill,True,32,14
2016.0,2016-12-11,13.0,14.0,24.052,CIN,CLE,W 23-10,True,25,111,4.44,1,4,3,31,10.33,0,75.0%,7.75,,1,6,0,0,0,0,0,0,41,58%,0,0%,0,0%,True,Jeremy Hill,True,23,10
2016.0,2016-12-18,14.0,15.0,24.059,CIN,PIT,L 20-24,True,20,43,2.15,1,1,1,8,8.00,0,100.0%,8.00,,1,6,0,0,0,0,0,0,37,64%,0,0%,0,0%,False,Jeremy Hill,False,20,24
2016.0,2016-12-24,15.0,16.0,24.065,CIN,HOU,L 10-12,True,7,8,1.14,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,13,21%,0,0%,0,0%,True,Jeremy Hill,False,10,12
2016.0,2017-01-01,16.0,17.0,,CIN,BAL,W 27-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeremy Hill,True,27,10
2017.0,2017-09-10,1.0,1.0,24.325,CIN,BAL,L 0-20,True,6,26,4.33,0,1,1,-2,-2.00,0,100.0%,-2.00,,0,0,0,0,0,0,0,0,10,16%,0,0%,0,0%,False,Jeremy Hill,False,0,20
2017.0,2017-09-14,2.0,2.0,24.329,CIN,HOU,L 9-13,True,6,17,2.83,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0,0,0,0,0,0,15,23%,0,0%,0,0%,False,Jeremy Hill,False,9,13
2017.0,2017-09-24,3.0,3.0,24.339,CIN,GNB,L 24-27,True,7,23,3.29,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0,0,0,0,0,0,14,23%,0,0%,0,0%,True,Jeremy Hill,False,24,27
2017.0,2017-10-01,4.0,4.0,24.346,CIN,CLE,W 31-7,True,6,16,2.67,0,1,1,10,10.00,0,100.0%,10.00,,0,0,1,0,0,0,0,0,12,19%,0,0%,0,0%,True,Jeremy Hill,True,31,7
2017.0,2017-10-08,5.0,5.0,24.353,CIN,BUF,W 20-16,True,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,11,17%,0,0%,0,0%,False,Jeremy Hill,True,20,16
2017.0,2017-10-22,6.0,7.0,25.002,CIN,PIT,L 14-29,True,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,8,16%,0,0%,7,26%,True,Jeremy Hill,False,14,29
2017.0,2017-10-29,7.0,8.0,25.009,CIN,IND,W 24-23,True,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,7,12%,0,0%,0,0%,False,Jeremy Hill,True,24,23
2017.0,2017-11-05,8.0,9.0,,CIN,JAX,L 7-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeremy Hill,False,7,23
