Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-11-24,11,12,24.122,NOR,,CAR,W 34-31,False,11,54,4.91,0,9,9,48,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,,,0,0,,0,1,-2,-2.00,0,,0,0,0,0,0,0,0,0,43,67%,0,0%,3,10%,False,Alvin Kamara
2019,2019-11-28,12,13,24.126,NOR,@,ATL,W 26-18,True,11,61,5.55,0,8,4,23,5.75,0,50.0%,2.88,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,82%,0,0%,3,10%,True,Alvin Kamara
2019,2019-12-08,13,14,24.136,NOR,,SFO,L 46-48,True,13,25,1.92,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,55,76%,0,0%,0,0%,False,Alvin Kamara
2019,2019-12-16,14,15,24.144,NOR,,IND,W 34-7,False,14,66,4.71,0,5,5,23,4.60,0,100.0%,4.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,63%,0,0%,0,0%,False,Alvin Kamara
2019,2019-12-22,15,16,24.150,NOR,@,TEN,W 38-28,True,11,80,7.27,2,7,6,30,5.00,0,85.7%,4.29,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,44,63%,0,0%,0,0%,True,Alvin Kamara
2019,2019-12-29,16,17,24.157,NOR,@,CAR,W 42-10,False,8,39,4.88,2,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,28,41%,0,0%,0,0%,True,Alvin Kamara
2020,2020-09-13,1,1,25.050,NOR,,TAM,W 34-23,True,12,16,1.33,1,8,5,51,10.20,1,62.5%,6.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,45,66%,0,0%,1,3%,False,Alvin Kamara
2020,2020-09-21,2,2,25.058,NOR,@,LVR,L 24-34,True,13,79,6.08,2,9,9,95,10.56,0,100.0%,10.56,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,41,68%,0,0%,0,0%,True,Alvin Kamara
2020,2020-09-27,3,3,25.064,NOR,,GNB,L 30-37,False,6,58,9.67,0,14,13,139,10.69,2,92.9%,9.93,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,41,67%,0,0%,0,0%,False,Alvin Kamara
2020,2020-10-04,4,4,25.071,NOR,@,DET,W 35-29,True,19,83,4.37,1,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,0,,,1,13,13.00,0,1,0,0.00,0,,1,6,0,0,0,1,0,0,47,67%,0,0%,2,8%,True,Alvin Kamara
