Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-09-15,2.0,2.0,24.087,OAK,JAX,W 19-9,True,15,24,62.50,126,0,0,76.0,3,12,5.25,5.25,0,0,0,,0,0.0%,,9,50,5.56,0,,0,0,2,0,0,1,0,0,63,100%,0,0%,0,0%,False,Terrelle Pryor,True,19,9
2013.0,2013-09-23,3.0,3.0,24.095,OAK,DEN,L 21-37,True,19,28,67.86,281,1,0,112.4,3,23,10.04,10.75,0,0,0,,0,0.0%,,4,36,9.00,0,,0,0,0,0,0,1,0,0,50,93%,0,0%,0,0%,True,Terrelle Pryor,False,21,37
2013.0,2013-09-29,4.0,4.0,,OAK,WAS,L 14-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrelle Pryor,False,14,24
2013.0,2013-10-06,5.0,5.0,24.108,OAK,SDG,W 27-17,True,18,23,78.26,221,2,0,135.7,4,26,9.61,11.35,0,0,0,,0,0.0%,,11,31,2.82,0,,0,0,1,0,0,0,0,0,58,100%,0,0%,0,0%,False,Terrelle Pryor,True,27,17
2013.0,2013-10-13,6.0,6.0,24.115,OAK,KAN,L 7-24,True,18,34,52.94,216,1,3,45.7,9,63,6.35,2.97,0,0,0,,0,0.0%,,7,56,8.00,0,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,True,Terrelle Pryor,False,7,24
2013.0,2013-10-27,7.0,8.0,24.129,OAK,PIT,W 21-18,True,10,19,52.63,88,0,2,25.7,2,6,4.63,-0.11,0,0,0,,0,0.0%,,9,106,11.78,1,,1,6,0,0,0,0,0,0,59,100%,0,0%,0,0%,False,Terrelle Pryor,True,21,18
2013.0,2013-11-03,8.0,9.0,24.136,OAK,PHI,L 20-49,True,22,41,53.66,288,0,2,55.7,3,25,7.02,4.83,0,0,0,,0,0.0%,,10,94,9.40,0,,0,0,1,0,0,1,-5,0,75,79%,0,0%,0,0%,False,Terrelle Pryor,False,20,49
2013.0,2013-11-10,9.0,10.0,24.143,OAK,NYG,L 20-24,True,11,26,42.31,122,0,1,40.9,4,16,4.69,2.96,0,0,0,,0,0.0%,,5,19,3.80,1,,1,6,1,1,0,0,0,0,57,100%,0,0%,0,0%,True,Terrelle Pryor,False,20,24
2013.0,2013-11-17,10.0,11.0,,OAK,HOU,W 28-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Terrelle Pryor,True,28,23
2013.0,2013-11-24,11.0,12.0,,OAK,TEN,L 19-23,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Terrelle Pryor,False,19,23
2013.0,2013-11-28,12.0,13.0,,OAK,DAL,L 24-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Terrelle Pryor,False,24,31
2013.0,2013-12-08,13.0,14.0,24.171,OAK,NYJ,L 27-37,False,2,5,40.00,20,0,0,52.1,0,0,4.00,4.00,0,0,0,,0,0.0%,,3,4,1.33,0,,0,0,0,0,0,0,0,0,14,20%,0,0%,0,0%,True,Terrelle Pryor,False,27,37
2013.0,2013-12-15,14.0,15.0,24.178,OAK,KAN,L 31-56,False,1,5,20.00,12,0,1,0.0,0,0,2.40,-6.60,0,0,0,,0,0.0%,,3,19,6.33,0,,0,0,0,0,0,0,0,0,14,18%,0,0%,0,0%,False,Terrelle Pryor,False,31,56
2013.0,2013-12-22,15.0,16.0,,OAK,SDG,L 13-26,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Terrelle Pryor,False,13,26
2013.0,2013-12-29,16.0,17.0,24.192,OAK,DEN,L 14-34,True,21,38,55.26,207,2,0,88.4,2,16,5.45,6.50,0,0,0,,0,0.0%,,9,49,5.44,0,,0,0,2,1,0,1,-4,0,61,100%,0,0%,0,0%,False,Terrelle Pryor,False,14,34
2015.0,2015-12-06,12.0,13.0,,CLE,CIN,L 3-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrelle Pryor,False,3,37
2015.0,2015-12-13,13.0,14.0,26.176,CLE,SFO,W 24-10,False,0,0,,0,0,0,,0,0,,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,16,21%,0,0%,0,0%,False,Terrelle Pryor,True,24,10
2015.0,2015-12-20,14.0,15.0,26.183,CLE,SEA,L 13-30,True,0,0,,0,0,0,,0,0,,,2,0,0,,0,0.0%,0.00,1,-1,-1.00,0,,0,0,0,0,0,0,0,0,15,27%,0,0%,0,0%,True,Terrelle Pryor,False,13,30
2015.0,2015-12-27,15.0,16.0,,CLE,KAN,L 13-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Terrelle Pryor,False,13,17
