Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-12-22,15.0,16.0,24.08,MIA,CIN,W 38-35,True,12,6,82,13.67,2,50.0%,6.83,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,58,64%,0,0%,2,5%,False,Mike Gesicki,True,38,35
2019.0,2019-12-29,16.0,17.0,24.087,MIA,NWE,W 27-24,False,7,4,34,8.50,1,57.1%,4.86,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,75%,0,0%,0,0%,True,Mike Gesicki,True,27,24
2020.0,2020-09-13,1.0,1.0,24.346,MIA,NWE,L 11-21,True,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,73%,0,0%,0,0%,True,Mike Gesicki,False,11,21
2020.0,2020-09-20,2.0,2.0,24.353,MIA,BUF,L 28-31,True,11,8,130,16.25,1,72.7%,11.82,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,55%,0,0%,0,0%,False,Mike Gesicki,False,28,31
2020.0,2020-09-24,3.0,3.0,24.357,MIA,JAX,W 31-13,True,3,1,15,15.00,1,33.3%,5.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,49%,0,0%,1,4%,True,Mike Gesicki,True,31,13
2020.0,2020-10-04,4.0,4.0,25.001,MIA,SEA,L 23-31,False,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,63%,0,0%,0,0%,False,Mike Gesicki,False,23,31
2020.0,2020-10-11,5.0,5.0,25.008,MIA,SFO,W 43-17,False,6,5,91,18.20,0,83.3%,15.17,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,45%,0,0%,0,0%,True,Mike Gesicki,True,43,17
2020.0,2020-10-18,6.0,6.0,25.015,MIA,NYJ,W 24-0,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,66%,0,0%,0,0%,False,Mike Gesicki,True,24,0
2020.0,2020-11-01,7.0,8.0,25.029,MIA,LAR,W 28-17,False,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,57%,0,0%,0,0%,False,Mike Gesicki,True,28,17
2020.0,2020-11-08,8.0,9.0,25.036,MIA,ARI,W 34-31,True,4,3,42,14.00,0,75.0%,10.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,70%,0,0%,0,0%,True,Mike Gesicki,True,34,31
