Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-10-07,5,5,25.313,CLE,,BAL,W 12-9,True,11,5,69,13.80,0,45.5%,6.27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,80,100%,0,0%,0,0%,False,Jarvis Landry
2018,2018-10-14,6,6,25.320,CLE,,LAC,L 14-38,True,10,2,11,5.50,0,20.0%,1.10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,73,99%,0,0%,0,0%,False,Jarvis Landry
2018,2018-10-21,7,7,25.327,CLE,@,TAM,L 23-26,True,15,10,97,9.70,1,66.7%,6.47,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,67,99%,0,0%,0,0%,True,Jarvis Landry
2018,2018-10-28,8,8,25.334,CLE,@,PIT,L 18-33,True,12,8,39,4.88,0,66.7%,3.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,81%,0,0%,0,0%,True,Jarvis Landry
2018,2018-11-04,9,9,25.341,CLE,,KAN,L 21-37,True,7,6,50,8.33,0,85.7%,7.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,73,97%,0,0%,0,0%,False,Jarvis Landry
2018,2018-11-11,10,10,25.348,CLE,,ATL,W 28-16,True,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,0,0,,,1,8,8.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,68%,0,0%,1,5%,False,Jarvis Landry
2018,2018-11-25,11,12,25.362,CLE,@,CIN,W 35-20,True,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,61%,0,0%,0,0%,True,Jarvis Landry
2018,2018-12-02,12,13,26.004,CLE,@,HOU,L 13-29,True,9,6,103,17.17,0,66.7%,11.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,81%,0,0%,0,0%,True,Jarvis Landry
2018,2018-12-09,13,14,26.011,CLE,,CAR,W 26-20,False,4,3,57,19.00,1,75.0%,14.25,2,54,27.00,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,1,1,0,0,0,0,42,81%,0,0%,0,0%,False,Jarvis Landry
2018,2018-12-15,14,15,26.017,CLE,@,DEN,W 17-16,True,8,3,37,12.33,0,37.5%,4.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,85%,0,0%,0,0%,True,Jarvis Landry
