Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-12-14,13,14,21.129,ARI,SFO,False,15,79,5.27,1,1,1,24,24.00,0,100.0%,24.00,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,9,24,Beanie Wells
2009,2009-12-20,14,15,21.135,ARI,DET,False,17,110,6.47,1,2,1,13,13.00,0,50.0%,6.50,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,31,24,Beanie Wells
2009,2009-12-27,15,16,21.142,ARI,STL,False,17,68,4.00,1,1,1,25,25.00,0,100.0%,25.00,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,10,Beanie Wells
2009,2010-01-03,16,17,21.149,ARI,GNB,False,6,19,3.17,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,7,33,Beanie Wells
2010,2010-09-12,1,1,,ARI,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,17,13,Beanie Wells
2010,2010-09-19,2,2,,ARI,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,41,Beanie Wells
2010,2010-09-26,3,3,22.050,ARI,OAK,False,14,75,5.36,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,23,Beanie Wells
2010,2010-10-03,4,4,22.057,ARI,SDG,False,5,19,3.80,0,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,41,Beanie Wells
2010,2010-10-10,5,5,22.064,ARI,NOR,False,20,35,1.75,0,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0,0,,,1,0,0,1,0,0,,,,,,,False,True,30,20,Beanie Wells
2010,2010-10-24,6,7,22.078,ARI,SEA,False,14,54,3.86,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,22,Beanie Wells
2010,2010-10-31,7,8,22.085,ARI,TAM,True,16,50,3.13,1,2,1,14,14.00,0,50.0%,7.00,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,35,38,Beanie Wells
2010,2010-11-07,8,9,22.092,ARI,MIN,False,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,27,Beanie Wells
2010,2010-11-14,9,10,,ARI,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,18,36,Beanie Wells
2010,2010-11-21,10,11,22.106,ARI,KAN,False,8,39,4.88,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,13,31,Beanie Wells
2010,2010-11-29,11,12,22.114,ARI,SFO,True,5,13,2.60,0,1,1,43,43.00,0,100.0%,43.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,6,27,Beanie Wells
2010,2010-12-05,12,13,22.120,ARI,STL,False,3,24,8.00,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,6,19,Beanie Wells
2010,2010-12-12,13,14,22.127,ARI,DEN,False,6,16,2.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,43,13,Beanie Wells
2010,2010-12-19,14,15,22.134,ARI,CAR,False,8,11,1.38,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,12,19,Beanie Wells
2010,2010-12-25,15,16,22.140,ARI,DAL,False,11,47,4.27,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,26,Beanie Wells
2010,2011-01-02,16,17,22.148,ARI,SFO,False,5,16,3.20,0,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,38,Beanie Wells
2011,2011-09-11,1,1,23.035,ARI,CAR,True,18,90,5.00,1,4,4,12,3.00,0,100.0%,3.00,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,28,21,Beanie Wells
2011,2011-09-18,2,2,23.042,ARI,WAS,True,14,93,6.64,1,2,0,0,,0,0.0%,0.00,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,21,22,Beanie Wells
2011,2011-09-25,3,3,,ARI,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,13,Beanie Wells
2011,2011-10-02,4,4,23.056,ARI,NYG,True,27,138,5.11,3,2,0,0,,0,0.0%,0.00,3,18,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,False,27,31,Beanie Wells
2011,2011-10-09,5,5,23.063,ARI,MIN,True,20,60,3.00,1,1,0,0,,0,0.0%,0.00,1,6,0.0,1,0,1,,,1,0,0,0,0,0,,,,,,,True,False,10,34,Beanie Wells
2011,2011-10-23,6,7,23.077,ARI,PIT,True,12,42,3.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,32,Beanie Wells
2011,2011-10-30,7,8,23.084,ARI,BAL,True,22,83,3.77,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,27,30,Beanie Wells
2011,2011-11-06,8,9,23.091,ARI,STL,True,10,20,2.00,0,2,2,13,6.50,0,100.0%,6.50,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,19,13,Beanie Wells
2011,2011-11-13,9,10,23.098,ARI,PHI,True,23,62,2.70,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,21,17,Beanie Wells
2011,2011-11-20,10,11,23.105,ARI,SFO,True,8,33,4.13,0,1,0,0,,0,0.0%,0.00,0,0,0.0,1,0,1,,,1,1,0,0,0,0,,,,,,,True,False,7,23,Beanie Wells
2011,2011-11-27,11,12,23.112,ARI,STL,True,27,228,8.44,1,0,0,0,,0,0.0%,,1,6,0.0,1,0,1,,,1,1,0,0,0,0,,,,,,,True,True,23,20,Beanie Wells
2011,2011-12-04,12,13,23.119,ARI,DAL,True,20,67,3.35,1,1,1,6,6.00,0,100.0%,6.00,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,19,13,Beanie Wells
2011,2011-12-11,13,14,23.126,ARI,SFO,True,15,27,1.80,0,1,1,3,3.00,0,100.0%,3.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,21,19,Beanie Wells
2011,2011-12-18,14,15,23.133,ARI,CLE,True,15,51,3.40,1,1,1,10,10.00,0,100.0%,10.00,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,17,Beanie Wells
2011,2011-12-24,15,16,23.139,ARI,CIN,True,14,53,3.79,0,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0,0,,,0,,0,1,0,0,,,,,,,True,False,16,23,Beanie Wells
2011,2012-01-01,16,17,,ARI,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,23,20,Beanie Wells
2012,2012-09-09,1,1,24.033,ARI,SEA,False,7,14,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,21%,0,0%,0,0%,False,True,20,16,Beanie Wells
2012,2012-09-16,2,2,24.040,ARI,NWE,True,14,44,3.14,0,1,1,24,24.00,0,100.0%,24.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,38%,0,0%,0,0%,True,True,20,18,Beanie Wells
2012,2012-09-23,3,3,24.047,ARI,PHI,True,8,18,2.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,23%,0,0%,0,0%,False,True,27,6,Beanie Wells
2012,2012-09-30,4,4,,ARI,MIA,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,24,21,Beanie Wells
2012,2012-10-04,5,5,,ARI,STL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,3,17,Beanie Wells
2012,2012-10-14,6,6,,ARI,BUF,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,16,19,Beanie Wells
2012,2012-10-21,7,7,,ARI,MIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,14,21,Beanie Wells
2012,2012-10-29,8,8,,ARI,SFO,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,3,24,Beanie Wells
2012,2012-11-04,9,9,,ARI,GNB,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,17,31,Beanie Wells
2012,2012-11-18,10,11,,ARI,ATL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,19,23,Beanie Wells
2012,2012-11-25,11,12,24.110,ARI,STL,True,17,48,2.82,2,0,0,0,,0,0.0%,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,30,38%,0,0%,0,0%,False,False,17,31,Beanie Wells
2012,2012-12-02,12,13,24.117,ARI,NYJ,True,15,22,1.47,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,43%,0,0%,0,0%,True,False,6,7,Beanie Wells
2012,2012-12-09,13,14,24.124,ARI,SEA,True,6,18,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,22%,0,0%,0,0%,True,False,0,58,Beanie Wells
2012,2012-12-16,14,15,24.131,ARI,DET,True,17,67,3.94,3,0,0,0,,0,0.0%,,3,18,0.0,0,0,0,,,0,0,0,0,0,0,25,46%,0,0%,0,0%,False,True,38,10,Beanie Wells
2012,2012-12-23,15,16,24.138,ARI,CHI,True,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,8,11%,0,0%,0,0%,False,False,13,28,Beanie Wells
2012,2012-12-30,16,17,,ARI,SFO,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,13,27,Beanie Wells
,51 Games,,,,,,False,625,2471,3.95,24,41,28,293,10.46,0,68.3%,7.15,24,144,0.0,3,0,3,,,10,5,0,3,-4,0,,,,,,,False,False,26,0,Beanie Wells
