Year,Date,G#,Week,Age,Tm,Opp,GS,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-11-16,10,11,34.362,PHI,CIN,False,0.0,0,0,0,,,0,,0,0,0,0,10,362,36.20,0,,,,,,,True,False,13,13,Saverio Rocca
2008,2008-11-23,11,12,35.003,PHI,BAL,False,0.0,0,0,0,,,0,,0,0,0,0,6,291,48.50,1,,,,,,,True,False,7,36,Saverio Rocca
2008,2008-11-27,12,13,35.007,PHI,ARI,False,0.0,0,0,0,,,0,,0,0,0,0,3,137,45.67,0,,,,,,,False,True,48,20,Saverio Rocca
2008,2008-12-07,13,14,35.017,PHI,NYG,False,0.0,0,0,0,,,0,,0,0,0,0,3,109,36.33,0,,,,,,,True,True,20,14,Saverio Rocca
2008,2008-12-15,14,15,35.025,PHI,CLE,False,0.0,0,0,0,,,0,,0,0,0,0,2,83,41.50,0,,,,,,,False,True,30,10,Saverio Rocca
2008,2008-12-21,15,16,35.031,PHI,WAS,False,0.0,1,0,1,0,0,0,,0,0,0,0,8,318,39.75,0,,,,,,,True,False,3,10,Saverio Rocca
2008,2008-12-28,16,17,35.038,PHI,DAL,False,0.0,0,0,0,,,0,,0,0,0,0,3,128,42.67,0,,,,,,,False,True,44,6,Saverio Rocca
2009,2009-09-13,1,1,35.297,PHI,CAR,False,0.0,0,0,0,,,0,,0,0,0,0,4,171,42.75,0,,,,,,,True,True,38,10,Saverio Rocca
2009,2009-09-20,2,2,35.304,PHI,NOR,False,0.0,0,0,0,,,0,,0,0,0,0,5,225,45.00,0,,,,,,,False,False,22,48,Saverio Rocca
2009,2009-09-27,3,3,35.311,PHI,KAN,False,0.0,0,0,0,,,0,,0,0,0,0,3,123,41.00,0,,,,,,,False,True,34,14,Saverio Rocca
2009,2009-10-11,4,5,35.325,PHI,TAM,False,0.0,0,0,0,,,0,,0,0,0,0,5,244,48.80,0,,,,,,,False,True,33,14,Saverio Rocca
2009,2009-10-18,5,6,35.332,PHI,OAK,False,0.0,0,0,0,,,0,,0,0,0,0,8,343,42.88,0,,,,,,,True,False,9,13,Saverio Rocca
2009,2009-10-26,6,7,35.340,PHI,WAS,False,0.0,0,0,0,,,0,,0,0,0,0,8,276,34.50,0,,,,,,,True,True,27,17,Saverio Rocca
2009,2009-11-01,7,8,35.346,PHI,NYG,False,0.0,0,0,0,,,0,,0,0,0,0,3,142,47.33,0,,,,,,,False,True,40,17,Saverio Rocca
2009,2009-11-08,8,9,35.353,PHI,DAL,False,0.0,0,0,0,,,0,,0,0,0,0,3,133,44.33,0,,,,,,,False,False,16,20,Saverio Rocca
2009,2009-11-15,9,10,35.360,PHI,SDG,False,0.0,0,0,0,,,0,,0,0,0,0,4,160,40.00,0,,,,,,,True,False,23,31,Saverio Rocca
2009,2009-11-22,10,11,36.002,PHI,CHI,False,0.0,0,0,0,,,0,,0,0,0,0,5,169,33.80,0,,,,,,,True,True,24,20,Saverio Rocca
2009,2009-11-29,11,12,36.009,PHI,WAS,False,0.0,0,0,0,,,0,,0,0,0,0,5,217,43.40,0,,,,,,,False,True,27,24,Saverio Rocca
2009,2009-12-06,12,13,36.016,PHI,ATL,False,0.0,0,0,0,,,0,,0,0,0,0,3,134,44.67,0,,,,,,,True,True,34,7,Saverio Rocca
2009,2009-12-13,13,14,36.023,PHI,NYG,False,0.0,0,0,0,,,0,,0,0,0,0,4,167,41.75,0,,,,,,,True,True,45,38,Saverio Rocca
2009,2009-12-20,14,15,36.030,PHI,SFO,False,0.0,0,0,0,,,0,,0,0,0,0,4,161,40.25,0,,,,,,,False,True,27,13,Saverio Rocca
2009,2009-12-27,15,16,36.037,PHI,DEN,False,0.0,0,0,0,,,0,,0,0,0,0,5,217,43.40,0,,,,,,,False,True,30,27,Saverio Rocca
2009,2010-01-03,16,17,36.044,PHI,DAL,False,0.0,0,0,0,,,0,,0,0,0,0,7,340,48.57,0,,,,,,,True,False,0,24,Saverio Rocca
2010,2010-09-12,1,1,36.296,PHI,GNB,False,0.0,0,0,0,,,0,,0,0,0,0,5,249,49.80,0,,,,,,,False,False,20,27,Saverio Rocca
2010,2010-09-19,2,2,36.303,PHI,DET,False,0.0,0,0,0,,,0,,0,0,0,0,7,341,48.71,0,,,,,,,True,True,35,32,Saverio Rocca
2010,2010-09-26,3,3,36.310,PHI,JAX,False,0.0,1,0,1,0,0,0,,0,0,0,0,7,316,45.14,0,,,,,,,True,True,28,3,Saverio Rocca
2010,2010-10-03,4,4,36.317,PHI,WAS,False,0.0,0,0,0,,,0,,0,0,0,0,5,248,49.60,0,,,,,,,False,False,12,17,Saverio Rocca
2010,2010-10-10,5,5,36.324,PHI,SFO,False,0.0,0,0,0,,,0,,0,0,0,0,4,161,40.25,0,,,,,,,True,True,27,24,Saverio Rocca
2010,2010-10-17,6,6,36.331,PHI,ATL,False,0.0,0,0,0,,,0,,0,0,0,0,2,90,45.00,0,,,,,,,False,True,31,17,Saverio Rocca
2010,2010-10-24,7,7,36.338,PHI,TEN,False,0.0,0,0,0,,,0,,0,0,0,0,5,242,48.40,0,,,,,,,True,False,19,37,Saverio Rocca
2010,2010-11-07,8,9,36.352,PHI,IND,False,0.0,0,0,0,,,0,,0,0,0,0,4,148,37.00,0,,,,,,,False,True,26,24,Saverio Rocca
2010,2010-11-15,9,10,36.360,PHI,WAS,False,0.0,0,0,0,,,0,,0,0,0,0,4,159,39.75,0,,,,,,,True,True,59,28,Saverio Rocca
2010,2010-11-21,10,11,37.001,PHI,NYG,False,0.0,1,0,1,0,0,0,,0,0,0,0,3,134,44.67,0,,,,,,,False,True,27,17,Saverio Rocca
2010,2010-11-28,11,12,37.008,PHI,CHI,False,0.0,0,0,0,,,0,,0,0,0,0,3,135,45.00,0,,,,,,,True,False,26,31,Saverio Rocca
2010,2010-12-02,12,13,37.012,PHI,HOU,False,0.0,0,0,0,,,0,,0,0,0,0,3,107,35.67,0,,,,,,,False,True,34,24,Saverio Rocca
2010,2010-12-12,13,14,37.022,PHI,DAL,False,0.0,0,0,0,,,0,,0,0,0,0,3,136,45.33,0,,,,,,,True,True,30,27,Saverio Rocca
2010,2010-12-19,14,15,37.029,PHI,NYG,False,0.0,0,1,1,0,0,0,,0,0,0,0,6,247,41.17,0,,,,,,,True,True,38,31,Saverio Rocca
2010,2010-12-28,15,16,37.038,PHI,MIN,False,0.0,0,0,0,,,0,,0,0,0,0,5,214,42.80,0,,,,,,,False,False,14,24,Saverio Rocca
2010,2011-01-02,16,17,37.043,PHI,DAL,False,0.0,0,0,0,,,0,,0,0,0,0,7,268,38.29,0,,,,,,,False,False,13,14,Saverio Rocca
2011,2011-09-11,1,1,37.295,WAS,NYG,False,0.0,0,0,0,,,0,,0,0,0,0,6,258,43.00,0,,,,,,,False,True,28,14,Saverio Rocca
2011,2011-09-18,2,2,37.302,WAS,ARI,False,0.0,1,0,1,0,0,0,,0,0,0,0,3,118,39.33,0,,,,,,,False,True,22,21,Saverio Rocca
2011,2011-09-26,3,3,37.310,WAS,DAL,False,0.0,0,0,0,,,0,,0,0,0,0,5,232,46.40,0,,,,,,,True,False,16,18,Saverio Rocca
2011,2011-10-02,4,4,37.316,WAS,STL,False,0.0,0,0,0,0,0,0,,0,0,0,0,7,321,45.86,0,,,,,,,True,True,17,10,Saverio Rocca
2011,2011-10-16,5,6,37.330,WAS,PHI,False,0.0,0,0,0,,,0,,0,0,0,0,4,170,42.50,0,,,,,,,False,False,13,20,Saverio Rocca
2011,2011-10-23,6,7,37.337,WAS,CAR,False,0.0,0,0,0,,,0,,0,0,0,0,1,37,37.00,0,,,,,,,True,False,20,33,Saverio Rocca
2011,2011-10-30,7,8,37.344,WAS,BUF,False,0.0,0,0,0,,,0,,0,0,0,0,6,284,47.33,0,,,,,,,True,False,0,23,Saverio Rocca
2011,2011-11-06,8,9,37.351,WAS,SFO,False,0.0,0,0,0,,,0,,0,0,0,0,5,244,48.80,0,,,,,,,False,False,11,19,Saverio Rocca
2011,2011-11-13,9,10,37.358,WAS,MIA,False,0.0,0,0,0,0,0,0,,0,0,0,0,2,93,46.50,0,,,,,,,True,False,9,20,Saverio Rocca
2011,2011-11-20,10,11,38.000,WAS,DAL,False,0.0,1,0,1,0,0,0,,0,0,0,0,5,243,48.60,0,,,,,,,False,False,24,27,Saverio Rocca
2011,2011-11-27,11,12,38.007,WAS,SEA,False,0.0,0,0,0,,,0,,0,0,0,0,4,178,44.50,0,,,,,,,True,True,23,17,Saverio Rocca
2011,2011-12-04,12,13,38.014,WAS,NYJ,False,0.0,0,0,0,,,0,,0,0,0,0,6,224,37.33,0,,,,,,,False,False,19,34,Saverio Rocca
2011,2011-12-11,13,14,38.021,WAS,NWE,False,0.0,0,0,0,,,0,,0,0,0,0,3,112,37.33,0,,,,,,,False,False,27,34,Saverio Rocca
2011,2011-12-18,14,15,38.028,WAS,NYG,False,0.0,0,0,0,,,0,,0,0,0,0,2,66,33.00,0,,,,,,,True,True,23,10,Saverio Rocca
2011,2011-12-24,15,16,38.034,WAS,MIN,False,0.0,0,0,0,0,0,0,,0,0,0,0,2,79,39.50,0,,,,,,,False,False,26,33,Saverio Rocca
2011,2012-01-01,16,17,38.042,WAS,PHI,False,0.0,0,0,0,,,0,,0,0,0,0,5,183,36.60,0,,,,,,,True,False,10,34,Saverio Rocca
2012,2012-09-09,1,1,38.294,WAS,NOR,False,0.0,0,0,0,,,0,0,0,0,0,0,3,139,46.33,1,0,0%,0,0%,14,36%,True,True,40,32,Saverio Rocca
2012,2012-09-16,2,2,38.301,WAS,STL,False,0.0,0,0,0,,,0,0,0,0,0,0,5,240,48.00,1,0,0%,0,0%,11,34%,True,False,28,31,Saverio Rocca
2012,2012-09-23,3,3,38.308,WAS,CIN,False,0.0,0,0,0,,,0,0,0,0,0,0,7,310,44.29,0,0,0%,0,0%,12,32%,False,False,31,38,Saverio Rocca
2012,2012-09-30,4,4,38.315,WAS,TAM,False,0.0,0,0,0,,,0,0,0,0,0,0,6,280,46.67,0,0,0%,0,0%,13,38%,True,True,24,22,Saverio Rocca
2012,2012-10-07,5,5,38.322,WAS,ATL,False,0.0,0,0,0,,,0,0,0,0,0,0,6,254,42.33,0,0,0%,0,0%,10,34%,False,False,17,24,Saverio Rocca
2012,2012-10-14,6,6,38.329,WAS,MIN,False,0.0,0,0,0,,,0,0,0,0,0,0,3,115,38.33,0,0,0%,0,0%,9,31%,False,True,38,26,Saverio Rocca
2012,2012-10-21,7,7,38.336,WAS,NYG,False,0.0,0,0,0,,,0,0,0,0,0,0,1,33,33.00,0,0,0%,0,0%,6,22%,True,False,23,27,Saverio Rocca
2012,2012-10-28,8,8,38.343,WAS,PIT,False,0.0,0,0,0,,,0,0,0,0,0,0,4,151,37.75,0,0,0%,0,0%,7,28%,True,False,12,27,Saverio Rocca
2012,2012-11-04,9,9,38.350,WAS,CAR,False,0.0,0,0,0,,,0,0,0,0,0,0,3,137,45.67,0,0,0%,0,0%,6,26%,False,False,13,21,Saverio Rocca
2012,2012-11-18,10,11,38.364,WAS,PHI,False,0.0,1,0,1,0,0,0,0,0,0,0,0,5,227,45.40,0,0,0%,0,0%,12,44%,False,True,31,6,Saverio Rocca
2012,2012-11-22,11,12,39.002,WAS,DAL,False,0.0,0,0,0,,,0,0,0,0,0,0,5,226,45.20,0,0,0%,0,0%,11,33%,True,True,38,31,Saverio Rocca
2012,2012-12-03,12,13,39.013,WAS,NYG,False,0.0,0,0,0,0,0,0,0,0,0,0,0,3,126,42.00,0,0,0%,0,0%,6,27%,False,True,17,16,Saverio Rocca
2012,2012-12-09,13,14,39.019,WAS,BAL,False,0.0,0,0,0,,,0,0,0,0,0,0,5,240,48.00,0,0,0%,0,0%,11,34%,False,True,31,28,Saverio Rocca
2012,2012-12-16,14,15,39.026,WAS,CLE,False,0.0,0,0,0,0,0,0,0,0,0,0,0,5,213,42.60,0,0,0%,0,0%,11,35%,True,True,38,21,Saverio Rocca
2012,2012-12-23,15,16,39.033,WAS,PHI,False,0.0,0,0,0,0,0,0,0,0,0,0,0,2,86,43.00,0,0,0%,0,0%,7,29%,True,True,27,20,Saverio Rocca
2012,2012-12-30,16,17,39.040,WAS,DAL,False,0.0,1,0,1,0,0,0,0,0,0,0,0,5,207,41.40,0,0,0%,0,0%,10,40%,False,True,28,18,Saverio Rocca
2013,2013-09-09,1,1,39.293,WAS,PHI,False,0.0,0,0,0,,,0,0,0,0,0,0,3,126,42.00,0,0,0%,0,0%,8,26%,False,False,27,33,Saverio Rocca
2013,2013-09-15,2,2,39.299,WAS,GNB,False,0.0,0,0,0,,,0,0,0,0,0,0,5,184,36.80,0,0,0%,0,0%,8,29%,True,False,20,38,Saverio Rocca
2013,2013-09-22,3,3,39.306,WAS,DET,False,0.0,0,0,0,,,0,0,0,0,0,0,5,231,46.20,0,0,0%,0,0%,9,28%,False,False,20,27,Saverio Rocca
2013,2013-09-29,4,4,39.313,WAS,OAK,False,0.0,0,0,0,,,0,0,0,0,0,0,7,280,40.00,1,0,0%,0,0%,12,39%,True,True,24,14,Saverio Rocca
2013,2013-10-13,5,6,39.327,WAS,DAL,False,0.0,0,0,0,0,0,0,0,0,0,0,0,3,141,47.00,0,0,0%,0,0%,9,31%,True,False,16,31,Saverio Rocca
2013,2013-10-20,6,7,39.334,WAS,CHI,False,0.0,0,0,0,,,0,0,0,0,0,0,5,218,43.60,0,0,0%,0,0%,12,30%,False,True,45,41,Saverio Rocca
2013,2013-10-27,7,8,39.341,WAS,DEN,False,0.0,0,0,0,,,0,0,0,0,0,0,7,274,39.14,0,0,0%,0,0%,10,31%,True,False,21,45,Saverio Rocca
2013,2013-11-03,8,9,39.348,WAS,SDG,False,0.0,0,0,0,,,0,0,0,0,0,0,3,123,41.00,0,0,0%,0,0%,9,32%,False,True,30,24,Saverio Rocca
2013,2013-11-07,9,10,39.352,WAS,MIN,False,0.0,0,0,0,,,0,0,0,0,0,0,3,135,45.00,0,0,0%,0,0%,8,29%,True,False,27,34,Saverio Rocca
2013,2013-11-17,10,11,39.362,WAS,PHI,False,0.0,0,0,0,,,0,0,0,0,0,0,6,223,37.17,0,0,0%,0,0%,6,25%,True,False,16,24,Saverio Rocca
2013,2013-11-25,11,12,40.005,WAS,SFO,False,0.0,1,0,1,0,0,0,0,0,0,0,0,7,315,45.00,0,0,0%,0,0%,9,35%,False,False,6,27,Saverio Rocca
2013,2013-12-01,12,13,40.011,WAS,NYG,False,0.0,0,0,0,0,0,0,0,0,1,0,0,7,285,40.71,0,0,0%,0,0%,10,34%,False,False,17,24,Saverio Rocca
2013,2013-12-08,13,14,40.018,WAS,KAN,False,0.0,0,0,0,,,0,0,0,0,0,0,8,338,42.25,0,0,0%,0,0%,10,32%,False,False,10,45,Saverio Rocca
2013,2013-12-15,14,15,40.025,WAS,ATL,False,0.0,0,0,0,,,0,0,0,0,0,0,3,158,52.67,0,0,0%,0,0%,7,24%,True,False,26,27,Saverio Rocca
2013,2013-12-22,15,16,40.032,WAS,DAL,False,0.0,0,0,0,,,0,0,0,0,0,0,3,131,43.67,0,0,0%,0,0%,8,31%,False,False,23,24,Saverio Rocca
2013,2013-12-29,16,17,40.039,WAS,NYG,False,0.0,0,0,0,,,0,0,0,0,0,0,9,364,40.44,0,0,0%,0,0%,11,34%,True,False,6,20,Saverio Rocca
,112 Games,,,,,,False,0.0,10,1,11,0,0,0,0,0,1,0,0,517,22169,42.88,4,,,,,,,False,False,55,1,Saverio Rocca
