Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,26.254,STL,MIN,L 6-34,False,,,,2,3,66.7,0,6,0.0,0,0,0,,,0,0%,0,0%,6,19%,False,Greg Zuerlein,False,6,34
2014.0,2014-09-14,2.0,2.0,26.261,STL,TAM,W 19-17,False,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,0,0,0%,0,0%,11,48%,True,Greg Zuerlein,True,19,17
2014.0,2014-09-21,3.0,3.0,26.268,STL,DAL,L 31-34,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,11,41%,False,Greg Zuerlein,False,31,34
2014.0,2014-10-05,4.0,5.0,26.282,STL,PHI,L 28-34,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0%,0,0%,9,29%,True,Greg Zuerlein,False,28,34
2014.0,2014-10-13,5.0,6.0,26.29,STL,SFO,L 17-31,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,6,19%,False,Greg Zuerlein,False,17,31
2014.0,2014-10-19,6.0,7.0,26.296,STL,SEA,W 28-26,False,4,4,100.0,,1,0.0,0,4,0.0,0,0,0,,,0,0%,0,0%,10,36%,False,Greg Zuerlein,True,28,26
2014.0,2014-10-26,7.0,8.0,26.303,STL,KAN,L 7-34,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,0%,0,0%,4,15%,True,Greg Zuerlein,False,7,34
2014.0,2014-11-02,8.0,9.0,26.31,STL,SFO,W 13-10,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,7,25%,True,Greg Zuerlein,True,13,10
2014.0,2014-11-09,9.0,10.0,26.317,STL,ARI,L 14-31,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,5,17%,True,Greg Zuerlein,False,14,31
2014.0,2014-11-16,10.0,11.0,26.324,STL,DEN,W 22-7,False,1,1,100.0,5,5,100.0,0,16,0.0,0,0,0,,,0,0%,0,0%,13,48%,False,Greg Zuerlein,True,22,7
2014.0,2014-11-23,11.0,12.0,26.331,STL,SDG,L 24-27,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0%,0,0%,10,33%,True,Greg Zuerlein,False,24,27
2014.0,2014-11-30,12.0,13.0,26.338,STL,OAK,W 52-0,False,7,7,100.0,1,1,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,17,53%,False,Greg Zuerlein,True,52,0
2014.0,2014-12-07,13.0,14.0,26.345,STL,WAS,W 24-0,False,1,2,50.0,1,3,33.3,0,4,0.0,0,0,0,,,0,0%,0,0%,11,48%,True,Greg Zuerlein,True,24,0
2014.0,2014-12-11,14.0,15.0,26.349,STL,ARI,L 6-12,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,17%,False,Greg Zuerlein,False,6,12
2014.0,2014-12-21,15.0,16.0,26.359,STL,NYG,L 27-37,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,9,27%,False,Greg Zuerlein,False,27,37
2014.0,2014-12-28,16.0,17.0,27.001,STL,SEA,L 6-20,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,23%,True,Greg Zuerlein,False,6,20
2015.0,2015-09-13,1.0,1.0,27.26,STL,SEA,W 34-31,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,13,41%,False,Greg Zuerlein,True,34,31
2015.0,2015-09-20,2.0,2.0,27.267,STL,WAS,L 10-24,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,5,17%,True,Greg Zuerlein,False,10,24
2015.0,2015-09-27,3.0,3.0,27.274,STL,PIT,L 6-12,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,25%,False,Greg Zuerlein,False,6,12
2015.0,2015-10-04,4.0,4.0,27.281,STL,ARI,W 24-22,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,30%,True,Greg Zuerlein,True,24,22
2015.0,2015-10-11,5.0,5.0,27.288,STL,GNB,L 10-24,False,1,1,100.0,1,4,25.0,0,4,0.0,0,0,0,,,0,0%,0,0%,8,30%,True,Greg Zuerlein,False,10,24
2015.0,2015-10-25,6.0,7.0,27.302,STL,CLE,W 24-6,False,3,3,100.0,1,3,33.3,0,6,0.0,0,0,0,0,0,0,0%,0,0%,11,42%,False,Greg Zuerlein,True,24,6
2015.0,2015-11-01,7.0,8.0,27.309,STL,SFO,W 27-6,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0%,0,0%,9,27%,False,Greg Zuerlein,True,27,6
2015.0,2015-11-08,8.0,9.0,27.316,STL,MIN,L 18-21,False,,,,4,5,80.0,0,12,0.0,0,0,0,,,0,0%,0,0%,10,29%,True,Greg Zuerlein,False,18,21
2015.0,2015-11-15,9.0,10.0,27.323,STL,CHI,L 13-37,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,7,21%,False,Greg Zuerlein,False,13,37
2015.0,2015-11-22,10.0,11.0,27.33,STL,BAL,L 13-16,False,1,2,50.0,,1,0.0,0,1,0.0,0,0,0,,,0,0%,0,0%,6,20%,True,Greg Zuerlein,False,13,16
2015.0,2015-11-29,11.0,12.0,,STL,CIN,L 7-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Greg Zuerlein,False,7,31
2015.0,2015-12-06,12.0,13.0,,STL,ARI,L 3-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Greg Zuerlein,False,3,27
2015.0,2015-12-13,13.0,14.0,27.351,STL,DET,W 21-14,False,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0%,0,0%,7,28%,False,Greg Zuerlein,True,21,14
2015.0,2015-12-17,14.0,15.0,27.355,STL,TAM,W 31-23,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,11,37%,False,Greg Zuerlein,True,31,23
2015.0,2015-12-27,15.0,16.0,28.0,STL,SEA,W 23-17,False,2,3,66.7,1,1,100.0,0,5,0.0,1,0,1,0,0,0,0%,0,0%,9,33%,True,Greg Zuerlein,True,23,17
2015.0,2016-01-03,16.0,17.0,28.007,STL,SFO,L 16-19,False,1,1,100.0,3,5,60.0,0,10,0.0,1,0,1,0,0,0,0%,0,0%,12,36%,True,Greg Zuerlein,False,16,19
2016.0,2016-09-12,1.0,1.0,28.26,LAR,SFO,L 0-28,False,,,,,,,0,0,0.0,0,0,0,,,0,0%,0,0%,1,4%,True,Greg Zuerlein,False,0,28
2016.0,2016-09-18,2.0,2.0,28.266,LAR,SEA,W 9-3,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,7,30%,False,Greg Zuerlein,True,9,3
2016.0,2016-09-25,3.0,3.0,28.273,LAR,TAM,W 37-32,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,12,39%,True,Greg Zuerlein,True,37,32
2016.0,2016-10-02,4.0,4.0,28.28,LAR,ARI,W 17-13,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,29%,True,Greg Zuerlein,True,17,13
2016.0,2016-10-09,5.0,5.0,28.287,LAR,BUF,L 19-30,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,11,35%,False,Greg Zuerlein,False,19,30
2016.0,2016-10-16,6.0,6.0,28.294,LAR,DET,L 28-31,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0%,0,0%,9,38%,True,Greg Zuerlein,False,28,31
2016.0,2016-10-23,7.0,7.0,28.301,LAR,NYG,L 10-17,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,5,19%,False,Greg Zuerlein,False,10,17
2016.0,2016-11-06,8.0,9.0,28.315,LAR,CAR,L 10-13,False,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,,,0,0%,0,0%,7,27%,False,Greg Zuerlein,False,10,13
2016.0,2016-11-13,9.0,10.0,28.322,LAR,NYJ,W 9-6,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,7,28%,True,Greg Zuerlein,True,9,6
2016.0,2016-11-20,10.0,11.0,28.329,LAR,MIA,L 10-14,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0%,0,0%,6,21%,False,Greg Zuerlein,False,10,14
2016.0,2016-11-27,11.0,12.0,28.336,LAR,NOR,L 21-49,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,7,22%,True,Greg Zuerlein,False,21,49
2016.0,2016-12-04,12.0,13.0,28.343,LAR,NWE,L 10-26,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,5,16%,True,Greg Zuerlein,False,10,26
2016.0,2016-12-11,13.0,14.0,28.35,LAR,ATL,L 14-42,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,5,15%,False,Greg Zuerlein,False,14,42
2016.0,2016-12-15,14.0,15.0,28.354,LAR,SEA,L 3-24,False,,,,1,1,100.0,0,3,0.0,0,1,1,0,0,0,0%,0,0%,3,14%,True,Greg Zuerlein,False,3,24
2016.0,2016-12-24,15.0,16.0,28.363,LAR,SFO,L 21-22,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,7,23%,False,Greg Zuerlein,False,21,22
2016.0,2017-01-01,16.0,17.0,29.005,LAR,ARI,L 6-44,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,14%,False,Greg Zuerlein,False,6,44
2017.0,2017-09-10,1.0,1.0,29.257,LAR,IND,W 46-9,False,5,5,100.0,3,3,100.0,0,14,0.0,0,0,0,,,0,0%,0,0%,17,49%,False,Greg Zuerlein,True,46,9
2017.0,2017-09-17,2.0,2.0,29.264,LAR,WAS,L 20-27,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,29%,False,Greg Zuerlein,False,20,27
2017.0,2017-09-21,3.0,3.0,29.268,LAR,SFO,W 41-39,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,15,44%,True,Greg Zuerlein,True,41,39
