Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2015,2015-11-29,11,12,26.017,TEN,OAK,False,7,2,19,9.50,0,28.6%,2.71,2,-4,-2.00,0,0,0,,0,0,0,0,0,0,0,0,0,34,55%,0,0%,0,0%,False,False,21,24,Kendall Wright
2015,2015-12-06,12,13,26.024,TEN,JAX,True,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,41,59%,0,0%,0,0%,False,True,42,39,Kendall Wright
2015,2015-12-13,13,14,,TEN,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,8,30,Kendall Wright
2015,2015-12-20,14,15,,TEN,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,16,33,Kendall Wright
2015,2015-12-27,15,16,26.045,TEN,HOU,True,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,9,14%,0,0%,0,0%,False,False,6,34,Kendall Wright
2015,2016-01-03,16,17,,TEN,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,24,30,Kendall Wright
2016,2016-09-11,1,1,,TEN,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,16,25,Kendall Wright
2016,2016-09-18,2,2,,TEN,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,16,15,Kendall Wright
2016,2016-09-25,3,3,,TEN,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,17,Kendall Wright
2016,2016-10-02,4,4,26.325,TEN,HOU,True,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,25,37%,0,0%,0,0%,True,False,20,27,Kendall Wright
2016,2016-10-09,5,5,26.332,TEN,MIA,False,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,21,28%,0,0%,0,0%,True,True,30,17,Kendall Wright
2016,2016-10-16,6,6,26.339,TEN,CLE,False,9,8,133,16.63,1,88.9%,14.78,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,22,35%,0,0%,0,0%,False,True,28,26,Kendall Wright
2016,2016-10-23,7,7,26.346,TEN,IND,False,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,37,51%,0,0%,0,0%,False,False,26,34,Kendall Wright
2016,2016-10-27,8,8,26.350,TEN,JAX,False,5,4,84,21.00,1,80.0%,16.80,1,15,15.00,0,1,4,4.00,0,1,6,0,0,0,0,0,0,26,39%,0,0%,2,7%,False,True,36,22,Kendall Wright
2016,2016-11-06,9,9,26.360,TEN,SDG,True,5,2,64,32.00,0,40.0%,12.80,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,44,68%,0,0%,0,0%,True,False,35,43,Kendall Wright
2016,2016-11-13,10,10,27.001,TEN,GNB,False,3,2,8,4.00,1,66.7%,2.67,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,26,43%,0,0%,0,0%,False,True,47,25,Kendall Wright
2016,2016-11-20,11,11,27.008,TEN,IND,False,6,4,52,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,38,54%,0,0%,0,0%,True,False,17,24,Kendall Wright
2016,2016-11-27,12,12,27.015,TEN,CHI,False,0,0,0,,0,0.0%,,0,0,,0,2,28,14.00,0,0,0,0,0,0,0,0,0,16,28%,0,0%,2,8%,True,True,27,21,Kendall Wright
2016,2016-12-11,13,14,,TEN,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,13,10,Kendall Wright
2016,2016-12-18,14,15,27.036,TEN,KAN,True,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,27,41%,0,0%,0,0%,True,True,19,17,Kendall Wright
2016,2016-12-24,15,16,27.042,TEN,JAX,True,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,27,38%,0,0%,0,0%,True,False,17,38,Kendall Wright
2016,2017-01-01,16,17,,TEN,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,17,Kendall Wright
2017,2017-09-10,1,1,27.302,CHI,ATL,False,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,39,58%,0,0%,0,0%,False,False,17,23,Kendall Wright
2017,2017-09-17,2,2,27.309,CHI,TAM,False,10,7,69,9.86,0,70.0%,6.90,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,55,86%,0,0%,0,0%,True,False,7,29,Kendall Wright
