Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2001,2001-11-04,7,8,,NOR,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,9,16,Jake Delhomme
2001,2001-11-11,8,9,,NOR,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,27,28,Jake Delhomme
2001,2001-11-18,9,10,,NOR,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,20,Jake Delhomme
2001,2001-11-25,10,11,,NOR,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,34,Jake Delhomme
2001,2001-12-02,11,12,,NOR,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,23,Jake Delhomme
2001,2001-12-09,12,13,,NOR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,28,10,Jake Delhomme
2001,2001-12-17,13,14,,NOR,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,21,34,Jake Delhomme
2001,2001-12-23,14,15,,NOR,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,21,48,Jake Delhomme
2001,2001-12-30,15,16,,NOR,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,40,Jake Delhomme
2001,2002-01-06,16,17,,NOR,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,0,38,Jake Delhomme
2002,2002-09-08,1,1,27.241,NOR,TAM,False,,,,,,,,0,,,,,,,,0,0,0,,,0,0,0,True,True,26,20,Jake Delhomme
2002,2002-09-15,2,2,,NOR,GNB,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,35,20,Jake Delhomme
2002,2002-09-22,3,3,,NOR,CHI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,29,23,Jake Delhomme
2002,2002-09-29,4,4,,NOR,DET,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,21,26,Jake Delhomme
2002,2002-10-06,5,5,,NOR,PIT,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,32,29,Jake Delhomme
2002,2002-10-13,6,6,,NOR,WAS,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,43,27,Jake Delhomme
2002,2002-10-20,7,7,,NOR,SFO,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,35,27,Jake Delhomme
2002,2002-10-27,8,8,,NOR,ATL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,35,37,Jake Delhomme
2002,2002-11-10,9,10,27.304,NOR,CAR,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0,0,0,True,True,34,24,Jake Delhomme
2002,2002-11-17,10,11,,NOR,ATL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,17,24,Jake Delhomme
2002,2002-11-24,11,12,,NOR,CLE,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,15,24,Jake Delhomme
2002,2002-12-01,12,13,27.325,NOR,TAM,False,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,2,-2,-1.00,0,0,0,0,,0,0,0,0,False,True,23,20,Jake Delhomme
2002,2002-12-08,13,14,27.332,NOR,BAL,False,7,8,87.50,103,0,0,118.7,0,0,12.88,12.88,2,0,0.00,0,0,0,0,,0,0,0,0,True,True,37,25,Jake Delhomme
2002,2002-12-15,14,15,,NOR,MIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,31,32,Jake Delhomme
2002,2002-12-22,15,16,,NOR,CIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,13,20,Jake Delhomme
2002,2002-12-29,16,17,,NOR,CAR,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,6,10,Jake Delhomme
2003,2003-09-07,1,1,28.240,CAR,JAX,False,12,20,60.00,122,3,2,77.5,2,1,6.10,4.60,2,1,0.50,0,0,0,2,0,0,0,-3,0,False,True,24,23,Jake Delhomme
2003,2003-09-14,2,2,28.247,CAR,TAM,True,9,23,39.13,96,0,2,15.9,1,9,4.17,0.26,1,2,2.00,0,0,0,1,0,0,0,0,0,True,True,12,9,Jake Delhomme
2003,2003-09-28,3,4,28.261,CAR,ATL,True,17,27,62.96,168,1,0,92.8,0,0,6.22,6.96,5,-3,-0.60,0,0,0,1,0,0,1,-3,0,False,True,23,3,Jake Delhomme
2003,2003-10-05,4,5,28.268,CAR,NOR,True,15,23,65.22,124,0,0,78.9,0,0,5.39,5.39,2,-2,-1.00,0,0,0,0,,0,0,0,0,False,True,19,13,Jake Delhomme
2003,2003-10-12,5,6,28.275,CAR,IND,True,12,20,60.00,181,1,1,85.6,3,29,9.05,7.80,2,1,0.50,0,0,0,1,0,0,1,0,0,True,True,23,20,Jake Delhomme
2003,2003-10-19,6,7,28.282,CAR,TEN,True,31,49,63.27,362,2,0,99.2,4,23,7.39,8.20,2,9,4.50,0,0,0,2,0,0,0,-4,0,False,False,17,37,Jake Delhomme
2003,2003-10-26,7,8,28.289,CAR,NOR,True,12,27,44.44,148,0,0,62.0,1,3,5.48,5.48,3,6,2.00,0,0,0,0,,0,0,0,0,True,True,23,20,Jake Delhomme
2003,2003-11-02,8,9,28.296,CAR,HOU,True,13,23,56.52,193,1,1,80.5,0,0,8.39,7.30,1,2,2.00,0,0,0,0,,0,0,0,0,True,False,10,14,Jake Delhomme
2003,2003-11-09,9,10,28.303,CAR,TAM,True,20,32,62.50,277,2,2,85.0,2,14,8.66,7.09,5,5,1.00,0,0,0,2,0,0,0,-6,0,False,True,27,24,Jake Delhomme
2003,2003-11-16,10,11,28.310,CAR,WAS,True,20,30,66.67,317,0,2,73.9,0,0,10.57,7.57,3,-2,-0.67,1,1,6,0,,0,0,0,0,False,True,20,17,Jake Delhomme
2003,2003-11-23,11,12,28.317,CAR,DAL,True,9,24,37.50,175,1,1,60.2,1,6,7.29,6.25,0,0,,0,0,0,0,,0,0,0,0,True,False,20,24,Jake Delhomme
2003,2003-11-30,12,13,28.324,CAR,PHI,True,18,29,62.07,216,2,0,107.8,2,16,7.45,8.83,3,13,4.33,0,0,0,1,1,0,0,0,0,False,False,16,25,Jake Delhomme
2003,2003-12-07,13,14,28.331,CAR,ATL,True,13,25,52.00,153,1,2,50.9,1,12,6.12,3.32,5,0,0.00,0,0,0,3,1,0,1,-5,0,True,False,14,20,Jake Delhomme
2003,2003-12-14,14,15,28.338,CAR,ARI,True,20,32,62.50,236,1,1,82.3,1,5,7.38,6.59,1,3,3.00,0,0,0,1,1,0,0,0,0,True,True,20,17,Jake Delhomme
2003,2003-12-21,15,16,28.345,CAR,DET,True,29,35,82.86,260,2,1,104.8,0,0,7.43,7.29,3,11,3.67,0,0,0,0,,0,0,0,0,False,True,20,14,Jake Delhomme
2003,2003-12-28,16,17,28.352,CAR,NYG,True,16,30,53.33,191,2,1,81.4,5,50,6.37,6.20,4,-7,-1.75,0,0,0,1,1,0,0,0,0,True,True,37,24,Jake Delhomme
2004,2004-09-13,1,1,29.247,CAR,GNB,True,23,39,58.97,284,2,1,88.0,2,22,7.28,7.15,1,0,0.00,0,0,0,1,1,0,0,-1,0,False,False,14,24,Jake Delhomme
2004,2004-09-19,2,2,29.253,CAR,KAN,True,16,29,55.17,180,3,2,79.7,1,5,6.21,5.17,1,0,0.00,0,0,0,1,0,0,0,0,0,True,True,28,17,Jake Delhomme
2004,2004-10-03,3,4,29.267,CAR,ATL,True,23,38,60.53,308,0,2,64.4,2,15,8.11,5.74,1,13,13.00,0,0,0,1,0,0,1,0,0,False,False,10,27,Jake Delhomme
2004,2004-10-10,4,5,29.274,CAR,DEN,True,13,20,65.00,173,1,0,109.0,1,10,8.65,9.65,4,3,0.75,1,1,6,1,0,0,1,-8,0,True,False,17,20,Jake Delhomme
2004,2004-10-17,5,6,29.281,CAR,PHI,True,24,42,57.14,205,1,4,38.4,2,19,4.88,1.07,1,2,2.00,0,0,0,0,,0,0,0,0,True,False,8,30,Jake Delhomme
2004,2004-10-24,6,7,29.288,CAR,SDG,True,17,36,47.22,155,0,1,47.8,1,8,4.31,3.06,0,0,,0,0,0,0,,0,0,0,0,False,False,6,17,Jake Delhomme
2004,2004-10-31,7,8,29.295,CAR,SEA,True,19,36,52.78,248,2,1,81.7,0,0,6.89,6.75,3,18,6.00,0,0,0,0,,0,0,0,0,True,False,17,23,Jake Delhomme
2004,2004-11-07,8,9,29.302,CAR,OAK,True,25,45,55.56,299,3,0,98.3,2,32,6.64,7.98,2,7,3.50,0,0,0,1,0,0,0,0,0,False,False,24,27,Jake Delhomme
2004,2004-11-14,9,10,29.309,CAR,SFO,True,19,34,55.88,303,3,0,115.2,1,2,8.91,10.68,1,-2,-2.00,0,0,0,0,,0,0,0,0,True,True,37,27,Jake Delhomme
2004,2004-11-21,10,11,29.316,CAR,ARI,True,12,25,48.00,157,2,1,78.2,0,0,6.28,6.08,1,4,4.00,0,0,0,0,,0,0,0,0,False,True,35,10,Jake Delhomme
2004,2004-11-28,11,12,29.323,CAR,TAM,True,14,21,66.67,213,2,1,111.8,4,25,10.14,9.90,1,5,5.00,0,0,0,0,,0,0,0,0,False,True,21,14,Jake Delhomme
2004,2004-12-05,12,13,29.330,CAR,NOR,True,22,29,75.86,294,1,0,119.0,4,25,10.14,10.83,2,0,0.00,0,0,0,0,,0,0,0,0,True,True,32,21,Jake Delhomme
2004,2004-12-12,13,14,29.337,CAR,STL,True,16,30,53.33,206,1,1,72.4,2,17,6.87,6.03,5,9,1.80,0,0,0,1,0,0,1,0,0,False,True,20,7,Jake Delhomme
2004,2004-12-18,14,15,29.343,CAR,ATL,True,24,35,68.57,340,2,1,106.8,4,26,9.71,9.57,1,0,0.00,0,0,0,4,2,0,2,-4,0,True,False,31,34,Jake Delhomme
2004,2004-12-26,15,16,29.351,CAR,TAM,True,19,24,79.17,214,4,0,143.4,1,7,8.92,12.25,1,12,12.00,0,0,0,0,,0,0,0,0,True,True,37,20,Jake Delhomme
2004,2005-01-02,16,17,29.358,CAR,NOR,True,24,50,48.00,307,2,0,81.0,6,33,6.14,6.94,0,0,,0,0,0,2,2,0,0,0,0,False,False,18,21,Jake Delhomme
2005,2005-09-11,1,1,30.244,CAR,NOR,True,19,31,61.29,212,1,2,65.5,1,3,6.84,4.58,2,17,8.50,0,0,0,1,1,0,0,0,0,False,False,20,23,Jake Delhomme
2005,2005-09-18,2,2,30.251,CAR,NWE,True,11,26,42.31,154,0,1,46.0,1,8,5.92,4.19,3,-2,-0.67,0,0,0,0,,0,0,0,0,False,True,27,17,Jake Delhomme
2005,2005-09-25,3,3,30.258,CAR,MIA,True,19,35,54.29,285,3,1,97.9,4,47,8.14,8.57,0,0,,0,0,0,1,1,0,0,0,0,True,False,24,27,Jake Delhomme
2005,2005-10-03,4,4,30.266,CAR,GNB,True,17,24,70.83,206,2,0,124.7,2,10,8.58,10.25,2,-3,-1.50,0,0,0,1,1,0,0,0,0,False,True,32,29,Jake Delhomme
2005,2005-10-09,5,5,30.272,CAR,ARI,True,18,29,62.07,243,2,1,97.3,0,0,8.38,8.21,1,-1,-1.00,0,0,0,0,,0,0,0,0,True,True,24,20,Jake Delhomme
2005,2005-10-16,6,6,30.279,CAR,DET,True,15,25,60.00,236,2,3,78.5,2,20,9.44,5.64,2,5,2.50,0,0,0,0,,0,0,0,0,True,True,21,20,Jake Delhomme
