Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-12-18,14.0,15.0,24.278,ATL,SFO,W 41-13,True,20,139,6.95,3,2,2,16,8.00,0,100.0%,8.00,3,18,0.0,0,0,0,0,0,1,1,0,0,0,0,30,44%,0,0%,0,0%,False,Devonta Freeman,True,41,13
2016.0,2016-12-24,15.0,16.0,24.284,ATL,CAR,W 33-16,True,13,53,4.08,0,8,8,35,4.38,0,100.0%,4.38,0,0,0.0,0,0,0,,,0,0,0,1,0,0,34,54%,0,0%,0,0%,True,Devonta Freeman,True,33,16
2016.0,2017-01-01,16.0,17.0,24.292,ATL,NOR,W 38-32,True,12,96,8.00,1,5,5,81,16.20,0,100.0%,16.20,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,56%,0,0%,0,0%,False,Devonta Freeman,True,38,32
2017.0,2017-09-10,1.0,1.0,25.179,ATL,CHI,W 23-17,True,12,37,3.08,1,2,2,2,1.00,0,100.0%,1.00,1,6,0.0,0,0,0,,,0,0,0,0,0,0,36,61%,0,0%,0,0%,True,Devonta Freeman,True,23,17
2017.0,2017-09-17,2.0,2.0,25.186,ATL,GNB,W 34-23,True,19,84,4.42,2,2,2,16,8.00,0,100.0%,8.00,2,12,0.0,0,0,0,,,0,0,0,0,0,0,39,67%,0,0%,0,0%,False,Devonta Freeman,True,34,23
2017.0,2017-09-24,3.0,3.0,25.193,ATL,DET,W 30-26,True,21,106,5.05,1,3,3,32,10.67,0,100.0%,10.67,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,60%,0,0%,0,0%,True,Devonta Freeman,True,30,26
2017.0,2017-10-01,4.0,4.0,25.2,ATL,BUF,L 17-23,True,18,58,3.22,1,2,2,20,10.00,0,100.0%,10.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,65%,0,0%,0,0%,False,Devonta Freeman,False,17,23
2017.0,2017-10-15,5.0,6.0,25.214,ATL,MIA,L 17-20,True,9,68,7.56,0,4,2,11,5.50,0,50.0%,2.75,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,74%,0,0%,0,0%,False,Devonta Freeman,False,17,20
2017.0,2017-10-22,6.0,7.0,25.221,ATL,NWE,L 7-23,True,12,72,6.00,0,3,3,18,6.00,0,100.0%,6.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,72%,0,0%,0,0%,True,Devonta Freeman,False,7,23
2017.0,2017-10-29,7.0,8.0,25.228,ATL,NYJ,W 25-20,True,12,41,3.42,0,3,1,20,20.00,0,33.3%,6.67,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,61%,0,0%,0,0%,True,Devonta Freeman,True,25,20
2017.0,2017-11-05,8.0,9.0,25.235,ATL,CAR,L 17-20,True,11,46,4.18,0,5,4,18,4.50,0,80.0%,3.60,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,68%,0,0%,0,0%,True,Devonta Freeman,False,17,20
2017.0,2017-11-12,9.0,10.0,25.242,ATL,DAL,W 27-7,True,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,0,0%,False,Devonta Freeman,True,27,7
2017.0,2017-11-20,10.0,11.0,,ATL,SEA,W 34-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Devonta Freeman,True,34,31
2017.0,2017-11-26,11.0,12.0,,ATL,TAM,W 34-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Devonta Freeman,True,34,20
2017.0,2017-12-03,12.0,13.0,25.263,ATL,MIN,L 9-14,True,12,74,6.17,0,2,1,7,7.00,0,50.0%,3.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,74%,0,0%,0,0%,False,Devonta Freeman,False,9,14
2017.0,2017-12-07,13.0,14.0,25.267,ATL,NOR,W 20-17,True,24,91,3.79,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,51,69%,0,0%,0,0%,False,Devonta Freeman,True,20,17
2017.0,2017-12-18,14.0,15.0,25.278,ATL,TAM,W 24-21,True,22,126,5.73,1,7,5,68,13.60,0,71.4%,9.71,1,6,0.0,0,0,0,,,2,0,0,0,0,0,50,71%,0,0%,0,0%,True,Devonta Freeman,True,24,21
