Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-11-21,10,11,24.182,ARI,@,KAN,L 13-31,True,12,62,5.17,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2010,2010-11-29,11,12,24.190,ARI,,SFO,L 6-27,True,5,0,0.00,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2010,2010-12-05,12,13,24.196,ARI,,STL,L 6-19,True,15,81,5.40,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2010,2010-12-12,13,14,24.203,ARI,,DEN,W 43-13,True,18,148,8.22,2,2,0,0,,0,0.0%,0.00,0,0,,0,2,12,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,Tim Hightower
2010,2010-12-19,14,15,24.210,ARI,@,CAR,L 12-19,False,6,16,2.67,0,4,3,12,4.00,0,75.0%,3.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,True,Tim Hightower
2010,2010-12-25,15,16,24.216,ARI,,DAL,W 27-26,True,6,23,3.83,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Tim Hightower
2010,2011-01-02,16,17,24.224,ARI,@,SFO,L 7-38,True,12,30,2.50,0,5,2,2,1.00,0,40.0%,0.40,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2011,2011-09-11,1,1,25.111,WAS,,NYG,W 28-14,True,25,72,2.88,1,3,3,25,8.33,0,100.0%,8.33,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Tim Hightower
2011,2011-09-18,2,2,25.118,WAS,,ARI,W 22-21,True,20,96,4.80,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Tim Hightower
2011,2011-09-26,3,3,25.126,WAS,@,DAL,L 16-18,True,14,41,2.93,0,6,5,39,7.80,1,83.3%,6.50,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
