Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2021,2021-09-12,1,1,24.024,LAR,,CHI,W 34-14,True,16,70,4.38,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,1,6,49,94%,0,0%,0,0%,False,Darrell Henderson
2021,2021-09-19,2,2,24.031,LAR,@,IND,W 27-24,True,13,53,4.08,1,5,3,29,9.67,0,60.0%,5.80,0,0,,0,1,6,40,68%,0,0%,0,0%,True,Darrell Henderson
2021,2021-09-26,3,3,,LAR,,TAM,W 34-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darrell Henderson
2021,2021-10-03,4,4,24.045,LAR,,ARI,L 20-37,True,14,89,6.36,0,6,5,27,5.40,0,83.3%,4.50,0,0,,0,0,0,61,90%,0,0%,0,0%,False,Darrell Henderson
2021,2021-10-07,5,5,24.049,LAR,@,SEA,W 26-17,True,17,82,4.82,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,1,6,44,66%,0,0%,0,0%,True,Darrell Henderson
2021,2021-10-17,6,6,24.059,LAR,@,NYG,W 38-11,True,21,78,3.71,1,3,2,29,14.50,1,66.7%,9.67,0,0,,0,2,12,54,82%,0,0%,0,0%,True,Darrell Henderson
2021,2021-10-24,7,7,24.066,LAR,,DET,W 28-19,True,15,45,3.00,0,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,57,88%,0,0%,0,0%,False,Darrell Henderson
2021,2021-10-31,8,8,24.073,LAR,@,HOU,W 38-22,True,14,90,6.43,1,2,1,3,3.00,1,50.0%,1.50,0,0,,0,2,12,41,61%,0,0%,0,0%,True,Darrell Henderson
2021,2021-11-07,9,9,24.080,LAR,,TEN,L 16-28,True,11,55,5.00,0,4,3,3,1.00,0,75.0%,0.75,0,0,,0,0,0,47,60%,0,0%,0,0%,False,Darrell Henderson
2021,2021-11-15,10,10,24.088,LAR,@,SFO,L 10-31,True,5,31,6.20,0,6,4,10,2.50,0,66.7%,1.67,0,0,,0,0,0,41,75%,0,0%,0,0%,True,Darrell Henderson
2021,2021-11-28,11,12,24.101,LAR,@,GNB,L 28-36,True,16,55,3.44,0,4,4,18,4.50,1,100.0%,4.50,0,0,,0,1,6,50,81%,0,0%,0,0%,True,Darrell Henderson
2021,2021-12-05,12,13,,LAR,,JAX,W 37-7,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Darrell Henderson
2021,2021-12-13,13,14,,LAR,@,ARI,W 30-23,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Darrell Henderson
2021,2021-12-21,14,15,24.124,LAR,,SEA,W 20-10,False,6,23,3.83,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,18,27%,0,0%,0,0%,False,Darrell Henderson
2021,2021-12-26,15,16,24.129,LAR,@,MIN,W 30-23,False,1,17,17.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,5,7%,0,0%,0,0%,True,Darrell Henderson
2021,2022-01-02,16,17,,LAR,@,BAL,W 20-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Darrell Henderson
2021,2022-01-09,17,18,,LAR,,SFO,L 24-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Darrell Henderson
,40 Games,,,,,,,23-17-0,False,326,1459,4.48,10,70,49,372,7.59,4,70.0%,5.31,3,58,19.33,0,14,84,,,,,,,False,Darrell Henderson
