Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-11-13,9.0,10.0,23.325,GNB,TEN,L 25-47,True,9,6,156,26.00,0,66.7%,17.33,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,95%,0,0%,0,0%,True,Davante Adams,False,25,47
2016.0,2016-11-20,10.0,11.0,23.332,GNB,WAS,L 24-42,True,6,3,42,14.00,0,50.0%,7.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,96%,0,0%,0,0%,True,Davante Adams,False,24,42
2016.0,2016-11-28,11.0,12.0,23.34,GNB,PHI,W 27-13,True,6,5,113,22.60,2,83.3%,18.83,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,64,90%,0,0%,0,0%,True,Davante Adams,True,27,13
2016.0,2016-12-04,12.0,13.0,23.346,GNB,HOU,W 21-13,True,7,1,17,17.00,0,14.3%,2.43,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,84%,0,0%,1,5%,False,Davante Adams,True,21,13
2016.0,2016-12-11,13.0,14.0,23.353,GNB,SEA,W 38-10,True,6,4,104,26.00,1,66.7%,17.33,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,90%,0,0%,1,4%,False,Davante Adams,True,38,10
2016.0,2016-12-18,14.0,15.0,23.36,GNB,CHI,W 30-27,True,6,2,25,12.50,0,33.3%,4.17,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,98%,0,0%,0,0%,True,Davante Adams,True,30,27
2016.0,2016-12-24,15.0,16.0,24.0,GNB,MIN,W 38-25,True,7,4,44,11.00,1,57.1%,6.29,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,93%,0,0%,2,6%,False,Davante Adams,True,38,25
2016.0,2017-01-01,16.0,17.0,24.008,GNB,DET,W 31-24,True,9,6,31,5.17,2,66.7%,3.44,1,2,14,0.0,0,0,0,,,0,0,0,0,0,0,70,93%,0,0%,2,7%,True,Davante Adams,True,31,24
2017.0,2017-09-10,1.0,1.0,24.26,GNB,SEA,W 17-9,True,7,3,47,15.67,0,42.9%,6.71,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,82%,0,0%,0,0%,False,Davante Adams,True,17,9
2017.0,2017-09-17,2.0,2.0,24.267,GNB,ATL,L 23-34,True,10,8,99,12.38,1,80.0%,9.90,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,71,93%,0,0%,0,0%,True,Davante Adams,False,23,34
2017.0,2017-09-24,3.0,3.0,24.274,GNB,CIN,W 27-24,True,6,3,60,20.00,0,50.0%,10.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,96%,0,0%,0,0%,False,Davante Adams,True,27,24
2017.0,2017-09-28,4.0,4.0,24.278,GNB,CHI,W 35-14,True,5,2,13,6.50,1,40.0%,2.60,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,73%,0,0%,0,0%,False,Davante Adams,True,35,14
2017.0,2017-10-08,5.0,5.0,24.288,GNB,DAL,W 35-31,True,11,7,66,9.43,2,63.6%,6.00,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,56,93%,0,0%,0,0%,True,Davante Adams,True,35,31
2017.0,2017-10-15,6.0,6.0,24.295,GNB,MIN,L 10-23,True,10,5,54,10.80,1,50.0%,5.40,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,98%,0,0%,0,0%,True,Davante Adams,False,10,23
2017.0,2017-10-22,7.0,7.0,24.302,GNB,NOR,L 17-26,True,5,2,12,6.00,0,40.0%,2.40,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,87%,0,0%,0,0%,False,Davante Adams,False,17,26
2017.0,2017-11-06,8.0,9.0,24.317,GNB,DET,L 17-30,True,10,7,53,7.57,0,70.0%,5.30,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,95%,0,0%,0,0%,False,Davante Adams,False,17,30
2017.0,2017-11-12,9.0,10.0,24.323,GNB,CHI,W 23-16,True,8,5,90,18.00,1,62.5%,11.25,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,82%,0,0%,0,0%,True,Davante Adams,True,23,16
2017.0,2017-11-19,10.0,11.0,24.33,GNB,BAL,L 0-23,True,10,8,126,15.75,0,80.0%,12.60,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,96%,0,0%,0,0%,False,Davante Adams,False,0,23
2017.0,2017-11-26,11.0,12.0,24.337,GNB,PIT,L 28-31,True,8,5,82,16.40,1,62.5%,10.25,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,87%,0,0%,0,0%,True,Davante Adams,False,28,31
2017.0,2017-12-03,12.0,13.0,24.344,GNB,TAM,W 26-20,True,6,4,42,10.50,0,66.7%,7.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,89%,0,0%,0,0%,False,Davante Adams,True,26,20
2017.0,2017-12-10,13.0,14.0,24.351,GNB,CLE,W 27-21,True,14,10,84,8.40,2,71.4%,6.00,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,64,84%,0,0%,0,0%,True,Davante Adams,True,27,21
2017.0,2017-12-17,14.0,15.0,24.358,GNB,CAR,L 24-31,True,7,5,57,11.40,1,71.4%,8.14,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,27,39%,0,0%,0,0%,True,Davante Adams,False,24,31
2017.0,2017-12-23,15.0,16.0,,GNB,MIN,L 0-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Davante Adams,False,0,16
2017.0,2017-12-31,16.0,17.0,,GNB,DET,L 11-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Davante Adams,False,11,35
2018.0,2018-09-09,1.0,1.0,25.259,GNB,CHI,W 24-23,True,8,5,88,17.60,1,62.5%,11.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,98%,0,0%,0,0%,False,Davante Adams,True,24,23
2018.0,2018-09-16,2.0,2.0,25.266,GNB,MIN,T 29-29,True,12,8,64,8.00,1,66.7%,5.33,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,75,97%,0,0%,0,0%,False,Davante Adams,False,29,29
2018.0,2018-09-23,3.0,3.0,25.273,GNB,WAS,L 17-31,True,9,7,52,7.43,1,77.8%,5.78,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,68,99%,0,0%,0,0%,True,Davante Adams,False,17,31
2018.0,2018-09-30,4.0,4.0,25.28,GNB,BUF,W 22-0,True,14,8,81,10.13,0,57.1%,5.79,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,False,Davante Adams,True,22,0
2018.0,2018-10-07,5.0,5.0,25.287,GNB,DET,L 23-31,True,12,9,140,15.56,1,75.0%,11.67,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,71,88%,0,0%,0,0%,True,Davante Adams,False,23,31
2018.0,2018-10-15,6.0,6.0,25.295,GNB,SFO,W 33-30,True,16,10,132,13.20,2,62.5%,8.25,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,63,89%,0,0%,0,0%,False,Davante Adams,True,33,30
2018.0,2018-10-28,7.0,8.0,25.308,GNB,LAR,L 27-29,True,7,5,133,26.60,0,71.4%,19.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,77%,0,0%,0,0%,True,Davante Adams,False,27,29
2018.0,2018-11-04,8.0,9.0,25.315,GNB,NWE,L 17-31,True,9,6,40,6.67,1,66.7%,4.44,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,71,96%,0,0%,0,0%,True,Davante Adams,False,17,31
2018.0,2018-11-11,9.0,10.0,25.322,GNB,MIA,W 31-12,True,7,4,57,14.25,2,57.1%,8.14,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,53,93%,0,0%,0,0%,False,Davante Adams,True,31,12
2018.0,2018-11-15,10.0,11.0,25.326,GNB,SEA,L 24-27,True,12,10,166,16.60,0,83.3%,13.83,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,94%,0,0%,0,0%,True,Davante Adams,False,24,27
2018.0,2018-11-25,11.0,12.0,25.336,GNB,MIN,L 17-24,True,8,5,69,13.80,1,62.5%,8.63,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,100%,0,0%,0,0%,True,Davante Adams,False,17,24
2018.0,2018-12-02,12.0,13.0,25.343,GNB,ARI,L 17-20,True,13,8,93,11.63,1,61.5%,7.15,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,72,95%,0,0%,0,0%,False,Davante Adams,False,17,20
2018.0,2018-12-09,13.0,14.0,25.35,GNB,ATL,W 34-20,True,11,7,81,11.57,1,63.6%,7.36,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,86%,0,0%,1,4%,False,Davante Adams,True,34,20
2018.0,2018-12-16,14.0,15.0,25.357,GNB,CHI,L 17-24,True,13,8,119,14.88,0,61.5%,9.15,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,64,94%,0,0%,0,0%,True,Davante Adams,False,17,24
2018.0,2018-12-23,15.0,16.0,25.364,GNB,NYJ,W 44-38,True,18,11,71,6.45,1,61.1%,3.94,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,86,96%,0,0%,0,0%,True,Davante Adams,True,44,38
2018.0,2018-12-30,16.0,17.0,,GNB,DET,L 0-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Davante Adams,False,0,31
2019.0,2019-09-05,1.0,1.0,26.255,GNB,CHI,W 10-3,True,8,4,36,9.00,0,50.0%,4.50,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,97%,0,0%,0,0%,True,Davante Adams,True,10,3
2019.0,2019-09-15,2.0,2.0,26.265,GNB,MIN,W 21-16,True,9,7,106,15.14,0,77.8%,11.78,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,96%,0,0%,0,0%,False,Davante Adams,True,21,16
2019.0,2019-09-22,3.0,3.0,26.272,GNB,DEN,W 27-16,True,4,4,56,14.00,0,100.0%,14.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,91%,0,0%,0,0%,False,Davante Adams,True,27,16
2019.0,2019-09-26,4.0,4.0,26.276,GNB,PHI,L 27-34,True,15,10,180,18.00,0,66.7%,12.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,70%,0,0%,0,0%,False,Davante Adams,False,27,34
2019.0,2019-10-06,5.0,5.0,,GNB,DAL,W 34-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Davante Adams,True,34,24
2019.0,2019-10-14,6.0,6.0,,GNB,DET,W 23-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Davante Adams,True,23,22
2019.0,2019-10-20,7.0,7.0,,GNB,OAK,W 42-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Davante Adams,True,42,24
