Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-17,14,15,24.039,NYJ,TEN,False,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,79%,0,0%,10,37%,True,False,10,14,Jeremy Kerley
2012,2012-12-23,15,16,24.045,NYJ,SDG,True,1,0,0,,0,0.0%,0.00,1,2,2.00,0,1,1,100.00,42,0,0,118.7,0,0,42.00,42.00,0,0,,0,2,19,9.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,82%,0,0%,6,19%,False,False,17,27,Jeremy Kerley
2012,2012-12-30,16,17,24.052,NYJ,BUF,True,5,3,88,29.33,0,60.0%,17.60,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,76%,0,0%,5,18%,True,False,9,28,Jeremy Kerley
2013,2013-09-08,1,1,24.304,NYJ,TAM,True,4,3,45,15.00,0,75.0%,11.25,1,-1,-1.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,19,19.00,0,1,9,9.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,52%,0,0%,4,13%,False,True,18,17,Jeremy Kerley
2013,2013-09-12,2,2,,NYJ,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,13,Jeremy Kerley
2013,2013-09-22,3,3,24.318,NYJ,BUF,False,5,2,25,12.50,0,40.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18,6.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,63%,0,0%,7,21%,False,True,27,20,Jeremy Kerley
2013,2013-09-29,4,4,24.325,NYJ,TEN,False,5,4,65,16.25,0,80.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,88%,0,0%,8,25%,True,False,13,38,Jeremy Kerley
2013,2013-10-07,5,5,24.333,NYJ,ATL,False,6,5,68,13.60,1,83.3%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,29,14.50,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,37,80%,0,0%,3,11%,True,True,30,28,Jeremy Kerley
2013,2013-10-13,6,6,24.339,NYJ,PIT,True,7,2,19,9.50,0,28.6%,2.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,45,11.25,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,84%,0,0%,6,21%,False,False,6,19,Jeremy Kerley
2013,2013-10-20,7,7,24.346,NYJ,NWE,True,10,8,97,12.13,1,80.0%,9.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,85,93%,0,0%,1,3%,False,True,30,27,Jeremy Kerley
