Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-11-01,8,8,22.361,NYG,@,NOR,L 49-52,True,9,8,130,16.25,3,88.9%,14.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,18,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,70,96%,0,0%,0,0%,True,Odell Beckham Jr.
2015,2015-11-08,9,9,23.003,NYG,@,TAM,W 32-18,True,17,9,105,11.67,0,52.9%,6.18,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73,97%,0,0%,0,0%,True,Odell Beckham Jr.
2015,2015-11-15,10,10,23.010,NYG,,NWE,L 26-27,True,12,4,104,26.00,1,33.3%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,74,99%,0,0%,1,3%,False,Odell Beckham Jr.
2015,2015-11-29,11,12,23.024,NYG,@,WAS,L 14-20,True,18,9,142,15.78,1,50.0%,7.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,True,Odell Beckham Jr.
2015,2015-12-06,12,13,23.031,NYG,,NYJ,L 20-23,True,11,6,149,24.83,1,54.5%,13.55,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,62,95%,0,0%,4,12%,False,Odell Beckham Jr.
2015,2015-12-14,13,14,23.039,NYG,@,MIA,W 31-24,True,9,7,166,23.71,2,77.8%,18.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,62,94%,1,1%,0,0%,True,Odell Beckham Jr.
2015,2015-12-20,14,15,23.045,NYG,,CAR,L 35-38,True,9,6,76,12.67,1,66.7%,8.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,21,21.00,0,1,6,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,75,100%,0,0%,4,11%,False,Odell Beckham Jr.
2015,2015-12-27,15,16,,NYG,@,MIN,L 17-49,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Odell Beckham Jr.
2015,2016-01-03,16,17,23.059,NYG,,PHI,L 30-35,True,7,5,54,10.80,0,71.4%,7.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,79,94%,0,0%,3,10%,False,Odell Beckham Jr.
2016,2016-09-11,1,1,23.311,NYG,@,DAL,W 20-19,True,8,4,73,18.25,0,50.0%,9.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,True,Odell Beckham Jr.
