Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-23,15,16,25.336,BAL,NYG,True,24,107,4.46,0,7,6,51,8.50,1,85.7%,7.29,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,58,68%,0,0%,0,0%,False,True,33,14,Ray Rice
2012,2012-12-30,16,17,25.343,BAL,CIN,True,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,9,11%,0,0%,0,0%,True,False,17,23,Ray Rice
2013,2013-09-05,1,1,26.226,BAL,DEN,True,12,36,3.00,1,11,8,35,4.38,0,72.7%,3.18,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,53,60%,0,0%,0,0%,True,False,27,49,Ray Rice
2013,2013-09-15,2,2,26.236,BAL,CLE,True,13,36,2.77,0,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,1,0,0,0,0,37,51%,0,0%,0,0%,False,True,14,6,Ray Rice
2013,2013-09-22,3,3,,BAL,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,9,Ray Rice
2013,2013-09-29,4,4,26.250,BAL,BUF,True,5,17,3.40,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,43,66%,0,0%,0,0%,True,False,20,23,Ray Rice
2013,2013-10-06,5,5,26.257,BAL,MIA,True,27,74,2.74,2,7,6,28,4.67,0,85.7%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,1,1,0,0,0,0,59,77%,0,0%,0,0%,True,True,26,23,Ray Rice
2013,2013-10-13,6,6,26.264,BAL,GNB,True,14,34,2.43,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,46,70%,0,0%,0,0%,False,False,17,19,Ray Rice
2013,2013-10-20,7,7,26.271,BAL,PIT,True,15,45,3.00,0,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,44,71%,0,0%,0,0%,True,False,16,19,Ray Rice
2013,2013-11-03,8,9,26.285,BAL,CLE,True,11,17,1.55,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,49,69%,0,0%,0,0%,True,False,18,24,Ray Rice
2013,2013-11-10,9,10,26.292,BAL,CIN,True,18,30,1.67,0,6,6,26,4.33,0,100.0%,4.33,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,51,69%,0,0%,0,0%,False,True,20,17,Ray Rice
2013,2013-11-17,10,11,26.299,BAL,CHI,True,25,131,5.24,1,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,59,76%,0,0%,0,0%,True,False,20,23,Ray Rice
2013,2013-11-24,11,12,26.306,BAL,NYJ,True,16,30,1.88,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,35,55%,0,0%,0,0%,False,True,19,3,Ray Rice
2013,2013-11-28,12,13,26.310,BAL,PIT,True,12,32,2.67,0,7,6,38,6.33,0,85.7%,5.43,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,42,67%,0,0%,0,0%,False,True,22,20,Ray Rice
2013,2013-12-08,13,14,26.320,BAL,MIN,True,17,67,3.94,0,5,5,42,8.40,0,100.0%,8.40,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,61,72%,0,0%,0,0%,False,True,29,26,Ray Rice
2013,2013-12-16,14,15,26.328,BAL,DET,True,12,56,4.67,0,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,44,71%,0,0%,0,0%,True,True,18,16,Ray Rice
2013,2013-12-22,15,16,26.334,BAL,NWE,True,11,40,3.64,0,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,32,42%,0,0%,0,0%,False,False,7,41,Ray Rice
2013,2013-12-29,16,17,26.341,BAL,CIN,True,6,15,2.50,0,7,7,35,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0,0,0,0,0,0,48,70%,0,0%,0,0%,True,False,17,34,Ray Rice
,92 Games,,,,,,False,1430,6180,4.32,37,486,369,3034,8.22,6,75.9%,6.24,1,2,50.00,1,1,0,95.8,0,0,0.50,10.50,7,161,23.00,0,1,43,260,9,5,0,2,2,0,,,,,,,False,False,33,0,Ray Rice
