Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-12-01,12,13,23.235,CAR,,WAS,L 21-29,False,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0%,0,0%,6,18%,False,Joey Slye
2019,2019-12-08,13,14,23.242,CAR,@,ATL,L 20-40,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,7,21%,True,Joey Slye
2019,2019-12-15,14,15,23.249,CAR,,SEA,L 24-30,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,7,25%,False,Joey Slye
2019,2019-12-22,15,16,23.256,CAR,@,IND,L 6-38,False,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,5,19%,True,Joey Slye
2019,2019-12-29,16,17,23.263,CAR,,NOR,L 10-42,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,16%,False,Joey Slye
2020,2020-09-13,1,1,24.156,CAR,,LVR,L 30-34,False,1,2,50.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,11,38%,False,Joey Slye
2020,2020-09-20,2,2,24.163,CAR,@,TAM,L 17-31,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,28%,True,Joey Slye
2020,2020-09-27,3,3,24.170,CAR,@,LAC,W 21-16,False,,1,0.0,5,5,100.0,0,15,0.0,1,0,1,0,0,0,0%,0,0%,13,50%,True,Joey Slye
2020,2020-10-04,4,4,24.177,CAR,,ARI,W 31-21,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,12,48%,False,Joey Slye
2020,2020-10-11,5,5,24.184,CAR,@,ATL,W 23-16,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,11,42%,True,Joey Slye
2020,2020-10-18,6,6,24.191,CAR,,CHI,L 16-23,False,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,10,38%,False,Joey Slye
2020,2020-10-25,7,7,24.198,CAR,@,NOR,L 24-27,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,10,45%,True,Joey Slye
2020,2020-10-29,8,8,24.202,CAR,,ATL,L 17-25,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,29%,False,Joey Slye
2020,2020-11-08,9,9,24.212,CAR,@,KAN,L 31-33,False,4,4,100.0,1,3,33.3,0,7,0.0,0,0,0,0,0,0,0%,0,0%,13,42%,True,Joey Slye
2020,2020-11-15,10,10,24.219,CAR,,TAM,L 23-46,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,25%,False,Joey Slye
2020,2020-11-22,11,11,24.226,CAR,,DET,W 20-0,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,10,43%,False,Joey Slye
